eng	xho
Since Hassan took office, Melo said, "people on the cyberspace can now at least criticize the government or critically analyze whatever kind of statement that comes from any political figure.	Ukusukela oko uHassan ethathe isikhundla, uMelo uthe, "abantu abakwi-cyberpace ngoku banokugxeka urhulumente okanye bahlalutye ngokugxekayo naluphi na uhlobo lwengxelo evela kuye nawuphi na umntu wezopolitiko.
At the moment, journalists are now writing stories that could not be written in the past six years."	Okwangoku, iintatheli ngoku zibhala amabali ebengakwazi ukubhalwa kule minyaka mithandathu idlulileyo.
When it comes to news media, "indeed, the environment is slowly opening up," agreed Roland Ebole, an Amnesty International researcher.	Xa kuziwa kumajelo eendaba, “eneneni, okusingqongileyo kuvuleka kancinci,” wavuma uRoland Ebole, umphandi weAmnesty International.
Based in Nairobi, he monitors Tanzania and Uganda.	Uzinze eNairobi, ubeka iliso eTanzania naseUganda.
Amnesty praised Tanzanias lifting of the newspaper ban in February but also said the government "must do more to guarantee media freedom going forward."	U-Amnesty uncome abantu baseTanzania ngokususa ukuvalwa kwephephandaba ngoFebruwari kodwa wathi urhulumente "kufuneka enze okungakumbi ukuqinisekisa inkululeko yeendaba ukuya phambili."
A free press, Ebole told VOA, "would mean Tanzanians looking into the future with most hope in terms of expressing themselves and getting information – and information that would benefit them in all aspects of their lives, whether its economic, social and cultural."	Umshicileli wamahhala, u-Ebole uxelele i-VOA, "kuya kuthetha ukuba amaTanzania ajonge kwixesha elizayo ngethemba elikhulu malunga nokuzibonakalisa kunye nokufumana ulwazi - kunye nolwazi oluya kubazuzisa kuzo zonke iinkalo zobomi babo, nokuba yeyoqoqosho, intlalontle kunye nenkcubeko."
We are somehow optimistic, Melo said of journalists and rights activists. But, he cautioned, "the laws are still there, really draconian laws.	“Ngandlela ithile sinethemba,” utshilo uMelo ngeentatheli nabalwela amalungelo. Kodwa, ulumkise ngelithi, “imithetho isekhona, imithetho engqongqo ngokwenene.
If they are not amended, they can be used by anyone who is against us."	Ukuba azilungiswanga, zinokusetyenziswa nguye nabani na ochasene nathi.
Separately, a Tanzanian government spokesman told VOA that measures could be loosened – to a point.	Ngokwahlukileyo, isithethi sikarhulumente waseTanzania sixelele iVOA ukuba amanyathelo anokukhululwa - kwinqanaba.
You cannot have a profession without rules to govern, like a tire moving without any control, spokesman Greyson Msigwa said in a recent interview.	“Awunakuba nomsebenzi ongenamithetho olawulayo, njengetayara elihamba ngaphandle kokulilawula,” utshilo uGreyson Msigwa kudliwano-ndlebe lwakutsha nje.
We must reach a place that we all agree that we need to protect the interests of media and the people as well.	“Kufuneka sifikelele kwindawo apho sonke sivumelana ukuba kufuneka sikhusele umdla wamajelo eendaba nabantu ngokunjalo.
	
Extremist Rebels Launch Deadly Attack in Northeast Nigeria	Abavukeli abaneembono ezibaxiweyo baqalisa uhlaselo olubulalayo kuMntla-mpuma weNigeria.
Islamic extremist rebels have killed at least seven people in an attack in northeast Borno state in Nigeria, witnesses told The Associated Press on Wednesday.	Abavukeli abangamaSilamsi abaneengcwangu babulale abantu abasixhenxe ubuncinci kuhlaselo olukumantla mpuma weBorno eNigeria, amangqina axelele I-Associated Press ngoLwesithathu.
The rebels attacked Kautukari village in the Chibok area of Borno on Tuesday evening, said residents.	Abavukeli bahlasele ilali yaseKautukari kwingingqi yaseChibok eBorno ngorhatya lwangoLwesibini, batsho abahlali.
The attack happened at the same time that U.N. Secretary-General Antonio Guterres was in the state to meet with survivors of jihadi violence.	Olu hlaselo lwenzeka ngaxesha linye apho unobhala-jikelele we-UN u-Antonio Guterres wayekurhulumente ezokudibana nabasinde kubundlobongela be-jihadi.
The Chibok area is 115 kilometers (71 miles) away from Maiduguri, the state capital, where Guterres met with former militants being reintegrated into society and thousands of people displaced by the insurgency.	Indawo yaseChibok ikwiikhilomitha ezili-115 (iimiles ezingama -71) ukusuka eMaiduguri, ikomkhulu likarhulumente, apho uGuterres wadibana khona nababesakuba ngabavukeli baphinda badityaniswa kuluntu kunye namawakawaka abantu abagxothwayo ngenxa yovukelo.
They came in large number with superior firepower (and) took over the community, said Hassan Chibok, a community leader.	“Beze ngobuninzi babo benamandla omlilo aphezulu (kwaye) baluthatha uluntu,” utshilo uHassan Chibok, inkokeli yabahlali.
Troops from a nearby military base were deployed to repel the attack but "the damage had been done," Chibok said, adding that "casualties are up to 10."	Amajoni asuka kwisikhululo somkhosi esikufutshane aye abekwa ukuba athintele uhlaselo kodwa "umonakalo wenziwe," utshilo uChibok, esongeza ukuba "amaxhoba afikelela kwi-10."
Another resident Yana Galang said at least seven people were killed in the latest violence before the Nigerian military intervened.	Omnye umhlali u-Yana Galang uthe abantu abasixhenxe babulewe kubundlobongela bamva nje ngaphambi kokuba kungenelele umkhosi waseNigeria.
Nigerian police did not immediately respond to a request for confirmation of the attack.	Amapolisa aseNigeria awazange aphendule ngokukhawuleza kwisicelo sokuqinisekisa ngohlaselo.
Nigeria, Africa's most populous country with 206 million people, continues to grapple with a 10-year-old insurgency in the northeast by Islamic extremist rebels of Boko Haram and its offshoot, the Islamic State West Africa Province.	INigeria, ilizwe laseAfrika elinabantu abaninzi abazizigidi ezingama-206, liyaqhubeka nokulwa novukelo oluneminyaka eyi-10 kumntla-mpuma ngabavukeli benkolo yamaSilamsi beBoko Haram kunye nehlumelo layo, i-Islamic State West Africa Province.
The extremists are fighting to establish Shariah law and to stop Western education.	Ababantu baneembono ezibaxiweyo balwela ukuseka umthetho weShariah nokuyekisa imfundo yaseNtshona.
More than 35,000 people have died and millions have been displaced by the extremist violence, according to the U.N. Development Program.	Bangaphezu kwama-35,000 abantu abaye bafa kwaye izigidi ziye zashiya amakhaya ngenxa yogonyamelo olugqithiseleyo, ngokutsho kweNkqubo yoPhuhliso ye-UN.
Nigerian President Muhammadu Buhari said earlier this week that the war against the extremists is "approaching its conclusion," citing continued military airstrikes and the mass defection of thousands of the fighters, some of whom analysts say are laying down their arms because of infighting within the jihadi group.	Umongameli waseNigeria u-Muhammadu Buhari uthe ekuqaleni kwale veki ukuba imfazwe echasene nee-extremes "isondela esiphelweni," ecaphula uhlaselo lwasemkhosini oluqhubekayo kunye nokuvukela kwamawakawaka abahlalutyi, abathi abanye abahlalutyi babeka phantsi izixhobo zabo ngenxa yokulwa ngaphakathi. iqela lejihadi.
The violence, however, continues in border communities and areas closer to the Lake Chad region, the stronghold of the Islamic State-linked group, ISWAP.	Ubundlobongela, nangona kunjalo, buyaqhubeka kwiindawo ezihlala kwimida kunye neendawo ezikufutshane nommandla weLake Chad, inqaba yeqela le-Islamic State-linked, i-ISWAP.
Things are getting worse in Kautukari village in Chibok and adjourning areas closer to the forest, said community leader Chibok, saying the extremists' presence near the forest is a contributing factor.	“Izinto ziya zibambi kakhulu” kwilali yaseKautukari eChibok nakwindawo ezimiyo kufutshane nehlathi, itshilo inkokeli yabahlali uChibok, isithi ubukho babaxhwila kufutshane nehlathi bungunobangela.
	
Reporting Under Attack in South Sudan, Sudan.	Ukunika ingxelo phantsi kohlaselo eSouth Sudan, eSudan.
Journalists in both Sudan and South Sudan say threats, intimidation and arbitrary arrests are part of everyday life, limiting their ability to inform the public.	Iintatheli zaseSudan naseSouth Sudan zithi izoyikiso kunye nokubanjwa ngokungekho mthethweni yinxalenye yobomi bemihla ngemihla, okubangela kunciphe amandla abo okwazisa uluntu.
South Sudan ranks 128th and Sudan ranks 151st out of 180 countries in Reporters Without Borders annual World Press Freedom Index, released Tuesday to coincide with the United Nations annual recognition of World Press Freedom Day.	I-South Sudan ibeka ku-128 kunye ne-Sudan ku-151 kumazwe angama-180 kwiingxelo zeReporters Without Borders yonyaka we-World Press Freedom Index, ekhutshwe ngoLwesibini ukuba ihambelane neZizwe eziManyeneyo zokuqaphela uSuku lweWorld Press Day.
The bigger the number, the worse the environment for news media.	Ukuba likhulu kwenani, kokukhona imeko imbi kakhulu kumajelo eendaba.
Irene Ayaa of the Association for Media Development in South Sudan says government censorship in her country is widespread.	U-Irene Ayaa woMbutho woPhuhliso lweMedia eSouth Sudan uthi ukujongwa kukarhulumente kwilizwe lakhe kuxhaphakile.
Last month, we registered four articles removed from newspapers, she said.	“Kwinyanga ephelileyo, sibhalise amanqaku amane asuswe kumaphephandaba,” utshilo.
Between January and March alone, security personnel removed dozens of articles from the Juba Monitor, Anna Namiriano, editor-in-chief of an English-language daily, told South Sudan in Focus.	Phakathi kukaJanuwari noMatshi kuphela, abasebenzi bezokhuseleko basuse intaphane yamanqaku kwiJuba Monitor, uAnna Namiriano, umhleli oyintloko wemihla ngemihla yolwimi lwesiNgesi, uxelele iSouth Sudan kuFocus.
They removed stories and we left the space blank. 	“Bawasuse amabali saza sashiya indawo ingenanto.
They say why we are not listening to them, so on 17th of March, they suspended the newspaper."	Batsho ukuba kutheni singabamameli, ngoko nge-17 kaMatshi, balinqumamisa eli phephandaba.
In February, a handful of journalists were briefly detained for covering a press conference by opposition lawmakers in parliament.	NgoFebruwari, iqaqobana leentatheli liye labanjwa ngokufutshane ngenxa yokuthetha ngenkomfa yabezomthetho abaphikisayo epalamente.
A Juba Monitor newspaper article about the incident was removed by security agents at the printing plant.	Inqaku lephephandaba leJuba Monitor malunga nesi siganeko lasuswa ngamagosa okhuseleko kwindawo yokushicilela.
We dont have freedom of the press in the country, Namiriano said.	“Asinayo inkululeko yeendaba kweli lizwe,” utshilo uNamiriano.
The solution is let us do our work as media houses. We have the code of conduct, we have the media law to guide us, and removal of stories is really very bad.	“Isisombululo kukuba masenze umsebenzi wethu njengamaziko eendaba.
South Sudans information minister, Michael Makuei, insists press freedom is alive and well in his country.	Umphathiswa wezolwazi waseSouth Sudan, uMichael Makuei, unyanzelisa inkululeko yeendaba iyaphila kwaye iphilile kwilizwe lakhe.
South Sudan is the only place where journalists are free, where they enjoy absolute freedom according to the law.	ISouth Sudan kuphela kwendawo apho iintatheli zikhululekile, apho zixhamla inkululeko epheleleyo ngokomthetho.
I say, 'according to the law,' because there is nothing absolute in this world," Makuei told South Sudan in Focus.	Ndithi, 'ngokomthetho,' kuba akukho nto iqinisekileyo kweli hlabathi, "uMakuei uxelele iSouth Sudan kuFocus.
The United Nations Commission on Human Rights refutes that assertion.	IKomishoni YeZizwe Ezimanyeneyo Yamalungelo Abantu iyakukhaba oko.
In a report issued last October, it said the government is harassing activists, journalists and their families, limiting their activities and targeting their work and finances.	Kwingxelo ekhutshwe ngo-Okthobha odlulileyo, yathi urhulumente uhlukumeza abagqugquzeli, intatheli kunye neentsapho zabo, ukunciphisa imisebenzi yabo kunye nokujolisa umsebenzi wabo kunye nemali.
South Sudan is one of the most dangerous places in the world to be a journalist, according to the commission.	ISouth Sudan yenye yezona ndawo ziyingozi kwihlabathi ukuba yintatheli, ngokwekhomishini.
South Sudan has a lot of work to do to establish and solidify the institutions that are critical to a well-functioning democratic state, David Renz, charge	ISouth Sudan inomsebenzi omninzi ekufuneka wenziwe ukuseka kunye nokuqinisa amaziko abalulekileyo kurhulumente wedemokhrasi osebenza kakuhle, utshilo uDavid Renz.
daffaires for the U.S. Embassy in South Sudan, said in a statement Tuesday, adding that the U.S. remains deeply concerned about the state of press freedom in South Sudan.	I-daffaires ye-Embassy yase-US e-South Sudan, itshilo kwingxelo ngoLwesibini, yongeza ukuba i-US ihlala ixhalabile kakhulu ngenkululeko yeendaba eSouth Sudan.
We have seen some of the local radio stations shut down over very trivial matters, Renz said. "And we also are aware that journalists of radio and television and even social media are self-censored" and wary of local and national governments actions "to penalize journalists who say things the government would prefer that they not say."	“Sizibonile ezinye izikhululo zikanomathotholo zalapha ekhaya zivaliwe ngenxa yezinto ezingenamsebenzi,” utshilo uRenz. "Kwaye siyayazi ukuba iintatheli zikanomathotholo kunye nomabonwakude kunye nemithombo yeendaba zentlalo ziyazivavanya" kwaye zilumkele izenzo zoorhulumente basekhaya kunye nesizwe "zokohlwaya iintatheli ezithetha izinto urhulumente anokukhetha ukuba zingazithethi."
Further complications from coup	Ezinye iingxaki ezivela kubhukuqo-mbuso
In Sudan, journalists in the capital city of Khartoum say harassment and threats have increased since the October 25 military takeover.	ESudan, iintatheli kwikomkhulu laseKhartoum zithi ukuxhatshazwa kunye nezoyikiso zonyukile ukusukela oko kuthabathe umkhosi nge-25 ka-Okthobha.
Shoggi Abdulazeem, an investigative journalist in Sudan, said he received a death threat in November and was warned not to speak to international media.	UShoggi Abdulazeem, intatheli ephandayo eSudan, uthe wafumana isoyikiso sokufa ngoNovemba kwaye walumkiswa ukuba angathethi namajelo eendaba ehlabathi.
I was hosting live on Al Jazeera and after leaving their office, eight armed security men followed me in a pickup. 	“Bendisindleke bukhoma eAl Jazeera kwaye emva kokushiya iofisi yabo, amadoda asibhozo axhobileyo andilandela ngemoto.
They surrounded my car," Abdulazeem said.	“Bayirhangqa imoto yam,” utshilo u-Abdulazeem.
He told South Sudan in Focus he was blindfolded and moved around "for more than two hours" and was ordered "not to criticize the military again."	Uxelele iSouth Sudan kuFocus ukuba wayevalwe amehlo kwaye ejikeleziswa "isithuba esingaphezu kweeyure ezimbini" kwaye wayalelwa ukuba "angaphinde agxeke umkhosi."
Covering pro-democracy protests in Sudan continues to be a dangerous endeavor, Abdulazeem said.	Ukugubungela uqhanqalazo lwe-pro-demokhrasi eSudan isengumzamo onobungozi, utshilo u-Abdulazeem.
Many newspapers, TV channels and radio stations received directives not to host or conduct interviews with some named individuals who criticize military leaders, Abdulazeem said.	Amaphephandaba amaninzi, izitishi zikamabona kude kunye nezikhululo zikanomathotholo zifumene imiyalelo yokuba mazingabamba okanye aqhube udliwano-ndlebe nabantu abathile abagxeka iinkokeli zomkhosi, utshilo u-Abdulazeem.
He added, "There are intelligence officers who are assigned to monitor this situation."	Wongeze ngelithi, “Kukho amagosa ezobuntlola abelwe ukubeka esweni le meko.
Aisha Assamani, an executive member of the independent Sudanese Media Network, told South Sudan in Focus he has recorded more than 10 attacks on journalists and media houses since last year's coup.	U-Aisha Assamani, ilungu elilawulayo le-Sudan Media Network ezimeleyo, uxelele i-South Sudan ku-Focus ukuba urekhode ngaphezu kwe-10 uhlaselo kwiintatheli kunye nezindlu zeendaba ukusukela kubhukuqo lonyaka ophelileyo.
"They are targeting freedom of speech with so much excessive force, Assamani said.	“Bajonge inkululeko yokuthetha ngamandla agqithisileyo,” utshilo u-Assamani.
"The majority of our journalists now are fearful and their lives are in danger. 	“Uninzi lweentatheli zethu ngoku ziyoyika kwaye ubomi bazo busesichengeni.
Most of them remain anonymous due to the danger of the situation."	Uninzi lwabo luhlala lungaziwa ngenxa yobungozi bale meko. "
On December 30, Sudanese security forces stormed the offices of three television stations — al-Arabiya, al-Hadath and al-Sharq — firing tear gas, assaulting staff and destroying broadcast equipment, according to local news media.	Nge-30 kaDisemba, imikhosi yezokhuseleko yaseSudan yangena kwii-ofisi zezikhululo ezintathu zikamabonwakude - i-al-Arabiya, i-al-Hadath kunye ne-al-Sharq - iqhumisa igesi yeenyembezi, ibetha abasebenzi kwaye itshabalalisa izixhobo zokusasaza, ngokutsho kweendaba zasekuhlaleni.
That same day, security forces detained al-Sharq correspondents Maha Al-Talb and Sally	Kwangolo suku lunye, imikhosi yezokhuseleko yavalela umnxibelelanisi we-al-Sharq uMaha Al-Talb noSally Othman iiyure phambi kokubakhulula.
Othman for hours before releasing them.	Nge-16 kaJanuwari, abasemagunyeni baseSudan barhoxisa ilayisenisi yosasazo yeAl Jazeera Live kwaye bavala iofisi yabo eKhartoum.
On January 16, Sudanese authorities withdrew the broadcast license of Al Jazeera Live and closed its office in Khartoum.	Ileta evela kwi-Information Ministry eya kumlawuli we-TV ye-Al Jazeera e-Sudan iyalela unobangela wokuvala "okukusebenza ngendlela engafanelekanga" kunye nomxholo weendaba "owonakalisa umdla aphezulu welizwe kunye nokhuseleko lwelizwe."
A letter from the Information Ministry to the director of Al Jazeera television in Sudan attributed the closing to an "unprofessional approach" and media content that "harmed the countrys higher interests and national security." The Doha-based network condemned the closure.	Inethiwekhi esekwe eDoha ikugxekile okukuvalwa.
In February, Sudanese authorities arrested a group of BBC reporters in Khartoum and questioned them for several hours before releasing them.	NgoFebruwari, abasemagunyeni baseSudan babamba iqela leentatheli ze-BBC eKhartoum kwaye bababuza imibuzo iiyure ezininzi ngaphambi kokuba babakhulule.
VOA repeatedly called Sudans government for comment, but those calls — to Brigadier General Attahir Abu Haja, press advisor to military leader Abdul Fattah al-Burhan — went unanswered.	I-VOA yabiza ngokuphindaphindiweyo urhulumente waseSudan ukuba anike izimvo, kodwa ezo fowuni - kuBrigadier General Attahir Abu Haja, umcebisi weendaba kwinkokeli yezempi u-Abdul Fattah al-Burhan - akazange aphendule.
Michael Atit reported from Khartoum, Sudan; Deng Ghai Deng and Manyang David Mayar reported from Juba, South Sudan.	UMichael Atit unike ingxelo evela eKhartoum, eSudan; UDeng Ghai Deng kunye noManyang David Mayar babike bevela eJuba, eSouth Sudan.
	
At Least 30 Burundian AU Soldiers Killed in Al-Shabab Attack, Official Says	Ubuncinci ngama-30 amajoni e-AU aseBurundi abulawa kuhlaselo lwe-Al-Shabab, igosa litsho.
At least 30 Burundian soldiers were killed and 20 others injured in Tuesday's attack by al-Shabab militants on an African Union base in southern Somalia, according to a Burundian official.	Ubuncinci amajoni angama-30 aseBurundi abulewe kwaye amanye angama-20 onzakele kuhlaselo lwangoLwesibini lwamajoni e-al-Shabab kwiziko le-African Union kumazantsi eSomalia, ngokutsho kwegosa laseBurundi.
The official, who requested anonymity because he is not allowed to speak to media, told VOA Somali that 10 soldiers died on the spot, and the rest of the soldiers succumbed to their wounds.	Eli gosa, nelicele ukungachazwa igama lalo kuba lingavumelekanga ukuba lithethe noonondaba, lixelele iVOA Somali ukuba amajoni alishumi abhubhele apho, kwaye amanye abhubhela kumanxeba awo.
He confirmed that other soldiers are still missing.	Uye waqinisekisa ukuba amanye amajoni awakafumaneki.
Al-Shabab said it killed 173 soldiers in the attack on the AU base in the village of El-Baraf, about 150 kilometers north of Mogadishu.	I-Al-Shabab ithi ibulale amajoni alikhulu elinamashumi asixhenxe anesithathu kuhlaselo lwesiseko se-AU kwilali yase-El-Baraf, malunga neekhilomitha ezili-150 kumntla weMogadishu.
The casualty figure has not been independently verified.	Inani elenzakeleyo alikaqinisekiswa ngokuzimeleyo.
A separate source told VOA Somali that 161 soldiers were at the camp at the time of attack.	Umthombo owahlukileyo uxelele iVOA Somali ukuba amajoni alikhulu elinamashumi amathandathu ananye ayesenkampini ngexesha lokuhlaselwa.
The Burundian official confirmed that number.	Igosa laseBurundi liqinisekise elo nani.
The Burundian official told VOA Somali that the soldiers had intelligence al-Shabab was gathering in a nearby village about 48 hours prior to the attack.	Igosa laseBurundi lixelele iVOA Somali ukuba amajoni anobuntlola be-al-Shabab bebehlanganisene kwilali ekufutshane malunga neeyure ezingama-48 phambi kohlaselo.
He said the soldiers prepared to defend themselves and dug trenches.	Uthe amajoni azilungiselela ukuzikhusela omba imisele.
He said what caught the soldiers by surprise was the enormity of al-Shabab explosives detonated at the camp. He said the militants used three truck bombs, one of which fell into a ditch.	Uthe eyona nto yamangalisekayo amajoni bubuninzi beziqhushumbisi ze-al-Shabab eziqhunyiswe enkampini. Uthi aba bavukeli basebenzise iibhombu ezintathu zelori, enye yazo yawela emhadini.
He estimated the militants detonated about 20 kilograms of explosives, and that 450 militants overran the camp.	Uqikelele ukuba amajoni aqhushumba malunga neekhilogram ezingama-20 zeziqhushumbisi, kwaye amajoni angama-450 abhukuqa inkampu.
The official said the suicide truck bombs caused most of the casualties.	Eli gosa lathi ezi lori eziziqhushumbisi zibangele uninzi lwamaxhoba.
Earlier, the government of Burundi reported 10 of their soldiers were killed, with five others missing and 25 injured.	Kwangoko, urhulumente waseBurundi uxele ukuba i-10 yamajoni abo abulewe, abanye abahlanu belahlekile kwaye abangama-25 bonzakala.
Burundi also said 20 al-Shabab militants were killed in the attack.	IBurundi ikwathe kwabulawa amajoni angama-20 e-al-Shabab kolu hlaselo.
On Twitter, Burundi President Evariste Ndayishimiye said there are no words strong enough to condemn the terrorist attack against the Burundian contingent.	Kwi-Twitter, uMongameli waseBurundi u-Evariste Ndayishimiye uthe akukho mazwi anamandla ngokwaneleyo okugxeka uhlaselo lwabanqolobi ngokuchasene neqela laseBurundi.
He wrote, "I join with all of Africa which has just lost sons and daughters … to console the hard-hit families."	Ubhale wathi, "Ndijoyina yonke iAfrika esandul' ukuphulukana noonyana neentombi ... ukuthuthuzela iintsapho ezibethakeleyo."
The African Union, the Somali government and the embassy of the United States in Mogadishu have all strongly condemned the al-Shabab attack.	IManyano yeAfrika, urhulumente waseSomalia kunye nonozakuzaku waseMelika eMogadishu bonke balugxeke kabukhali uhlaselo lwe-al-Shabab.
AU chief Moussa Faki Mahamat paid tribute to the Burundian soldiers killed, and said the "heinous" attack will not lessen support of AU forces to Somalia.	Inkosi ye-AU uMoussa Faki Mahamat unike imbeko kumajoni aseBurundi abuleweyo, kwaye wathi olu hlaselo “loyikekayo” aluzukuyithoba inkxaso yemikhosi ye-AU eSomalia.
The Somali ministry of foreign affairs called on the international community to increase and provide higher-end capability to Somali security forces and AU forces so they can effectively combat terrorism in Somalia.	Umphathiswa wemicimbi yangaphandle yaseSomalia uhlabe ikhwelo kuluntu lwamazwe ngamazwe ukuba lwandise kwaye lubonelele ngesakhono esiphezulu kwimikhosi yokhuseleko yaseSomalia kunye nemikhosi ye-AU ukuze bakwazi ukulwa ngokufanelekileyo nobunqolobi eSomalia.
The U.S. embassy in Mogadishu said the U.S. extends condolences to the families of the troops killed and wished a quick recovery to those injured.	Uzakuzo lwase-US eMogadishu lithe i-US idlulisa amazwi ovelwano kwiintsapho zamajoni abuleweyo kwaye inqwenela ukuchacha ngokukhawuleza kwabo bonzakeleyo.
	
The Mayor of El-Baraf, Abdullahi Haji Muhumed, told VOA that Tuesday's fighting at the camp was the heaviest the area has seen.	USodolophu wase-El-Baraf, u-Abdullahi Haji Muhumed, uxelele iVOA ukuba umlo wangoLwesibini enkampini ngowona unzima akhe wabonwa.
Fighting like this never happened in this area, he said, explaining that the violence also killed two civilians and injured 10 others.	“Umlo onje awuzange wenzeke kule ndawo,” utshilo, ecacisa ukuba olu dushe lukwabulele abantu ababini lonzakalisa abanye abalishumi.
It was heavy fighting.	Ibingumlo onzima.
