fr	fon
Le Ministre d’Etat Abdoulaye Bio Tchané a procédé dans soirée d’hier à l’hôtel Golden Tulipe de Cotonou au lancement du Rapport sur le développement Humain 2020.Réunis autour du thème« Le développement humain et l’anthropogène : la prochaine frontière », les experts ont donnéleurs points de vue sur la question afin de permettre au Bénin de participer à la sauvegarde de notre planète.	5121- Gànhɔ̀nyìtɔ́ ɖàxó Abdoulaye Bio Tchané hun nù sín gbèɖìɖò wèmá xwè 2020ɔ́ tɔn‚ ée ɖɔ nǔ dó nùkɔn yìyì gbɛtɔ́ tɔn wú lée ɖo adɔ̀tɛn Golden Tulipe ɖo Kútɔ́nú. Xótà ée wú yě kplé dó ɔ́ wɛ nyí « Nùkɔn yìyì gbɛtɔ́ tɔn» bɔ nǔnywɛ́tɔ́ lɛ́ɛ kɛnu ɖè wú.
L’évènement a permis au nouveau coordonateur résident du Programme des Nations Unies Pour le Développement, Awalé Mohamed de partager avec les participants, trois messages clés contenus dans ledit  rapport.Premièrement, Awalé Mohamed a évoqué la question de la survenue et l’expansion de la pandémie du Covid-19 qui a exacerbé une myriade d’inégalités dans le développement humain.Ensuite, il a fait cas des déséquilibres planétaires et des déséquilibres sociaux qui s’exacerbent mutuellement et pour finir, le coordonnateur résident du PNUD a parlé des nombreuses pressions de l’activité humaine sur  la nature, l’environnement et l’écosystème, car la civilisation humaine entre maintenant dans une nouvelle époque géologique- l’Anthropocène.	5122- Gàn tító kplékplé gɛ̀tà gbɛ ɔ́ tɔn ɖo Bénin‚ Awalé Mohamed kɛnu dó nǔ atɔn wu ɖo nǔwìwà ɔ́ dó mɛ: nùkɔn tɔn wɛ nyí kúngbígbá Covid-19 tɔn‚ 2ɔ́ nyí do é ɖo wàmámɔ̀nɔ̀ kpó dɔ̀kùnnɔ̀ títín ée‚ 3ɔ́ wɛ nyí gbɛmɛ dɔ̀kùn ée hín gblé mì ɖè èe.
« Elles rentraient du cours de soir, quand mal leur  a pris de passer au détour du pont et c’est en voulant traverser, certainement qu’elles ont glissé, parce qu’il y a eu suffisamment pluie ces derniers jours à Perma, dans un trou béant qui avait été abandonné par les orpailleurs.	5016- Yě tɔ́n sín azɔ̌mɛ̀ hwelɛ́kɔ tɔn bó xwè xwégbè èe wɛ yě ná kó ɖíɖí nǔ ɖo anà jì yìyì hwenu‚ ɖó jì ée jà ée azǎn gùdó gùdó tɔn élɔ́ lɛ́ɛ mɛ̀ ée wú‚ bó ná kó jɛ síká bíbà do ɔ́ mɛ.
Elles étaient quatre, il y a eu une rescapée et les trois autres sont mortes noyées», rapporte l’Abp.	5017- Yě mɛ ɛnɛ wɛ bɔ mɛ̀ bɔ mɛ̀ atɔn kú sin kú bɔ mɛ̀ ɖòkpó gán ɖè mɛ‚ mɔ̀ wɛ abp ɖɔ gbɔn.
Les corps des fillettes ont été remis aux parents pour inhumation après le constat d’usage fait en présence du procureur de la République près le tribunal de première instance de deuxième classe de Natitingou.	5018- Vi lɛ́ɛ sín cyɔ́ ɔ́‚ ée gàn hwɛɖɔtɔ́ kpó ahwan tɔn Natitingou*** mɛ̀ lɛ́ɛ kpó kpɔ́n wàyi gùdó ɔ‚ è bɛ̀ yě nú mɛ̀nɔ̀ lɛ́ɛ bɔ yě ɖi.
Touché par les faits, le chef d’arrondissement estime ne pas comprendre ce qui a pu bien motiver les victimes à emprunter ce chemin qu’elles n’avaient pas l’habitude de prendre.	5019- Tòkpɔnlàvigàn ɔ́‚ kpó ɖo nǔ é dó vi lɛ́ɛ bɔ yě gbɔn ali énɛ́ yě mɔ̀ nɔ̀ gbɔn hwɛhwɛ ǎ èe kàn byɔ́ é ɖè wɛ.
Il a, par ailleurs, exhorté les parents d’élèves à être davantage vigilants afin de mieux protéger les petits écoliers, contraints parfois d’emprunter ce chemin.	5020- É byɔ́ vitɔ́ vinɔ̀ lɛ́ɛ ɖɔ yě nì hwlí bo ní vi lɛ́ɛ déjí.
« Le trou dans lequel les enfants se sont noyées, est un trou de près de 7 mètres de profondeur laissé par les orpailleurs, sous prétexte qu’on cherche de l’or.	5021- Do ée mɛ̀ wɛ vi lɛ́ɛ jɛ ée ɔ́‚ é yì mɛ̀tégà atɔn adàɖè bɔ síkákúntɔ́ lɛ́ɛ kún bɔ nyín ɖɔ yě ɖo síká bàwɛ.
Aussi bien, dans les réunions préparatifs que tout au long des assises, l’argentier béninois, qui représentait le chef de l’Etat Patrice Talon, a joué un rôle primordial.	Ɖo nǔsɩ́sɔ́ sɩ́n kplé lɛ́ɛ kpódó nǔwɩ́wa ɔ́ tɔn lɛ́ɛ ɖésú dómɛ ɔ́, akwɛ́gbájɩ́nɔ́tɔ Benɛtò tɔn e sɔ́ Togán Patrice Talɔ̂n sɩ́n afɔ ɖótè ɔ́ w'azɔ̌ titzewungbe.
Et pour cause, désormais, de nombreuses grandes compagnies qui exigeaient ce préalable pourront désormais se décider à venir au Bénin sans aucune crainte, et opérer plus aisément.	5200- Kpódó acɛ wèmá élɔ́ kpó ɔ́‚ jɔmɛhùn gɔ̀nù ée nɔ̀ ɖo wèmá byɔ́ mǐ wɛ lɛ́ ée ɔ́‚ bi ná wà nǔ xá mǐ din xɛ̀si mà ɖè mɛ́.
Tout ceci parce qu’elles seront rassurées d’opérer avec un aéroport répondants aux normes internationales en la matière.	5201- Ɖó yě ná mɔ̀ ɖɔ jɔmɛhùnjayìtɛn ɔ́‚ xwédó sɛ́n lɛ́ɛ bì din.
De belles opportunités pour le pays qui ne sont que le fruit des investissements faits par le gouvernement Talon, souligné par le DG Anac pour qui « l’aéroport de Cotonou entre ainsi dans un cycle reconnu par la communauté internationale car cette certification a connu la participation de 6 pays de la sous-région, de l’UEMOA et de l’organisation de l’aviation civile internationale qui est la structure de l’ONU en charge des questions de l’aviation civile.	5202- Nyɔnà ɖàgbè wɛ hun hɔn dó Bénin jì ɖo akwɛ́ énɛ́ acɛkpìkpà Patrice Talon tɔn zán ée wú. Gàn Anac ɖɔ « Jɔmɛhùnjayìtɛn Bénin tɔn byɔ́ jɔmɛhùnjayìtɛn é ɖo sɛ́n hwí jì ɖo gbɛ ɔ́ mɛ èe mɛ ɖo Uemoa sín tò 6 gɔ̀nú akpáxwé Onu tɔn ée nɔ̀ kpé nùkún dó Jɔmɛhùnjayìtɛn nù èe wɛ dó zògbèjì.
À seulement 18 ans, sa physique ne sera pas autorisée à faire face à une densité de concurrence aussi élevée.	5308- Xwè 18 ɖo wɛ jɛn éɖè bó kà ná xo bɔlu xá agbɔnɔ̀ lɛ́ɛ.
Il y a eu des moments tout au long de la saison, les deux joueurs ont été fatigués et ont participé au mieux de leurs capacités.	5309- Hwenu ɖè lɛ́ɛ nú tǐn ɖo bɔluxìxo élɔ́ hwenu bɔ nǔ nɔ̀ cikɔ nú yě mɛ̀ we lɛ́ɛ.
Cela a été clairement exprimé avant le match contre le Real Madrid.	5310- E kó ɖɔ énɛ́ gànnàgànnà hwɛ có bɔ yě xo bɔ̀lu xá Real Madrid.
Le tueur en série français déclaré coupable des meurtres de sept jeunes femmes et adolescentes souffrait de problèmes cardiaques et de la maladie d’Alzeimer.	4865- Nya Flansê tò mɛ nù nɛ ée nɔ hù mɛ kpaɖa kpaɖa‚ bó hù nyɔnu wìnnyá wìnnyá kpódó ɖyɔvǐ tɛnwe kpán ɔ‚ ɖò hǔn jí zɔ́n kpódó wɔn zɔn kpán jɛ wɛ.
Une enquête en recherche des causes de la mort est ouverte ce jour par le parquet de Paris.	4866- Hwɛɖɔgbásá Paris tɔn ɖò awɔntin hwɛn ayǐ wɛ bà dó tuun kú è hù í é.
Michel Fourniret purgeait deux peines de prison à perpétuité.	4867- Michel Fourniret ɔ kú hwɛ we fó wɛ ɖè.
Bembéréké, 19 avril 2021 (ABP) – Un camion chargé d’essence de contrebande est tombé ce dimanche avec 05 passagers à bord et tout son contenu sur l’axe Inter-Etat Cotonou-Niamey , entre Guessou-Sud et Ina, deux localités de la commune de Bembèrèkè, a rapporté la radio Nonsina FM de Bembèrèkè , faisant un mort calciné sur les 5 occupants du véhicule.	4868- Bembéréké‚ azǎn 19ɔ lidósùn xwè 2021ɔ tɔn gbè (ABP) - Mɔto ɖaxó ɖé wɛ bó kùn zomi kɛkɛ tɔn lóbó hɛn gbɛtɔ 5‚ é flí dó ali è gosin Kutɔnu bó yì Niamey é ɔ jí ‚ ɖò Guessou kpódó Ina kpán tɛntin ‚ tòxò we Bembéréké tɔn nɛ lɛ́ɛ‚ lě gbaví bowun bowun gɔnu Nonsina FM ɖɔ gbɔn é ɔ‚ mɛ ɖokpó ɖò mɛ 5 lɛ́ɛ mɛ bó fyɔ bǐ.
Lequel a été sanctionné par l’adoption d’une déclaration des participants qui rejoint la proposition du Bénin sur la question de l’annulation ou non de la dette africaine.	Kplé ɔ́ fó dó alɔdówěma mɛ kplédomɛwátɔ́ lɛ́ɛ sɩ́n gbetakɛ́n jɩ́, b'ɛ́ sɔgbe xá nǔ e Benɛtò ɔ́ ɖɔ́ dó axɔ́ kpaa tò tɔn ɔ́ súnsún jɩ́ é.
C’est une trentaine d’œuvres d’art plastique, dont les auteurs sont un collectif d’artiste de renom, que la résidence hôtel ‘’Maison rouge’’ a accueillie jeudi 06 mai 2021.	"""Atɛ-ɖiɖe-ɖ'éjɩ́ gban mɔ̌ ényɔ́wátɔ́ lɛ́ɛ ée kplé dó b'ɛ yɩ́ jǒnɔ yètɔn ɖo gbɛɖutɛn adɔ̌tɛn """"Maison Rouge"""" ɖo nyɔ̌nuzángbe azǎn 6ɔ nǔxwásun xwè 2021ɔ tɔn."""
Ils sont trente artistes d’art contemporain à être consultés sur la réalisation de ce projet dont la vision est de sensibiliser et d’interpeler la conscience du public sur la problématique de la défécation à l’air libre.	Tamɛlin-bo-ɖe-nǔɖagbe-tɔ́n-tɔ́ gban wɛ yè ylɔ́ dó nǔwɩ́wa élɔ́ wú bó ná dó jlá nú to bo fɔ́n ayi mɛ ɖokpó dokpó tɔn nyite dó nǔ é kan nǔgúdó yi dó wěxo é jɩ́.
Au-delà, il était aussi question de persuader la communauté sur le fait qu’avec tous les moyens d’expression, l’art peut aider à parler avec une certaine légèreté de problématique sérieuse voire taboues.	Nú yè nǎ ɖɔ ɔ́, linlin ɔ́ ɖěvo wɛ nyɩ́ ɖɔ è nɩ́ d'alɔ́ agun nú é tuun ɖɔ tamɛlin bo ɖe nǔ ɖagbe tɔ́n ɔ́ nɔ́ lɛ́ ɖɔxó dó nǔ é vɛ́wǔ ɖiɖɔ bo lɛ́ nyɩ́ sù é wú hú xóɖɩ́ɖɔ́ ɖělɛ́ɛ.
Pour donc réussir le pari, l’organisateur de l’exposition, Dominique Bourquin, a rassemblé autour de son initiative, la sœur religieuse peintre Henriette Goussikindey, Dominique Zinkpè, Rémy Samuz, Makef, Daté Kodjo Amouzou, Youss Anato, Aston, Lionnel Attere pour ne citer que ces artistes peintres sculpteurs.	Bó ná dó kpé adɔndindɔn ɔ wú ɔ́, nǔtótɔ́ fɔwátɛ́ ɔ́ tɔn, Dominique Bourquin, ylɔ́ asyɔ́nla sɛndóɖeɖiɖe-ɖ'ávɔmɛ-tɔ́ Henriette Goussikindey, Dominique Zinkpè, Rémy Samuz, Makef, Daté Kodjo Amouzou, Youss Anato, Aston, Lionnel Attere dó wǔ, yè mɛ nɛ́ lɛ́ɛ é nyɩ́ tamɛlin-bo-ɖe-nǔɖagbe-tɔ́n-tɔ́, sɛndóɖeɖiɖe-ɖ'ávɔmɛ-tɔ́, awɩ́nnyakpátɔ́ (xwlɛkpatɔ́).
Peut-être que ce dernier était même au service du président Talon.Qui dit le contraire ?	5164- Afɔnyɔ̌ é sǐ kó ɖo nǔ wà ní tògàn Talon wɛ.
Le département de l’Ouémé a accueilli hier les Opérateurs- Kits et divers acteurs de l’opération  qui en formation  à Porto-Novo.	5165- Tòkpɔn Wèmɛ tɔn yì jonɔ̀ yě mɛ̀ nyíkɔ́ dó wèmá mɛ̀ tɔ́ lɛ́ɛ tɔn ɖo Xɔgbonu ní nǔnywɛ́ yì dó nǔnywɛ́.
C’est la maison des jeunes de la commune d’Akpro-Missérété, au niveau du troisième arrondissement de Porto -Novo, et dans la commune d’Adjohoun en ce qui concerne le département de l’Ouémé.Donner la chance à tous les Béninois en âge de voter d’exprimer librement leur droit civique.	5166- Ɖo Wèmɛ kán ɔ́ mɛ̀ ɔ́‚ fí lɛ́ɛ wɛ nyí Akpro-Missérété‚ Xɔgbonu‚ Adjohoun. É blǒ mɔ̀ b'á dó ná acɛ mɛ̀bi ní gànsísɔ́ ɔ́.
C’est ce à quoi  l’organe en charge de la gestion du fichier électorale informatisé s’attèle depuis quelques jours.	5167- Énɛ́ sín gandòwɛ xwé nɔ̀ kpé nùkún dó nǔ énɛ́ wù ɖè sín azǎn nàbì ɖè ɖyé.
Du bureau de l’organe jusqu’au dernier acteur sur le terrain, le devoir d’aboutir à un fichier électoral digne de la Nation s’accomplit avec responsabilité et abnégation.En effet, cette formation des opérateurs de kits pour la deuxième phase de l’enrôlement des citoyens lancée dans le  département de l’Ouémé permettra la mise en œuvre de  la feuille de route du Cos-Lépi avec les coordinateurs départementaux, les chefs de zone, les ATAA et les CCA.	5168- Mɛ̀ é kó ɖo azɔ̌wàgɔ̀nù ɔ́ mɛ̀ ée bì wɛ ɖo kànxowɛ ní é ná mɔ̀ gànsɔ́wèmá ɖàgbè ɖòkpó. Nǔnywɛ́ yì dó nǔnywɛ́ jì mɛ̀ nyíkɔ́ yì dó wèmá tɔ́ lɛ́ɛ‚ nú mɛ̀ nyíkɔ́ yìdó wèmá mɛ wègɔ́ énɛ́ ná zɔ́n bɔ tító Cos-Lépi tɔn ɔ́‚ ná yì tà xwédó azɔ̌wàxɛ̌tɔ́ lɛ́ɛ.
Pendant deux semaines donc, l’opération d’enrôlement va s’intéresser aux personnes non prises en compte dernièrement, les citoyens omis et les jeunes majeurs.Au cours de la formation de jour, l’expert de l’ANT a invité les participants à la rigueur et au respect des recommandations pour l’efficacité du travail.	5169- Ɖo aklùnzǎngbèglá we mɛ ɔ́‚ tòvi é má dó nyí yětɔn wèmá mɛ ɖàyì ǎ èe ná blǒ.  .-Ényɔ́blótɔ́ ɖàxó ANT tɔn byɔ́ mɛ̀ nyíkɔ́ yìdó wèmá mɛ tɔ́ lɛ́ɛ ɖɔ yě nì wà nǔ xwédó nǔ é kplɔ́n yě lɛ́ɛ ée ní nǔ bì ná dó yì ganjì.
Il a ajouté que l’enjeu de l’enrôlement se trouve à deux niveaux : Les élections présidentielles de 2021 et le développement du Bénin.	5170- É lɛ́vɔ gɔ́ná ɖɔ mɛ̀ nyíkɔ́ yìdó wèmá mɛ énɛ́ ɖo tògànsísɔ́ linù bó ká lɛ́ɛ ɖo nùkɔn yìyì Bénin tɔn linù.
Et c’est à juste titre il a insisté sur les peines encourues par les opérateurs de kits qui feraient l’enrôlement au mépris des règles.Il a été soutenu et appuyé par les autres acteurs de la chaîne de l’opération à savoir Dominique Dah Alisanon (Coordonnateur départemental Ouémé), Marc Fadaïro (CCA Porto-Novo)  Owolabi Kévin Dossou (Coordonnateur Porto-Novo), Barthélémy Ezoun (Coordonnateur Sèmè-Kpodji) et Bernard Gbodjinou (Coordonnateur Aguégués).	5171- Mɛ̀ nyíkɔ́ yìdó wèmá mɛ tɔ́ lɛ́ɛ ɖè blǒ gbɔ ɔ́‚ sɛ́nbá ée ɖo tèkpɔ́n ɛ́n ée‚ é lɛ́vɔ flín yě.  .- Yě mɛ̀ azɔ̀wàtɔ́ ɖè lɛ́ɛ lɔ ɖo gùdó tɔn‚ yě wɛ nyí: Dominique Dah Alisanon (gbɛ̀tàgàn tòkpɔn Wèmɛ tɔn)‚ Marc Fadaïro (CCA Xɔgbonu)‚ Owolabi Kévin Dossou (gbɛ̀tàgàn Xɔgbonu tɔn)‚ Barthélémy Ezoun (gbɛ̀tàgàn Sèmè-Kpodji tɔn) kpó Bernard Gbodjinou (gbɛ̀tàgàn Aguégués tɔn).
Le premier Mestre de Capoeira africain, président de l’Association Capoeira Bénin, Mamoudou Fassassi était l’invité de marque de l’émission Dimanche Sport de Radio Tokpa.C’était dans l’après-midi de ce dimanche 18 avril 2021.	5172- Nùkɔntɔ́ Capoeira (akpotokwínnyínyí) mɛ̀wigbèjì tɔn‚ gbɛ̀kplékplé yětɔn ɖo Bénin tɔn‚ Mamoudou Fassassi wɛ nyí mɛ̀ è yì ɖo hwe lɛ́kɔ ɖo xóɖɔníwɛkɛtɛn Tokpa tɔn jì ɖo aklùnzǎngbè 18ɔ́ lidosùn xwè 2021ɔ́ tɔn gbè.
Avec le journaliste Félix S. PEPERIPE, la sommité de la Capoeira africaine a évoqué tout sur l’art martial afro-brésilien au Bénin.	5173- Kpódó xójlázɔ́wàtɔ́ Félix S. PEPERIPE kpó wɛ nùkɔntɔ́ Capoeira tɔn ɖɔ nǔ bi dó akpotokwínnyínyí afro-brésilien tɔn jì ɖo Bénin.
Mestre Mamoudou Fassassi a exposé la Capoeira dans toutes ses dimensions.L’introduction de l’échange !Grand moment de Radio sur les ondes de la 104.3 FM !	5174- Mamoudou Fassassi tínmɛ nǔ gègè dó Capoeira énɛ́ jì ɖo 104.3 FM tɔn ɔ́ jì.
Mestre Mamoudou Fassassi n’est pas passé par quatre chemins pour dissiper les inquiétudes autour de la reconnaissance de l’art martial afro-brésilien en tant que sport.	5175- Mamoudou Fassassi tínmɛ lée Capoeira afro-brésilien tɔn énɛ́ ɖo lɔnnyìjìfánkan mɛ gbɔn èe.
Partant de l’origine de la Capoeira dans le monde, Mestre Mamoudou Fassassi a relaté de fonds en comble les faits qui ont marqué la naissance de la discipline au Bénin.“La Capoeira est un art martial créé pas les africains déportés au Brésil au temps de l’esclavage…j’avais connu la Capoeira, aujourd’hui ça fait plus de 23 ans…dans un film, Only The Strong… J’ai fait des recherches sur internet.	5176- Mamoudou Fassassi tínmɛ lée Capoeira afro-brésilien tɔn énɛ́ ɔ́ wá Bénin gbɔn ée. Capoeira ɔ́ akpotokwínnyínyí ɖè wɛ bɔ mɛ̀wi kànnumɔ̀nɔ̀ è bɛ̀ ɖó Brésil lɛ́ɛ èe ɖètɔ́n. Un tǔn Capoeira din èe ɔ́‚ é ná ɖo xwè 23 mɔ̀ din‚ yɛwunkɔ́nnyìdówǔ, Only The Strong mɛ wɛ un mɔ̀ ɖè bó bà do ná ɖo mɔ̀gbà ɔ́ jì.
Avec des amis, le groupe que je formais, on s’était auto formé.	5177- Kpódó xɔ́ntɔ́n ce lɛ́ɛ kpó ɔ́‚ mǐ kplɔ́n miɖè lɛ́ɛ.
En 2009, le premier ambassadeur du Brésil près le Bénin est venu avec sa femme nous découvrir….	5178- Ɖo 2009ɔ́‚ afɔsɔ́ɖótètɔ́ Brésil tɔn ée ɖo Bénin ée kpó asi tɔn kpó wá kpɔ́n mǐ.
Grâce à lui, on a eu le Mestre Renato du Brésil qui nous a formés.	5179- É yɛ́ wá dó alɔ mǐ bɔ mǐ dó mɔ̀ Mestre Renato Brésil tɔn bɔ é wá kplɔ́n mǐ.
J’ai été au Brésil, j’ai parcouru plusieurs académies pour mieux me formé également.	5180- Un wà yì Brésil bó lɛ́ yì kplɔ́n déjí ɖo azɔ̀mɛxwé tɔn gègè.
Il a donc été contrôlé l’étalonnage des instruments et matériels de mesurage de cet hôpital de référence dans l’optique de faciliter un diagnostic fiable du mal des patients…	É wá yɩ́ jlɛ́ azɔ̌wánú kpódó mɔ nǔjlɛ́nú tɔn dotôxwé ɖaxó nɛ́ ɔ́ tɔn bónú lanmɛ gbéjé gbéjé kpɔ́n azinzɔnnɔ lɛ́ɛ tɔn ná sixú ná nǔɖagbe...
Surfant sur le succès occasionné par ses œuvres et le concept qu’il a créé et avec la préparation d’un troisième album en vue, Jonathan Josias Gbétie-Marcos alias Joka, le Créateur du ”Soyoyo Décalé” sera frappé par une vilaine maladie.	"""Hwenu è Jonathan Josias Gbétie-Marcos ée e nɔ ylɔ́ ɖɔ Joka é, mɛ e dɔn """"Soyoyo Décalé"""" wá ɖo ɖuɖéjɩ́ agbǎnxwɛ́ tɔn lɛ́ɛ kpó we é dó wá é tɔ́n kpó kpódó agbǎnxwɛ́ atɔngɔ́ ɔ́ é sɔ́nǔ ná wɛ é ɖe é ɖɔ́kpɔ́n wɛ ɔ́ wɛ azɔn baɖa baɖa ɖé wá xó é."""
Pendant plus de trois ans, il sera convalescent.	Nú xwè atɔn jɛ jɩ́ wɛ é ná nɔtekpɔ́n azɔngbigbɔ tɔn.
Après avoir investi une fortune dans sa santé et ceci avec le soutien de l’ex Fonds d’Aide à la Culture, il se rétablit et décide de relancer sa carrière, mais les moyens lui font toujours défaut.	Ée é zán kwɛ́ dó lanmɛnanɔganjɩ́ tɔ́n wú vɔ kpódó alɔgɔ́ Fonds d’Aide à la Culture xóxó ɔ́ tɔ́n kpó ɔ́, azɔn gbɔ nɩ́ɩ́ b'ɛ́ sɔ́ gbeta bóná gbɛkan dó azɔ̌ tɔn wú loɔ́ é sɔ́ ɖó gǎn tɔn ǎ.
Soulignons que dans ses morceaux, Arlette Agossadou développe le remerciement et reconnaissance au créateur Dieu (Gospel) pour l’avoir sorti de certaines épreuves de la vie sans oublier la méchanceté des hommes.	5075- Ɖo Arlette Agossadou sín han lɛ́ɛ mɛ ɔ́‚ susu kpà nù Mawù jì wɛ é jínjɔ́n ɖo nǔ bàɖàbàɖà é mɛ̀ wɛ é hwlɛ́n ɖè èe wú.
‘’Il m’a donné la gloire là où l’ennemi a espéré mon échec’’ a laissé entendre Fifa.	5076- «É sɔ́ mí su ɖo fí èe kɛ́ntɔ́ lìn ayìjìjɛ́ ce ɖè èe. » mɔ̀ wɛ Fífá ɖɔ.
Dans les jours à venir avant la fin de 2020, elle sortira son nouveau single qui va annoncer son premier album.	5077- Có bó ní éná yì fífónù xwè 2020ɔ́ tɔn‚ é ná ɖè agbàn tɔn nùkɔn tɔn tɔ́n.
A travers une pluralité d’expression artistique, chacun y est allé par ses moyens pour faire ressortir sa conviction sur la thématique qui fait l’objet de la création.	Gbɔn ayihúndɩ́da tɛnmɛ tɛnmɛ lɛ́ɛ mɛ ɔ́, mɛ ɖokpó ɖokpó ɖe nǔ é lin dó xóta ɔ́ wú é xlɛ́.
TG	Akwɛ́gbájɩ́nɔ́tɔ́ nukɔntɔn ɔ́ (TG)
Des individus ayant érigés des ghettos à 300 mètres du domicile du président de la République ont été rasés.	5260- Gée nùnù xɔ ée ɖo màlìnmàlìn dó tògàn gbàsá lɛ́ɛ èe ɔ́‚ è gba bì dò.
Le colonel Gaffan, Directeur départemental de la police républicaine du Littoral, a expliqué aux homes des médias que les intéressés seront présentés au procureur de la République.	5261- Nùkɔntɔ́ sɔ́jà lɛ́ɛ tɔn‚ tòkpɔngàn húlɛ̀nù tɔn kponɔ̀ lɛ́ɛ tɔn tínmɛ ɖɔ é ná sɔ́ énɔ̀ lɛ́ɛ yì xɛ́lɛ́ hwɛɖɔtɔ́gàn ɔ́ tò ɔ́ tɔn.
Narcisse Gaffan après avoir été mis au courant de cette grave et délicate information, n’a pas tardé à réagir.Il a sollicité l’appui d’une unité spéciale et déployé ses éléments très tôt sur le terrain le 18 décembre 2020 derrière le port sec au quartier Zongo à Cotonou.	5262- Ée Narcisse Gaffan sé xó ɔ́ èe‚ é ká ɖó afɔ jì ǎ. É byɔ́ alɔgɔ ényɔ̀wàtɔ́ lɛ́ɛ bó ɖè kponɔ̀ tɔn lɛ́ɛ nyì ayì ɔ́ jì‚ ɖo ayìhùntɛn gùdó ɖo Kútɔ́nú Zɔngo sín slǎ ɔ́ mɛ ɖo azǎn 18ɔ́ wǒsùn xwè 2021ɔ́ tɔn gbè.
Après des années de mauvaise gestion et de mauvais plans, le Géant catalan a presque tourné la situation en une saison.	5299- Catalannù ɔ́ blǒ gbɔ káká èe ɔ́‚ wà ɖyɔ́ ɖo bɔ̀lu'xo hwenu ɖòkpó.
Cette équipe a de la chance de revenir avec de jeunes talents et de nombreux autres joueurs qui se trouvent dans les rangs de La Masia.	5300- Kpódó ényɔxòtɔ́  jɔwunjɔja lɛ́ɛ kpó ɔ́‚ gbɛ̀tà énɛ́ ɔ́ hín ɔ́‚ é ná lɛ́kɔ wá.
