en	tsn
US first lady Jill Biden is getting her own biographical comic book, joining women like Vice President Kamala Harris, nun Mother Theresa and country star Dolly Parton in TidalWave Comics Female Force series.	Lekgarebe la ntlha la US Jill Biden o fitlhela buka ya kwalotshelo ya metlae ya gagwe ya ntlha, a latela  basadi ba tshwana le moporesitente wa Vice Kamala Harris, moitlami Mme Theresa le naledi ya naga Dolly Parton mo tlhatlhamong ya buka ya Metlae ya Basadi ba Maatla ya TidalWave
The 69-year-old community college educator and author will be the subject of the 22-page Female Force: Jill Biden, which will be released in print and digitally on April 7.	Morutabana wa kholeji ya setšhaba yo o dingwaga di le 69 gape e le mokwadi o tla nna setlhogo sa buka ya ditsebe di le 22 ya basadi ba dinatla: Jill Biden, e e tlaa gololwang ka kgatiso le mo maratlhatlheng ka la  7 Moranang .
A matching colouring book will also be released.	Buka ya mebala e e nyalelanang le yona e tlaa gololwa.
Biden, who has long advocated for military families, community colleges and women’s education, is the latest addition to the biographical comic series, dedicated to inspirational women.	Biden, yo a neng a tshegetsa masika a sesole, dikholeji tsa baagi le thuto ya basadi, ke tlhatlhamo ya tlaleletso ya bofelo kwalotshelo ya metlae, e e diretsweng go akgola basadi.
Previous subjects also include former first lady Michelle Obama, singer Cher and actress Betty White.	Ditlhogo tsa kwa morago di akaretsa gape lekgarebe la ntlha la maloba Michelle Obama, seopedi Cher le modiragatsi  Betty White.
We believe that it is important for readers to have inspiring role models, to learn about extraordinary individuals that have overcome challenges to make a difference in the world, TidalWave Comics said in a statement.	Re dumela gore go botlhokwa gore babuisi ba nne le seabe sa sekao se se molemo se se rotloetsang, go ithuta ka ga batho ba ba sa tlwaelegang ba ba fentseng  dikgwetlho go dira pharologano mo lefatsheng, TidalWave o buile mo setatamenteng.
Menachem Rosensaft, the son of two Holocaust survivors who became an international lawyer specialising in genocide, has spent much of his life trying to reconcile the horrors of the past with his Jewish faith.	Menachem Rosensaft, morwa wa bafalodi ba matlhotlhapelo ba babedi o a nnileng mmueledi yo o itsegeng boditšhabatšhaba ka go nyaolwa ga batho , o tshetse botshelo jwa gagwe jo bontsi a leka go kopana le masetlapelo a a fetileng le tumelo ya  Bajuta.
Rosensaft was born in 1948 in military barracks housing displaced persons, including survivors like his mother of the nearby Bergen-Belsen Nazi concentration camp.	Rosensaft o belegwe ka ngwaga wa 1948 kwa dikampeng tsa dintlo tsa sesole tsa batho ba ba tlositsweng, go akaretsa le bafalodi ba ba tshwanang le mmagwe wa kwa kampeng e e gaufi ya Bergen-Belsen Nazi.
His father survived five camps, including Auschwitz and Bergen-Belsen.	Rraagwe o tshetse mo dikampeng tse tlhano, go akaretsa le Auschwitz le Bergen-Belsen.
Around 50 000 prisoners died at Bergen-Belsen, among them Anne Frank.	Batshwarwa ba ka nna 50 000 ka palo ba tlhokafaletse kwa Bergen-Belsen, magareng ga bona ke Anne Frank.
When British forces freed the camp in 1945, they found some 60 000 survivors, but nearly 14 000 died within two months from disease and malnutrition.	Fa sesole sa kwa Britain se se ne golola kampa ka ngwaga wa 1945, ba fitlhetse bafalodi ba ka nna 60 000, fela  ba ka nnang 14 000 ba tlhokafatse mo dikgweding di le pedi ka ntlha ya malwetse le tlhokego ya dikotla.
Rosensaft, an American, has turned to poetry to reflect in verse not only on the Holocaust but also recent attempts at genocide, such as in Bosnia and Rwanda, and also tackles racism and intolerance.	Rosensaft, wa Moamerika, o sekametse go poko go tlhagisa ka temana e seng fela mo Matlhotlhapelo fela gape le maiteko a a tswang mo dipolaong, jaaka kwa Bosnia le Rwanda, gape le go itebaganya le kgethololo ya mmala le go itshokela.
We know there are neo-Nazi forces, there are white supremacist forces in all parts of the world who, if allowed to, will perpetrate horrific acts, crimes against humanity, genocide against the other, Rosensaft said in a video interview from his home in New Jersey.	Re a itse gore go na le kgatelelo ya neo-Nazi, go na le kgatelelo ya basweu mo dikarolong tsotlhe tsa lefatshe, ke mang, fa go letleletswe, o tla dirang ditiro tse maswe, bosenyi kgatlhanong le batho, polao kgatlhanong le bangwe, Rosensaft o rile jalo mo kgatisong ya  ditherisano go tswa kwa legaeng la gagwe kwa New Jersey.
And the other can be Jews, Roma, Muslims, it can be the immigrant and the LGBTQ community and we all have to be on guard.	Mme ba bangwe e ka nna MaJuta, MaRoma, maMoseleme, e ka nna batswakwa le setšhaba sa LGBTQ  rotlhe re tshwanetse go nna kelotlhoko.
His book of verse, Poems Born in Bergen-Belsen, is being published in April by Kelsay Books to coincide with Yom Hashoah, the Jewish day of remembrance for Holocaust victims on April 9 and the anniversary of the liberation of Bergen-Belsen on April 15, 1945.	Buka ya gagwe ya temana, maboko a a tshotsweng mo Bergen-Belsen, e phasaladitsweng ka Moranang ke Dibuka tsa Kelsay go tsamaisana le Yom Hashoah, Letsatsi la Bajuta go gopola batswasetlhabelo ba matlhotlhapelo ka Moranang 9 mme segopotso sa kgololosego ya Bergen-Belsen ka Moranang 15, 1945.
Rosensaft, who has visited Bergen-Belsen more than 25 times, wrestles in some of the 82 poems with what he called ghosts of those who will not leave places where they were killed.	Rosensaft, yo a etetseng Bergen-Belsen makgetlho a a fetang 25, o lwana mo mabokong a mangwe a le 82 le se a se bitsang dipoko tsa ba ba ka se tlogeleng mafelo ao ba bolaetsweng go ona
I try to figure out in my own head what has happened to them, what are they doing, what is going on with the landscape which they still inhabit because they dont have a cemetery, they dont have a graveyard, he said.	Ke leka go tlhaloganya ka fa tlhogong ya me ke eng se se ba diragaletseng, ba dira eng,  go diragala eng ka lefatshe leo ba le dutseng  ka gonne ga ba na mabitla, a rialo.
Their graveyard is the sky.	Mabitla a bona ke legodimo
He writes of clean-shaven guards humming Mozart as they select who will live and who will die and then ending their shift with a bored smile before dinner.	O kwala ka mosireletsi yo o segang sentle ditedu a ntse a sumasuma Mozart fa ba tlhopha yo o tla tshelang le yo o tla bolawang morago ba feleletse tiro ya bona ka monyenyo o o bodutu pele ga dijo tsa bosigo.
Children inhabit many poems, inspired by his half-brother Benjamin, who at five-and-a-half years old was killed alongside his father and grandparents on arrival at Auschwitz in 1943.	Bana ba latela maboko a mantsi, o rotloeditswe ke abuti-ka-motsadi Benjamin, yo ka dingwaga di le tlhano le halofo  o ne a bolawa mmogo le rraagwe le bagolo mo go gorogeng kwa Auschwitz ka 1943.
As guards herded them to the gas chamber, Benjamin asked his mother if they were going to live or die.	Fa basireletsi  aba kgoromeletsa kwa diphaposing tsa gase, Benjamin o ne a botsa  mmaagwe gore a ba tlile go tshela kgotsa go swa.
She did not answer	Ga a ka a mo araba.
Benjamin would be 83 today.	Benjamin nkabe a le dingwaga di le 83 gompieno
When Rosensafts mother died in 1997, he realised that the only place Benjamin now lived was inside him.	Fa mmagwe Rosensafts a tlhokafala ka ngwaga wa 1997, o ne a lemoga gore ke lefelo le le nngwe fela le Benjamin o tlaa tshelang go lona, ke ka fa gare gagwe.
I see his face, I try to imagine his voice, I try to imagine his pain, his fear, his anguish and the one thing I know is that if I didnt remember him he would disappear, Rosensaft said.	Ke bona sefatlhego sa gagwe, ke leka go akanya lentswe la gagwe, ke leka go akanya kutlobotlhoko ya gagwe, le letshogo, mme selo se le sengwe se ke se itseng  ke gore fa ke sa mo gopole o tla nyelela,  go bua Rosensaft.
He said he writes about children killed in the Holocaust to give them a measure of immortality.	O rile a re o kwala ka ga bana ba ba bolailweng ka fa Holocaust go ba neela tekanyetso ya bosasweng.
A religiously committed Jew, Rosensafts relationship with God is troubled.	MoJuta yo o ineetseng mo bodumeding, Botsalano jwa ga Rosensaft le Modimo bo ne bo raraane.
One poem, Psalm 13, Post-Auschwitz, starts by telling God:	Leboko le le lengwe, Pesalome 13, Post-Auschwitz, o simolola ka go bolelela Modimo:
You hid Your face, ignored  your world, while flesh-fueled flames pierced the skyt, and ends telling him: It is too late.	O fitlhile sefatlhego sa gago, wa itlhokomolosa lefatshe fa dikgabo tsa tse tukang mo nameng di tlhasela loapi mme o feleletsa ka go mmolelela gore:.
Athletic shoemaker Nike Inc on Monday sued a New York-based company that produced Satan Shoes purported to contain a drop of human blood as part of a collaboration with Old Town Road rapper Lil Nas X.	Go setse go le thari thata.
Nike said in the lawsuit that the company, MSCHF Product Studio Inc, infringed on and diluted its trademark with the black-and-red, devil-themed shoes, which went on sale online on Monday.	Modiri wa ditlhako wa atleletiki Nike Inc ka Mosupologo o sugile setlamo se se leng kwa New York se se dirang ditlhako tsa Satan se latofatswa ka go nna le lerothodi la madi a motho jaaka jaaka karolo ya tirisanommogo le Repar ya  Old Road Lil Nas X
The shoes are customized Nike Air Max 97 sneakers that contain red ink and one drop of human blood in the sole, according to a website describing the 666 pairs of limited edition shoes.	Nike e rile mo kgetsing ya semolao, setlamo sa MSCHF Product Studio Inc,  se kgoreleditse le go utswa letshwaokgwebo la ditlhako dingwe tsa bona, tse di simolotseng go rekisiwa mo inthaneteng ka Mosupologo.
Minister of Sport, Arts and Culture, Nathi Mthethwa says the R300 million which was meant to help support the creative industry as part of the Presidential Employment Stimulus Package programme did not disappear but was overcommitted.	Ditlhako tseo di kwadilwe Nike Air Max 97, ke ditlhako tse di dirilweng ka enke e khibidu, le lerothodi le le lengwe la madi a batho mo seretheng,  go ya ka webosaete e e neng e tlhalosa dipara di le 660 tsa ditlhako tse di lekanyeditsweng tse.
He says the department will conduct a forensic investigation to get to the bottom of the issue.	Tona ya Metshameko, Botsweretshi le Setso, Nathi Mthethwa a re dimilione tsa diranta di le 300, tse di neng di tshwanetse go thusa go tshegetsa intaseteri ya boitlhamedi jaaka karolo ya lenaneo la go itemogela la thapo, ga e a latlhega mme e ne e dirisitswe mo bamakeng a le mantsi.
Mthethwa says the National Arts Councils Chief Executive Officer, Rosemary Mangope, and Chief Financial Officer, Clifton Changfoot, are on suspension over the matter.	A re Lefapha le tla dira dipatlisiso tsa forensiki go rarabolola ntlha e.
This is after they failed to explain to the council about the mismanagement of funds.	Mthethwa a re, Dikhansele tsa Khuduthamaga ya Bosetšhaba ya khansele ya Botsweretshi, Rosemary Mangope , le Kgosi wa tsa ditšhelete, Clifton Changfoot, ba sekegilwe mabapi le kgang e.
Mthethwa says a team has already been appointed to start work on a forensic investigation.	Se ke morago ga gore ba retelelwe ke go tlhalosetsa khansele ka tsamaiso e e sokameng ya matlole.
That number is slightly below estimations that suggested the movie could reach $19.5 million over the weekend, but it’s an impressive haul nonetheless.	Mugen Train o amogetse madi a a kanang ka dimilione di le 15.9 go tswa kwa mafelong a a farologaneng a le 598 1.
The anime action adventure, from Funimation and Aniplex, has been a massive commercial hit in international markets such as Japan, where it currently ranks as the highest-grossing movie ever with $365 million.	Palo eo, e kwa tlase ga diphopholetso tse di tshitshintseng gore filimi eno e ka fitlhelela dimilione tsa didolara di le 19.5 mo mafelong a beke, le fa go ntse jalo, ke dipalo tse di kgatlhisang.
In total, Demon Slayer has surpassed the $400 million mark.	Filimi e e kgatlhang ya Anime, go tswa ka Funimation & Aniplex, e ntse e le yona e kgolo thata mo mebarakeng ya boditšhabatšhaba e e tshwanang le Japan, kwa e tsewang teng jaaka filimi ya maemo a a kwa godimo ka dimilione di le 365 tsa didolara.
Box office analysts have been encouraged by the one-two punch of Mortal Kombat and Demon Slayer, especially since only 50% of cinemas in the country have reopened.	Ka kakaretso, Demon Slayer e fetile dimilione di le 400 tsa dilolara.
Multiplexes that have been able to welcome back patrons have been capping attendance in line with government guidelines.	Basekaseki ba Box Office ba rotloeditswe ke Mortal Kombat le Demon Slayer, segolobogolo ka gore ke 50% fela ya dibaesekopo tse di butsweng mo nageng ya rona.
In Los Angeles, for example, that means 50% capacity or 200 people.	Multiplexes e kgonneng go amogela gape bareki ba yona, e ntse le lekanya palo ya batho go ya ka dikaelo tsa puso.
In New York, theaters will be able to operate at 33% capacity starting on Monday.	Fa re dira sekao ka Los Angeles, go raya gore 50% kgotsa batho ba le 200.
This weekend is another very good step, said David A. Gross, who runs the movie consultancy FranchiseRe.	Kwa New York, mafelo a dibaesekopo a tlaa kgona go dira ka palo ya batho ya diperesente di le 33 bokgoni go simolola ka Mosupologo.
Movie going should start to normalize in early June.	Mafelo a a beke, ke kgatoe nngwe e e siameng thata, go bua David A. Gross yo e leng motsamaisi wa lefelo la go batla kitso ka difilimi, FranchiseRe.
Overseas, Mortal Kombat collected $6.3 million from 37 foreign territories, brings its international tally to $27.6 million.	Go ya kwa dibaesekopong go tshwanetse go simolola go boela kwa tlwaelong kwa tshimologong ya kgwedi ya Seetebosigo.
The film, produced by New Line Cinemas for a modest $55 million, has generated $50 million globally to date.	Kwa moseja, Mortal Kombat e kgobokantse dimilione di le 6.3 tsa didolara go tswa kwa dinageng di sele, seo se isa palogotlhe ya yona ya boditšhabatšhaba, go dimilione di le 27.6 tsa didolara.
Among other wide releases, Godzilla vs. Kong landed in third place with $4.2 million from 2 856 venues.	Filimi  e e dirilweng ke New line cinemas e, ka dimilione tsa didolara di le 55 fela, e setse e dirile letseno la dimilione di le 50 tsa didolara mo lefatsheng ka bophara, go fitlha gompieno.
After four weeks in theaters, the Warner Bros. and Legendary monster mashup has amassed $86.5 million.	Gareng ga tse dingwe tse di golotsweng, Godzilla vs Kong e iphitlhetse e le mo maemong a boraro ka dimilione di le 4.2 tsa didolara go tswa ka mafelong a le 2 856 mafelo.
The film, which is available on HBO Max through the end of April, has surpassed $400 million at the global box office.	Morago ga dibeke tse nne kwa bobogelong jwa dibaesekopo, The Warner Bros le Legendary Monster di fitlheletse dimilione di le 86.5 tsa didolara.
With those ticket sales, it has surpassed Christopher Nolan’s confusing sci-fi spectacle Tenet ($363 million) as the highest-grossing Hollywood blockbuster since the pandemic hit.	Filimi e e tlaa nnang teng mo HBO Max go fitlhelela  ka mafelo a kgwedi ya Moranang, e setse e fetile dimilione di le 400 tsa didolara kwa Box Office ya lefatshe ka bophara.
It’s evident that Godzilla vs. Kong is reigniting movie going everywhere and that audiences are more than ready to return to theaters, where and when its safe, for a big screen experience like this one, said Jeff Goldstein, Warner Bros. president of domestic distribution.	Ka dithekiso tse tsa ditekethe, e fetile filimi ya ga Christoper Nolan (dimilione  di le $363) jaaka filimi ya kwa Hollywood e e dirileng madi a le mantsi fa e sale ka tshimologo ya leroborobo.
The pandemic-delayed Academy Awards ceremony takes place at a Los Angeles rail station on Sunday on what could be a historic night packed with surprises, not just around the winners but the event itself.	Go a bonala gore Godzilla vs Kong e tsoseletsa go ya kwa dibaesekopong gongwe le gongwe le gore babogedi ba le bantsi ba setse ba le malala a laotswe go boela kwa bobogelong jwa dibaesekopo, kwa go bolokesegileng gona, ka nako e e bolokesegileng, go ya go bogela filimi e e tlhagelelang mo sekerining se segolo jaaka e, go bua Jeff Goldstein, moporesitente wa kwa Warner Bros.
We just want the whole thing, right out of the gate, to announce itself as being different, said Steven Soderbergh, one of a trio of producers.	Moletlo wa kabo ya dikgele wa Akatemi, o o diegisitsweng ke leroborobo, o tlaa diragala kwa seteišheneng sa terena kwa Los Angeles ka Sontaga, kwa go se e ka nnang bosigo jwa motsi wa hisetori, jo bo tletseng dikgagamatso, e seng fela go bafenyi, mme le moletlo ka boone.
Few of the winners seem to be locked down after an extended awards season, but Nomadland Chinese-born Chloe Zhaos slow- burn quasi-documentary about the traveling community of American van dwellers is seen as the front runner for taking home best picture.	Re batla fela yotlhe, tshwanelo ya go bega ka heke e le tse di farologaneng, o rile Steven soderbergh, nngwe ya badiri-ka-ene bantshakuno.
The winners are chosen in a secret ballot by the 9 000 members of the Academy of Motion Picture Arts and Sciences.	Go lebega fa bafenyi ba le mmalwa ba le ka fa tlase ga molao wa kiletso mesepele morago ga setlha sa mekgele se se neng se atolositswe, fela Nomadland, lenaneo la tshedimosetso le le ka ga baagi ba Amerika ba ba tsayang maeto mme ba nna mo di koloing, la ga Chloe Zhaos, yo o bonetsweng kwa China, le bonwa jaaka mofenyi jaaka le ikgapetse sekgele sa setshwantsho se se gaisang.
With the slogan Bring your movie love, producers say Sundays show will aim both to encourage people to get back into movie theatres after the long coronavirus closures, and have the look and feel of a film.	Bafenyi ba tlhophiwa ka tlhopho ya sephiri ke maloko a le 9 000 a Akatemi ya Motion Picture Arts and Sciences.
It’s trying to be like a movie, except that the Oscars is a TV show about the movies.	Ka moono o o reng “tlisa lorato la gago la filimi” bantshakuno ba re  Sontaga e tlaa nna letsatsi le ka lona ba tlaa rotloetsang batho go boela kwa bobogelong jwa difilimi morago ga go tswalelwa sebaka ka ntlha ya Coronavirus, le gore ba iponele le go ikutlwela filimi.
So I’m really curious about that, said Hammond.	E leka go tshwana le filimi, ntle fela le gore di Oscar, ke lenaneo la thelebišhene, le le ka ga difilimi.
Up-and-coming musicians in Durban have come together to hold open-air busking performances in public spaces as part of the Independent Artists Busking Project.	Ka jalo, ke tota ke batla go itse ka ga seo, go bua Hammond.
The initiative provides a platform for musicians who have been struggling to earn a living during the COVID-19 pandemic.	Diopedi tse dišwa tsa kwa Durban di kopane go tla go tshwara moletlo wa go diragatsa mo pepeneng jaaka karolo ya porojeke ya bataki ba ba ikemetseng, ba ba diragatsang mo mebileng.
Artist Sandy B has turned to online platforms to host virtual gigs, saying it’s been an opportunity to draw in global audiences.	Letsholo leno le tlamela ka tsela ya go itshedisa go diopedi tse di ntseng di thatafalelwa ke go itshedisa ka nako ya leroborobo la covid-19.
But he’s lamented on how COVID-19 relief funding is managed for struggling artists.	Motsweretshi Sandy B, o dirisa mafaratlhatlha go tshwara meletlo ya gagwe ya setshwantshokgopolo, a re se, se mo file tšhono ya go gogela babogedi lefatshe ka bophara.
As I’m talking to you now, I’m even feeling emotional.	Fela o hutsafatswa ke ka mokgwa o thuso ya matlole ya COVID-19, ya go thusa batswerentshi ba ba nang le dikgwetlho, e tsamaisiwang ka yona
It’s not nice because you stand in front of a big audience somewhere abroad and say all these nice things and the way we are treated as South African artists is not nice.	Jaaka ke bua le wena jaana, ke tlelwa ke bohutsana.
We have built our own profile sometimes, most of us without even pressurizing the government.	Ga go monate ka gore o ema fa pele ga babogedi ba le bantsi golo gongwe kwa moseja, o bue dilo tsotlhe tse di monate, mme tsela e re tshwarwang ka yona re le batswerentshi ba Aforikaborwa, ga e monate.
Even when these funds are being distributed you get shocked that people who are beneficiaries are new in the industry, one or 2 years old.	Re ikagetse diporofaele tsa rona, ka dinako tse dingwe, kwa ntle ga go tsenya puso ka fa tlase ga kgatelelo.
Or some new companies and so on.	Le fa go phasaladiwa matlole a, o makadiwa ke gore batho ba ba fiwang matlole a, ke ba santseng la ba le bašwa mo intasetering, gongwe ba na le ngwaga e le nngwe kgotsa di le 2.
The Denis Hurley Centres director, Raymond Perrier, says music plays a powerful role in bringing together people from all walks of life.	Kgotsa ditlamo tse dišwa, jalo le jalo.
I think its really important in South Africa today to bring together all citizens of this country so they can share a space and share an experience.	Mokaedi waDenis Hurley, Raymond Perrier, a re mmino o na seabe se se maatla thata mo go kopanyeng batho go tswa mo mefameng yotlhe ya botshelo.
We’re getting closer to Freedom Day and we remember that wonderful moment in 1994 all kinds of South Africans came together to vote and in the same way music brings people together.	Ke akanya gore go botlhokwa thata mo Aforikaborwa gompieno go kopanya baagi botlhe ba naga, gore ba kgone go kopanela mo lefelong le le lengwe le go abelana maitemogelo a bona.
But we also have to remember that during this terrible time of COVID musicians and artists are some of the people who haven’t been able to make a living.	Letsatsi la Kgololosego le atumetse, mme re gakologelwa nako e le e e monate ka 1994. Mefuta yotlhe ya MaAforikaborwa e kopane go ya go tlhopha, mme ka tsela e e tshwanang le eo, mmino o kopanya batho.
so giving them a chance to make a living to be able to perform their art and make some money is also really important.	Mme gape re tshwanetse go gakologelwa gore ka nako e e bosula e ya COVID, diopedi le batswerentshi ke bangwe ba batho ba ntseng ba sa kgone go itshedisa.
artists cry foul after struggling to access COVID-19 relief fund, Dr Sipho Sithole.	Ka jalo, go ba naya tšhono ya go itshedisa, ya gore ba kgone go diragatsa botaki jwa bona le gona go botlhokwa thata.
In commemoration of the Soweto Uprising, renowned theatre creator Jerry Pooe and music director Mondli Ngcobo, are putting together 1976 The Musical.	Batswerentshi ba ntshitse dilelo tsa bona morago ga gore ba nne le kgwetlho ya go fitlhelela letlole la thuso la COVID-19, Ngaka Sipho Sithole.
This will form part of the 45th anniversary of the June 16th commemorations.	Ka segopotso sa dikhuduego tsa kwa Soweto, Jerry Pooe yo e leng montshakuno wa tsa dibaesekopo le mokaedi wa mmino Mondli Ngcobo, ba lenaneo la “1976 The Musical”.
Lead actors include Dawn King, Baby Cele, Khaya Dladla, and Wiseman Mncube.	Seno e tla nna karolo ya ya go keteka ngwaga wa bo 45, wa segopotso sa di 16 tsa Seetebosigo.
The theatre production company has made a call for auditions.	Badiragatsi ba ba kwa pele ba akaretsa Dawn King, Baby Cele, Khaya Dladla le Wiseman Mncube.
They will take place on Monday at the Durban Music School.	Setlamo sa ntshokuno ya bobogelo se dirile taletso ya ditekokutlwelelo.
Jerry Pooe who is the Director for 1976 The Musical says, It will be different because we are going to be mordenizing it.	Tsona di tlaa tshwarwa ka Mosupologo kwa sekolong  sa Mmino sa kwa Durban.
It’s going to be happening at this period of time but of course with the reflections of 1976 and it’s going to be also having a lot of videos and images, lots of images.	Jerry Pooe, yo e leng Mokaedi wa “1976 The Musical”, a re, e tlile go farogalogana le tse dingwe ka ntlha ya gore re tlile go dira dilo ka tsela la sešweng.
So, it’s really going to be a big production with the support of multimedia in it.	Yona e tlaa diragala mo nakong e, mme re lebile kwa morago ditaragalo tsa 1976. E tlile go nna le dibidio le ditshwantsho tse di ntsi. Ditshwantso tse di ntsintsi fela.
Jerry Pooe discusses the theatre production.	Ka jalo yona e tlile go nna ntshokuno e kgolo, ka tshegetso ya bobegakgang mo go yona.
It’s a year of multiple firsts at this year’s Oscars, the 93rd Academy Awards ceremony for the highest achievement in film.	Jerry Pooe o bua ka ntshokuno ya bobogelo.
Following is a list of major milestones this year.	Ke ngwaga wa go bona dilo le dintsi lwantlha kwa di Oscars tsa ngwaga o, moletlo wa bo 93 wa dikgele tsa Akatemi wa phitlhelelo e e kwa godimo mo filiming.
The winners will be announced at a ceremony in Los Angeles on Sunday.	Se se latelang ke lenaane la ba ba nnileng le phitlhelelo e kgolo mo ngwageng ono.
First Asian woman and first woman of color to be nominated for best director (Nomadland).	Bafenyi ba tlaa begwa kwa moletlong wa kwa Los Angeles ka Sontaga.
First woman to be nominated best director for her feature film debut (Promising Young Woman).	Mosadi wa ntlha wa MoAsia le mosadi wa ntlha wa mmala go tlhophiwa jaaka Mokaedi yo o gaisang (Nomadland ).
This is the first time two women have been nominated for directing in the same year.	Mosadi wa ntlha go tlhophiwa jaaka mokaedi wa wa filimi ya gagwe ya ntlha (Promising Young Woman)
Women received a record 76 nominations across all categories.	Se ke lokgetlho lwa ntlha basadi ba babedi ba tlhophiwa mo karolong ya go kaela mo ngwageng o le mongwe.
First Muslim to be nominated best actor (Sound of Metal).	Basadi ba bone rekoto  ya ditlhopho di le 76 go ralala dikarolo tsotlhe.
Mahershala Ali was the first Muslim actor to win for his supporting roles in Moonlight (2016) and Green Book (2018).	Momoseleme wa ntlha go tlhopiwa mo karolong ya modiragatsi yo o gaisang (Sound of Metal)
First Oscar nomination for Boseman, who died of cancer in August 2020, before the release of his final film (Ma Raineys Black Bottom).	Mahershala Ali e ne e le modiragatsi wa ntlha go fenya mo dikarolong tsa gagwe ya go ema nokeng mo Moonlight (2016) le Green Book (2018).
