en	lug
United States of America was unwilling to send in troops to hold the peace because it was not politically sellable.	Amerika teyali nneetegefu kusindika magye kukuuma mirembe kubanga bannabyabufuzi mu ggwanga eryo baali tebagyagala.
It subcontracted that role to Uganda and Burundi.	Bw'etyo yasalawo okukozesa Uganda ne Burundi.
Museveni, seeing an opportunity to be central to United States of America's geo-strategic interests in the region offered to send in troops.	Museveni, bwe yakiraba nti yandibadde wa kumwanjo nnyo mu kutuukirizibwa kw'ebigendererwa bya Amerika mu Somalia, yakkiriza okusindika amagye.
I am reluctant to believe that Museveni was driven by a desire for peace in Somalia.	Sikiwa nti ekigendererwa kya Museveni ekikulu kwali kuleetawo mirembe mu Somalia.
Museveni convinced me that such ill advised foreign military interventions despite being well intentioned, tend to create more problems than they solve.	 Museveni yankakasa nti amagye ag'ebweru bwe geeyingiza mu nsonga z'amawanga amalala, ne bwe gaba tegalina bigendererwa bikyamu, emirundi mingi gongera bwongezi kwonoona mbeera.
In 2002, Museveni shared a speech he delivered in Zimbabwe on Uganda and Rwanda’s role in the removal of Mobutu of Zaire.	Mu 2002, Museveni yagabanako n'abalala ku ebyo bye yayogerera mu lukungaana olwali e Zimbabwe olwali lukwata ku ngeri Uganda ne Rwanda gye zaayambako mu kuggya Mobutu owa Zaire mu buyinza.
Somalia failing to become an effective state  and the rise of Al-Shabaab, are a byproduct of international intervention in domestic politics.	Eggwanga lya Somalia okulemererwa okutebenkera n'okutandikibwawo kw'ekibiina kya Al-Shabaab, kivudde ku mawanga ag'ebweru okweyingiza mu by'obufuzi by'eggwanga eryo.
It is also difficult to see the strategic gains for Uganda in this intervention.	Kizibu okulaba Uganda weefunira mu kuyingira mu nsonga ezo.
However, it is strategically important for Museveni.	Naye ku luuyi olulala, ekyo ye Museveni akifunamu.
Ugandan troops presence in Somalia helps improve his standing in Washington DC, a factor that is vital for his domestic politics.	Amagye ga Uganda okubeera mu Somalia kimuwaako ekifaananyi ekirungi mu Amerika, era ekyo kimuyamba nnyo mu kunyweza eby'obufuzi mu Uganda.
In fact, when he came to power, United States President Barack Obama showed a cold attitude to Museveni,	Mu butuufu, Obama bwe yali yaakafuuka pulezidenti wa Amerika, yakiraga nti yali tamatira Museveni.
Now, with Ugandans paying with blood for American geo-strategic interests in this region, Museveni is indispensable to Obama’s plans for this region.	Naye kati olw'okuba omusaayi gwa bannayuganda guyiise okusobola okutuukiriza ebigendererwa bya Amerika mu kitundu kino, kati Obama atwala Museveni ng'omuntu ow'omugaso ennyo mu kutambuza enteekateeka z'alina ezikwata ku kitundu kino.
Because the gains from Somalia are personal to Museveni rather than national to Uganda,	Olw'okuba ekintu kino Museveni y'asinga okukifunamu so si Uganda,
I harbour a fundamental disagreement with democracy and human rights groups in Africa.	kindeetera okulowooza nti enkola ya demokulasiya awamu n'ebibiina ebirwanirira eddembe ly'obuntu tebiyamba Afirika.
Yet we are continuously told that only a democratic order built around a consensus would bring a stable peace in Somalia.	Wadde kiri kityo, beeyongera okutugamba nti enkola ya demokulasiya, ey'okugoberera abangi kye basazeewo, y'ejja okuleetawo emirembe egy'enkalakkalira mu Somalia.
Why we should pull out of Somalia.	Lwaki tulina okuva mu Somalia.
Aronda Nyakairima, received a threat assessment from the Chieftaincy of Military Intelligence detailing a serious threat from Allied Democratic Forces terrorists.	Aronda Nyakairima, yafuna alipoota okuva mu kitongole ky'amagye eky'eby'okwerinda ng'eraga nti waaliwo obulumbaganyi obwali buyinza okukolebwa abayeekera ba ADF.
Nyakairima sent a flash radio message of the threat to all units of the Uganda Peoples' Defence Forces.	Nyakairima yategeeza ebitongole byonna eby'eggye lya UPDF ku nsonga eyo.
The next day Chieftaincy of Military Intelligence reinforced its defences at its head offices at Kitante Courts.	Ku lunaku olwaddako ekitongole kya ekikesi kyanyweza eby'okwerinda ku kitebe kyakyo ekikulu e Kitante.
At all security installations around Kampala and greater Kampala, increased security measures were put in place.	Ate era eby'okwerinda byanywezebwa mu Kampala ne mu bitundu ebiriraanyeewo.
At the same time, information had been given to the police to communicate to the public about an impending attack.	Ate era n'ekitongole kya poliisi kyali kitegeezeddwa kisobole okulabula abantu ku bulumbaganyi obwali bujja.
At some seminars and conferences, police claim to have informed listeners to be careful.	Ekitongole kya poliisi kigamba nti waliwo enkuŋŋaana ezimu mwe kyayitira okulabula abantu.
Warning signs were already well apparent by the time a group of 24 former Allied Democartic Forces combatants were met on October 8, 2008.	Nga Okitobba 8, 2008, gavumenti we yasisinkanira abantu 24 abaali baava mu ggye lya ADF, kyali kimaze okweyoleka nti waaliwo obuzibu obwali bujja.
The former combatants, who had renounced violence to get amnesty and were retained by Joint Anti-Terrorist Task Force as informers.	Abantu abo abaali baleseeyo obuyeekera basobole okusonyiyibwa baakuumibwa ekitongole ekirwanyisa ebikolwa eby'obutujju nga kyagala babeeko bye bakitegeeza.
The meeting was a pre-emptive security measure to divert the Allied Democratic Forces.	Olukuŋŋaana olwo lwali lwa kuwugula aba ADF.
9th October of that year, the Tripartite-Plus, Common Market for Eastern and Southern Africa and Southern African Development Community heads of state summit in Kampala.	Nga Okitobba 9 omwaka ogwo, olukuŋŋaana olwetabwamu abakulembeze b'amawanga ag'enjawulo lwatuula mu Kampala.
During the meeting, the Allied Democratic Forces were asked to submit a document of their grievances.	Mu lukuŋŋaana olwo aba ADF baasabibwa okuwaayo ekiwandiiko okuli okwemulugunya kwabwe.
It was later submitted signed by one Hussein Maiga and the abovementioned Benz Tushabe.	Oluvannyuma baawaayo ekiwandiiko ekyo nga kiteekeddwako omukono gwa Hussein Maiga ne Benz Tushabe.
According to contents of the meeting, the ex-Allied Democratic Forces combatants referred to in the document as “reporters”  repeated their complaint.	Okusinziira ku byali mu lukuŋŋaana olwo, abo abaali baava mu ggye lya ADF, aboogerwako nga “balipoota” mu kiwandiiko ekyo baddamu okwogera okwemulugunya kwabwe.
They argued that the resettlement money they had received from the government was insufficient and that they felt forgotten.	Baagamba nti ssente gavumenti ze yabawa okubayamba okudda mu bulamu obwa bulijjo zaali tezimala era nti baali bawulira ng'abeerabirwa.
In the document, Allied Democratic Forces reporters complained that most of their combatants who got amnesty are youths.	Mu kiwandiiko ekyo aboogezi b'eggye lya ADF beemulugunya nti bangi ku bajjaasi baabwe abaaweebwa ekisonyiwo baali bavubuka.
The document noted that dealing with these youths requires care as they are targets of continued recruitment efforts by Allied Democratic Forces.	Ekiwandiiko kyagamba nti gavumenti esaanidde okwegendereza engeri gy'ekwatamu abavubuka abo kubanga kyangu abavubuka abo okusendebwasendebwa okuddamu okwegatta ku ggye lya ADF.
Government should come up with a program to engage these Muslim youths in active economic activities to avoid idleness and redundancy.	Gavumenti esaanidde okuteekawo programu eyamba abavubuka bano Abayisiramu okubaako emirimu gye bakola baleme kufuuka bakireereesi.
Security sources say Allied Democratic Forces reporters had been trying to meet president Museveni to present him their grievances.	Ensonda ez'eby'okwerinda zigamba nti aboogezi ba ADF baali bagezezzaako enfunda n'enfunda okusisinkana pulezidenti Museveni bamubuulire okwemulugunya kwabwe.
State House sources say they had not secured such audience by 7th November.	Ensonda okuva mu maka g'obwa pulezidenti zigamba nti Noovemba 7 we lwatuukira enteekateeka z'ensisinkano eyo zaali tezinnakakasibwa.
The last time Allied Democartic Forces had a meeting with the president was on February 03, 2004 .	Aba ADF baali baasemba okusisinkana pulezidenti nga Febwali 3, 2004 .
At the time, the president directed that jailed Allied Democartic Forces leaders Maneno Majaliwa and Sserwanga Bukenya be released.	Ku olwo, pulezidenti yalagira nti abakulembeze ba ADF, Maneno Majaliwa ne Sserwanga Bukenya, abaali mu kkomera bateebwe.
Because many of them work with and inside Uganda’s security organizations.	Olw'okuba bangi ku bo bakolera wamu n'ebitongole bya Uganda eby'eby'okwerinda era babirimu.
In an August 2008 internal assessment by Joint Anti-Terrorist Task Force.	Lipoota eya Agusito 2008 eyafulumizibwa ekitongole ekirwanyisa obutujju.
In the same internal assessment, Joint Anti-Terrorist Task Force reported that Allied Democratic Forces intentions were elimination of their defected comrades.	Mu alipoota eyo ekitongole ekirwanyisa obutujju kyagamba nti aba ADF baali baagala kusaanyaawo abo abaali baabulidde eggye lyabwe.
The document had names of Allied Democratic Forces operatives on the run.	Alipoota eyo yalimu amannya g'abantu ADF be baali banoonya.
At the time, Joint Anti-Terrorist Task Force had planned to arrest terrorists now using women to spy on targets.	Mu kiseera ekyo, ekitongole ekirwanyisa obutujju kyali kisazeewo okukozesa abakazi nga bambega kisobole okukwata abatujju.
Among the operations Joint Anti-Terrorist Task Force had carried out was the arrest of one Seka Adam Nsubuga Mukalazi,	Mu kimu ku bikwekweto ekitongole ekirwanyisa obutujju bye kyakola mwe kyakwatira Seka Adam Nsubuga Mukalazi,
On August 8, 2008, they arrested Joseph Ouma and one Waskile in Busia for being connected to a suspicious number.	Nga Agusito 8, 2008, baakwatira Joseph Ouma ne Waskile e Busia olw'okuba baali bakolagana n'abantu abaali bateeberezebwa okuba abatujju.
On August 10, 2008, Bukomeko Muhammed and Magelo Shaffik were also arrested by tracking team.	Nga Agusito 10, 2008, Bukomeko Muhammed ne Magelo Shaffik nabo baabalinnya kagere ne bakwatibwa.
As a result of these operations, many Allied Democratic Forces combatants began to surrender to government.	Ebikwekweto ebyo byaviirako bangi ku bajaasi ba ADF okwewaayo mu mikono gya gavumenti.
Because Allied Democratic Forces was built around their religious faith.	Olw'okuba eggye lya ADF lyazimbibwa ku musingi gwa ddiini.
The Allied Democratic Forces reporters inside Joint Anti-Terrorrist Taskforce and the Uganda Peoples Defence Forces became open to re-joining the terrorists as double agents.	Abantu abaali baava mu ADF ne bayingizibwa mu kitongole ekirwanyisa obutujju ne mu UPDF baali beetegefu n'okuba nga mu kiseera kye kimu bakolagana ne ADF.
Moreover, by the time of the bomb blasts on 7th November, there had been reports of massive recruitment by Alied Democratic Forces.	Mu butuufu, bbomu we zaabwatuukira nga Noovemba 7, waaliwo ebyali biyitiŋŋana nti abantu bangi baali beegasse ku ADF.
The reports also indicated that Allied Democratic Forces was transporting most of its recruits to Democratic Republic of Congo.	Lipoota zaali ziraga nti abantu abasinga abaali bayingizibwa mu ggye lya ADF baali batwalibwa mu Democratic Republic of Congo.
There were intelligence reports that Allied Democratic Forces was recruiting largely from Eastern Uganda.	Ekitongole ekikessi kyali kigamba nti abantu abasinga ADF yali ebaggya mu buvanjuba bwa Uganda.
New security information shows that there were suicide bombings at both Kabalagala and Lugogo.	Lipoota z'eby'okwerinda empya ziraga nti waaliwo bbomu ezaali zibwatukidde e Kabalagala n'e Lugogo.
According to police, the existence of a sliced head is often a sign of suicide bombing.	Okusinziira ku poliisi, bw'olaba omutwe gw'omuntu nga gukutuse ne gugwa wali emirundi mingi kaba kabonero akalaga nti abatujju babalusizza bbomu.
Secondly, police sources say the sliced head at Lugogo was of a Somali while the one in Kabalagala was of a Ugandan.	Eky'okubiri, polisi egamba nti omutwe ogwali gubetentuse e Lugogo gwali gwa Musomaali ate ogwali e Kabalagala gwali gwa Munnayuganda.
According to security sources, this is the first “evidence” of the coordination and alliance between Allied Democratic Forces and Al Shabaab.	Okusinziira ku nsonda z'eby'okwerinda, obwo bwe bukakafu obwasooka okulaga nti aba ADF n'aba Al Shabaab baali bakolera wamu.
Last week, Kenya arrested a Ugandan suspected to be linked with the terrorism bombings in Kampala.	Wiiki eyaggwa, gavumenti ya Kenya yakwata Munnayuganda agambibwa okwenyigira mu kutega bbomu ezaabwatukira mu Kampala.
Ugandan security suspects he is an Allied Democratic Forces person.	Ab'eby'okwerinda mu Uganda bateebereza nti Munnayuganda oyo y'omu ku bayeekera ba ADF.
According to security sources since Allied Democratic Forces does not have a prior record in suicide bombing.	Okusinziira ku nsonda ez'eby'okwerinda, tewali kiraga nti emabega aba ADF baali beenyigira mu bikolwa eby'obutujju eby'okutega bbomu mu bantu.
The link between the two terrorist organisations is further strengthened by the theory that Allied Democratic Forces knows Kampala very well.	Kyeyongera okukakasibwa nti aba Al Shabaab baali bakolagana n'aba ADF okuva bwe kiteeberezebwa nti aba ADF bamanyi bulungi Kampala.
As mentioned earlier, Allied Democratic Forces has internal sources within Uganda’s intelligence services especially Joint Anti-Terrorist Task Force	Nga bwe kiragiddwa waggulu, ADF erina abantu baayo mu bitongole bya Uganda eby'eby'okwerinda nnaddala mu kitongole ekirwanyisa obutujju
For Al Shabaab to succeed in its operations, it needed the Allied Democratic Forces infrastructure.	Aba Al Shabaab okusobola okukola obulumbaganyi bwabwe, baba beetaaga okukozesa ebintu bya ADF.
As Yoweri Museveni did in Uganda in 1986.	Nga Yoweri Museveni bwe yakola mu Uganda mu 1986.
Using financial incentives to stop Somalia from becoming an auxiliary to Al-Qaeda.	Okukozesa ssente okulemesa Somaliya okuwagira  Al-Qaeda.
I think we should pull out our troops; not because we are afraid of Al-Shabaab, but because we are not doing Somalis any good.	Ndowooza tulina okuggyayo amagye gaffe; si lwa kuba nti  tutya aba Al-Shabaab, naye lwa kuba tekiyamba Basomaali.
The terrorrists were working in conjunction with the Somali-based, al-Shabaab militant group.	Abatujju baali bakolaganira wamu n'aba Al-Shabaab abasinziira mu Somalia.
President Yoweri Museveni, all cabinet ministers, intelligence organisations and police recieved the radio message.	Pulezidenti Yoweri Museveni, baminisita bonna abali ku kabineeti, n'ebitongole ebikessi awamu ne poliisi baafuna obubaka.
