eng	kin
According to the ICC, "as a result of this deadly blackmail (by the FDLR rebels), victims were killed, raped, and forcibly displaced, and entire villages were razed to the ground."	Nk’uko ICC ibivuga, "biturutse kuri uku gusebanya kwica (bikorwa n’inyeshyamba za FDLR), abahohotewe bariciwe, bafatwa ku ngufu, barimurwa ku gahato, kandi imidugudu yose yarasenyutse ishyirwa hasi."
Karugarama said Mbarushimana and his FDLR rebel forces played a pivotal role in the countrys 1994 genocide in which hundreds of thousands of people were killed.	Karugarama yavuze ko Mbarushimana n'ingabo ze z'inyeshyamba za FDLR bagize uruhare runini muri jenoside yo mu 1994 yahitanye abantu ibihumbi magana.
"We believe that, in the next couple of weeks after due process has taken place in France, he should be able to be transferred to The Hague in the Netherlands to face charges and be prosecuted for war crimes and crimes against humanity committed within the territory of the DRC."	Twizera ko, mu byumweru bibiri biri imbere nyuma y’ibikorwa bikwiye mu Bufaransa, agomba kwimurirwa i La Haye mu Buholandi kugira ngo akurikiranwe kandi akurikiranweho ibyaha by’intambara n’ibyaha byibasiye inyoko muntu byakorewe muri ako karere ka DRC. 
The Justice Minister also said Kigali will be cooperating with the International Criminal Court in the imminent prosecution of Mbarushimana.	Minisitiri w’ubutabera yavuze kandi ko Kigali izafatanya n’urukiko mpuzamahanga mpanabyaha mu bushinjacyaha bwa Mbarushimana.
	
British, French Foreign Ministers to Re-Invigorate DRC Peace Process - 2002-01-18	Abaminisitiri b’ububanyi n’amahanga b’Ubwongereza, Ubufaransa mu kongera ingufu mu bikorwa by’amahoro bya DRC - 2002-01-18
The British and French foreign ministers travel to the Democratic Republic of Congo Monday to kickoff a three-day, four-nation tour of the troubled region of Central Africa.	Ku wa mbere, abaminisitiri b’ububanyi n’amahanga b’Ubwongereza n’Ubufaransa berekeje muri Repubulika Iharanira Demokarasi ya Kongo kugira ngo batangire urugendo rw’iminsi itatu, bazenguruka ibihugu bine by'akarere gafite ibibazo muri Afurika yo hagati.
The mission will be jointly led by British Foreign Secretary Jack Straw and his French counterpart Hubert Vedrine.	Ubu butumwa buzayoborwa n’umunyamabanga w’ububanyi n’amahanga w’Ubwongereza Jack Straw na mugenzi we w’Ubufaransa Hubert Vedrine.
They will be visiting the Democratic Republic of Congo, Rwanda, Burundi and Uganda.	Bazasura Repubulika Iharanira Demokarasi ya Kongo, u Rwanda, Uburundi na Uganda.
Their primary objective is to breathe new life into the peace process in the war-torn Congo.	Intego yabo y'ibanze ni uguhumeka umwuka w'ubuzima bushya mu nzira y'amahoro muri Kongo yibasiwe n'intambara.
Specifically, the British and French want to see the withdrawal of foreign troops who back the Congolese government (n Kinshasa, demobilization of rebels who occupy more than half the country, and peace talks to end the conflict.	By'umwihariko, Abongereza n'Abafaransa bifuza kubona ikurwaho ry'ingabo z'amahanga zishyigikiye guverinoma ya Kongo-Kinshasa, gusezerera mu gisirikare inyeshyamba zigarurira igice cya kabiri cy'igihugu, n'ibiganiro by'amahoro kugira ngo amakimbirane arangire.
British Foreign Secretary Straw said the mission also has a broader goal of making sure the Congo does not become another Afghanistan.	Umunyamabanga w’ububanyi n’amahanga w’Ubwongereza Straw yavuze ko ubwo butumwa bufite intego nini yo kureba niba Kongo itazaba indi Afuganisitani.
"The 11th of September has made it much more urgent that we take earlier action against failed, and failing states," he said.	Ati: "Ku ya 11 Nzeri birihutirwa cyane ko dufata ingamba zo kurwanya ibihugu byananiranye, kandi bikinanirana".
In Kinshasa, the ministers will meet Congolese President Joseph Kabila. He took power one year ago, after his father, President Laurent Kabila, was assassinated by one of his bodyguards.	I Kinshasa, abaminisitiri bazahura na Perezida wa Kongo, Joseph Kabila. Yafashe ubutegetsi umwaka ushize, nyuma yuko se, Perezida Laurent Kabila, yishwe n'umwe mu bamurindaga.
Their next stop will be Kigali for talks with Rwandan President Paul Kagame, and the leader of the Rally for Congolese Democracy rebels, Adolphe Onusumba.	Aho niharangira hazakurikiraho Kigali kugira ngo baganire na Perezida w’u Rwanda, Paul Kagame, n’umuyobozi w’inyeshyamba zo muri Repubulika Iharanira Demokarasi ya Kongo, Adolphe Onusumba.
The ministers will make a brief visit to Burundi to discuss that country's civil war with President Pierre Buyoya.	Abaminisitiri bazasura u Burundi akanya gato kugira ngo baganire ku ntambara ya gisivili yo muri icyo gihugu na Perezida Pierre Buyoya.
The tour will end in Uganda, where meetings are scheduled with President Yoweri Museveni and Jean-Pierre Bemba, who leads the Movement for the Liberation of Congo guerrillas.	Uruzinduko ruzarangirira muri Uganda, aho hateganijwe inama na Perezida Yoweri Museveni na Jean-Pierre Bemba uyobora Umuryango uharanira kubohoza inyeshyamba za Kongo.
	
UNICEF Pushes for Demobilizing Child Soliders Near Africa's Great Lakes - 2002-10-07	UNICEF irashyira ingufu mu kuvana abana mu gisirikare mu karere k'ibiyaga bigari bya Afurika - 2002-10-07
The United Nations children's agency, UNICEF, is pushing for child soldiers to be demobilized in Africa's Great Lakes region, as several peace drives there build momentum. 	Ishami ry’umuryango w’abibumbye ryita ku bana, UNICEF, rirasaba ko abana b’abasirikare bavanwa mu gisirikare mu karere k’ibiyaga bigari bya Afurika, kubera ko amahoro menshi ari ho agaragarira. 
The agency says funding is in place to help the children leave the military and restart their lives.	Iki kigo kivuga ko inkunga ihari yo gufasha abana kuva mu gisirikare no gutangira ubuzima bwabo.
UNICEF's top child protection official, Manuel Fontaine, says peace initiatives in Uganda, the Democratic Republic of Congo and Rwanda are making it possible to get more children under the age of 18 out of fighting units. 	Umuyobozi mukuru ushinzwe kurengera abana muri UNICEF, Manuel Fontaine, avuga ko ingamba z’amahoro muri Uganda, Repubulika Iharanira Demokarasi ya Kongo no mu Rwanda zituma bishoboka ko abana benshi bari munsi y’imyaka 18 bava mu mitwe irwana. 
"We insist that child soldiers could be demobilized, even in conflict situations. 	Turashimangira ko abana b'abasirikare bakwiriye kuva mu gisirikare, ndetse no mu bihe by'amakimbirane.
We should never wait for peace to get children out of any form of armed group. 	Ntidukwiye na rimwe gutegereza amahoro kugira ngo abana bavanwe mu mutwe uwo ari wo wose witwaje intwaro. 
But, obviously, that's a better timing at the moment. It's more conducive to demobilization," Mr. Fontaine said.	Ariko, ikigaragara ni uko iki ari igihe cyiza cyo kubikora. Bizadufasha cyane nibava mu gisirikare, Bwana Fontaine ni ko yavuze.
He says there are currently 1,200 child soldiers in Uganda, fighting mainly with the rebel Lord's Resistance Army. He says that over the past 14 years, the group has abducted some 10,000 children, boys to fight and girls to serve as sex slaves.	Avuga ko muri Uganda muri iki gihe hari abasirikare 1200 b'abana, barwana ahanini n'ingabo za Lord Resistance Army. Avuga ko mu myaka 14 ishize, iryo tsinda ryashimuse abana bagera ku 10,000, abahungu bajyanwa kurwana n'ab’abakobwa kugira ngo bagirwe imbata z’imibonano mpuzabitsina.
According to UNICEF, The Democratic Republic of Congo still has some 10,000 children recruited to fight, while Rwanda has up to 2,000 children involved in combat.	UNICEF ivuga ko Repubulika Iharanira Demokarasi ya Kongo igifite abana bagera ku 10,000 binjijwe mu ntambara, mu gihe u Rwanda rufite abana bagera ku 2000 bagize uruhare mu ntambara.
UNICEF says, even though some of the children do not directly engage in fighting, they are exposed to many dangers. 	UNICEF ivuga ko, nubwo bamwe mu bana batishora mu mirwano, bahura n'ingaruka nyinshi. 
They may be used as porters, carrying very heavy loads, or as messengers or spies passing information and scouting out enemy territory.	Bashobora gukoreshwa nk'abatwara ibintu, batwara imitwaro iremereye cyane, cyangwa nk'intumwa cyangwa abatasi batanga amakuru kandi bagashakisha agace k'umwanzi.
Sometimes, boys, but mainly girls, are used as sex slaves. They are exposed to violence and HIV-AIDS and other sexually transmitted diseases. 	Rimwe na rimwe, abahungu, ariko cyane cyane abakobwa, bakoreshwa nk'abacakara. Bahura n’ihohoterwa na Virus itera SIDA n'izindi ndwara zandurira mu mibonano mpuzabitsina.
The girls may become pregnant, making it harder for them to reintegrate into their communities.	Abakobwa bashobora gusama, bikabagora gusubira mu miryango yabo.
UNICEF's Manuel Fontaine says demobilization takes time and money. 	Manuel Fontaine wa UNICEF avuga ko gusubiza mu buzima busanzwe bitwara igihe n'amafaranga. 
He says the children must first be found, and then removed from their government or rebel units.	Avuga ko abana bagomba kubanza kuboneka, hanyuma bakavanwa muri guverinoma cyangwa mu mitwe y'inyeshyamba. 
Then, resources are needed to help them rebuild their lives. That involves providing schools, vocational training and health care.	Noneho, ibikoresho bikabona gukenewe kugira ngo bibafashe kubaka ubuzima bwabo. Ibyo bikubiyemo gutanga amashuri, amahugurwa y'imyuga no kwita ku buzima.
"You do not want to stigmatize them and individualize them. 	Ntawifuza kubatesha agaciro no kubatandukanya. 
They are basically going back to communities where there are a lot of other children, many of whom have suffered from consequences of war, even if they were not recruited. 	Basanzwe ahanini basubira mu baturage aho usanga hari abandi bana benshi, benshi muri bo bakaba baratewe n'ingaruka z'intambara, kabone niyo baba batinjijwe mu gisirikare. 
So, you are trying to build services in those communities that are broad services, that would be made available to all those children," Mr. Fontaine said.	Rero, uragerageza kubaka serivisi muri iyo miryango ari serivisi zagutse, zizahabwa abo bana bose , Bwana Fontaine.
Mr. Fontaine says, as part of various peace packages in the Great Lakes region, the World Bank and other donors are providing $500 million to help demobilize children. 	Bwana Fontaine avuga ko, mu rwego rwo guharanira amahoro atandukanye mu karere k'ibiyaga bigari, Banki y'Isi n'abandi baterankunga batanga miliyoni 500 z'amadolari yo gufasha abana mu bikorwa.
He says, unfortunately, the needed government institutions are not yet in place in some countries to move the process ahead quickly enough. 	Avuga ko ikibabaje ari uko inzego za Leta zikenewe zitarashyirwaho mu bihugu bimwe na bimwe kugira ngo inzira igerweho vuba bihagije. 
He says that's why UNICEF is pressing to see such structures develop, so that children can get back home and start to lead normal lives once again.	Avuga ko ari yo mpamvu UNICEF irihatira kubona izo nzego zitera imbere, kugira ngo abana basubire mu rugo batangire kubaho ubuzima busanzwe.
Goma Residents Hopeful Rebel Withdrawal Spells Peace in Eastern Congo	Abatuye Goma bizeye gukurwamo Inyeshyamba ku bw'Amahoro mu Burasirazuba bwa Kongo.
DRC Accuses Rebel M23 of Shelling Rwanda	Repubulika Iharanira Demokarasi ya Kongo irashinja inyeshyamba za M23 kuba yararashe ku Rwanda.
No media source currently available	Nta soko y'itangazamakuru ubu ngubu ihari.
M23 Rebels Withdrawing from Positions in E. Congo	M23 Inyeshyamba zikurwa mu birindiro muri Burasirazuba bwa Congo.
Tanzania Asks Uganda to Help It Mend Ties With Rwanda	Tanzaniya irasaba Uganda kuyifasha guhuza umubano n'u Rwanda.
Rwanda Accuses DRC of Firing Across Border	U Rwanda rurega DRC kurasa hakurya y'umupaka.
US Consulting World Leaders on Possible Syria Strike	Amerika iragisha inama abayobozi b'isi ku myigaragambyo ya Siriya.
US Concerned About Escalating DRC Violence	Amerika ihangayikishijwe no gukaza umurego kw'ihohoterwa rikorerwa muri Repubulika Iharanira Demokarasi ya Kongo.
World Bank, Nike Team Up for 'The Girl Effect' Initiative	Banki y'Isi, n'Itsinda Nike ku ngaruka umukobwa ahura na zo.
The Adolescent Girls Initiative partners the World Bank, the Nike Foundation and governments of developing and developed nations to empower girls in poor countries.	Ishyirahamwe ry'abakobwa b'ingimbi rifatanya na Banki y'Isi, Fondasiyo ya Nike na guverinoma z'ibihugu bikiri mu nzira y'amajyambere n'ibyateye imbere mu guha imbaraga abakobwa mu bihugu bikennye.
The two-year-old program is helping girls in Asia, Africa and the Middle East gain the education and skills they need to transition into the workforce.	Gahunda imaze imyaka ibiri ifasha abakobwa bo muri Aziya, Afurika no mu burasirazuba bwo hagati kunguka ubumenyi n'ubuhanga bakeneye kugira ngo bashobore guhangana ku isoko ry'umurimo.
"My name is Sanchita. I come from a small village called Ishwarpur in Bangladesh," American actress Anne Hathaway delivered her lines as powerfully from behind a podium at the World Bank as she does on the silver screen, telling the story of an impoverished girl.	Nitwa Sanchita. Nkomoka mu mudugudu muto witwa Ishwarpur muri Bangladesh." Umukinnyi w'amafirime ukomoka muri Amerika, Anne Hathaway, yatanze umurongo ukomeye cyane inyuma ya podium kuri Banki y'Isi nk'uko abikora kuri ecran ya silver, avuga amateka y'umukobwa ukennye.
"When a baby is born in Ishwarpur, families desperately hope it will be a boy," she continued. "It has been this way for as long as anyone can remember.	Yakomeje agira ati: "Iyo umwana avukiye Ishwarpur, imiryango ntiba yizeye ko azaba umuhungu." "Byabaye gutya igihe cyose umuntu ashobora kwibuka.
It is believed that boys will contribute to the family income in a place where people are very poor.	Byizerwa ko abahungu bagira uruhare mu muryango rwo kwinjiza umutungo ahantu abantu bakennye cyane.
"These circumstances are familiar to those who benefit from the Adolescent Girls Initiative.	Ibi bihe biramenyerewe ku bantu bungukirwa n'ibikorwa by'abakobwa b'abangavu bafata iyambere.
Who benefits?A dozen such teenage girls and young women visited the World Bank from developing Asian, Middle Eastern and African countries.	Ninde ubyungukiramo? Abakobwa cumi na babiri n’abagore bakiri bato basuye Banki y'isi baturutse mu bihugu bya Aziya, Uburasirazuba bwo hagati na Afurika.
They were just a few of the girls who benefit from training and education programs that help them transition from school to employment.	Bari bake mu bakobwa bungukirwa n'amahugurwa na gahunda y'uburezi bibafasha kuva mu mashuri bajya mu kazi.
Hathaway told the audience that, with the help of a development organization, Sanchita gained an education and borrowed $60 to buy a cow and start a vegetable garden.	Hathaway yabwiye abari aho ko, abifashijwemo n’umuryango w’iterambere, Sanchita yize amashuri maze aguza amadorari 60 yo kugura inka no gutangiza ubusitani bw'imboga.
The teenage girl could then afford to pay her own school fees, as well as her brother's, and contribute to her family in such a way that Sanchita's parents hope she does not marry any time soon.	Umukobwa w'umwangavu noneho yashoboraga kwiyishyurira amafaranga y'ishuri, kimwe na murumuna we, akanatanga umusanzu mu muryango we ku buryo ababyeyi ba Sanchita bizeye ko atazashyingirwa vuba. 
Hathaway spoke of her own childhood in a comfortable suburban U.S. neighborhood, and of a time when she had no idea about the kind of circumstances Sanchita faced nor how much girls need safe spaces for education.	Hathaway yavuze ubwana bwe mu mugi mwiza n'abaturanyi bo muri Amerika, kandi mu gihe atigeze atekereza ku byerekeye ibihe Sanchita yahuye na byo cyangwa uko abakobwa bakeneye ahantu hizewe kugira ngo bige.
"Places that could teach them how to take the light they have as girls and ignite the world," explained Hathaway.	Hathaway yasobanuye agira Ari: "Ahantu hashobora kubigisha gufata umucyo bafite nk'abakobwa no kumurikira isi."
"I wouldn't know how much the world needs 'The Girl Effect.'" Girl power"The Girl Effect" is what the Adolescent Girls Initiative wants to see happen for 600 million girls in developing countries.	Ntabwo nari kumenya uko isi ikeneye 'Uruhare rw'umukobwa." "Imbaraga z'umukobwa" Uruhare rw'umukobwa "ni cyo Gufata iyambere bishaka kwerekana ku bakobwa miliyoni 600 mu bihugu bikiri mu nzira y'amajyambere.
Overall, an estimated one-third of young women in developing nations are not employed and not in school.World Bank President Robert Zoellick said underinvesting in girls impedes development.	Muri rusange, abagera kuri kimwe cya gatatu cy’abagore bakiri bato mu bihugu bikiri mu nzira y'amajyambere ntibakoreshwa kandi ntibari no mu ishuri. Perezida wa Banki y'Isi, Robert Zoellick, yavuze ko gushora imari mu bakobwa bidindiza iterambere.
He added that educating girls also makes sense for poor families, noting that an extra year of secondary schooling can raise their wages by 10 to 20 percent.	Yongeyeho ko kwigisha abakobwa na byo byumvikana ku miryango ikennye, anagaragaza ko umwaka w’inyongera w’amashuri yisumbuye ushobora kuzamura umushahara wabo kugeza kuri 10%.
"If they earn greater income they also have greater access to reproductive health information and services, so then more likely to delay marriage and childbirth, have healthier babies and attain higher literacy rates," Zoellick said.	Zoellick ati: "Niba binjiza amafaranga menshi kandi bafite amahirwe menshi yo kumenya amakuru na serivisi z'ubuzima bw'imyororokere, birashoboka cyane ko batinda gushaka no kubyara, bakagira abana bafite ubuzima bwiza kandi bakabona umubare munini w'abazi gusoma no kwandika".
"The evidence strongly suggests that investing in adolescent girls is a key way to break inter-generational patterns of poverty."	Ibimenyetso byerekana neza ko gushora imari mu bakobwa b'ingimbi ari inzira y'ingenzi yo guca ukubiri n''ubukene. "
Current operations The Adolescent Girls Initiative public-private partnership, with its $20 million in funds, is already at work in seven countries, with plans to expand to Haiti and Yemen. Mayra Buvinic talks about the Adolescent Girls Initiative	Mayra Buvinic avuga ku byerekeye gahunda y'abakobwa b'ingimbi ati: "Ibikorwa biriho ubu by'Ugufata iyambere kw'abakobwa b'ingimbi, mu bufatanye bwa leta n’abikorera ku giti cyabo, hamwe na miliyoni 20 z’amadorali, bumaze gukorera mu bihugu birindwi, bikaba biteganijwe ko byaguka muri Haiti na Yemeni."
"So where we are in Liberia and Nepal, young women are completing the first rounds of training," explained Mayra Buvinic, director of Gender and Development at the World Bank.	Aho rero turi muri Liberiya no muri Nepal, abakobwa bakiri bato bararangiza icyiciro cya mbere cy'amahugurwa, "ibi bikaba byavuzwe na Mayra Buvinic, umuyobozi ushinzwe uburinganire n'iterambere muri banki y'isi.
"In South Sudan, 100 adolescent girls' clubs will have opened in four states by the end of this month. In Jordan, female community college graduates are gaining access to vouchers.	Muri Sudani yepfo, amakarabu 100 y'ingimbi azaba amaze gufungura muri leta enye mu mpera z'uku kwezi. Muri Yorodani, abategarugori barangije kaminuza bamaze kubona ibyangombwa.
In Afghanistan, Lao PDR and Rwanda, assessments are being completed, and the projects will be launched at the end of this quarter.	Muri Afuganisitani, Lao PDR n'u Rwanda, isuzuma ririmo kurangira, kandi imishinga izatangira mu mpera z'iki gihembwe.
"Thanks and praise Kebbeh Kamara tells the audience how she's benefited from the World Bank/Nike initiative	"Murakoze kandi ndabashimiye" Kebbeh Kamara abwira abari aho uburyo yungukiye muri gahunda ya Banki y'Isi / Nike.
Kebbeh Kamara said she has benefited from training in Greater Monrovia, Liberia.	Kebbeh Kamara yavuze ko yungukiye mu mahugurwa muri Greater Monrovia, Liberiya.
Wearing a pink dress and sporty black headband decorated with rhinestones, she addressed the World Bank audience from the stage.	Yambaye umwenda wijimye hamwe n'igitambaro cya siporo bambara ku mutwe cy'umukara k'imitako irimbishijwe amabuye, yabwiye abitabiriye banki yisi kuva ku rukiniro.
"I learned how to start a business, how to earn money on your own, how to be self-sustainable," she said, "how to save money and what to spend money for.	"Nize uburyo bwo gutangira umushinga, uburyo bwo kubona amafaranga ubwawe, uburyo bwo kwibeshaho", ati: "uburyo bwo kuzigama amafaranga n'icyo gukoresha amafaranga."
" Sarah Poni Saturnino, 19, of Juba, Southern Sudan, told VOA she is enjoying her first trip to the United States and all the empowerment training and activities.	Sarah Poni Saturnino, ufite imyaka 19, i Juba, muri Sudani y'Amajyepfo, yabwiye VOA ko yishimiye urugendo rwe rwa mbere muri Amerika ndetse n'amahugurwa n'ibikorwa byose byo kumwongerera ubushobozi.
She said she hopes to take the lessons she has learned here in workshops back to the Adolescent Girls Initiative clubs in Southern Sudan.	Yavuze ko yizeye kuzakura amasomo mu byo yigiye hano mu mahugurwa agasubira mu ma club y'Abangavu mu Gufata Iyambere yo muri Sudani y'Amajyepfo.
"I learned about how to express yourself. Eye contact. Speak loud," explained Saturnino. "This way can give me really a voice to speak in front of people.	Saturnino yabisobanuye agira ati: "Nize uburyo bwo kwisobanura. Kureba mu amaso. Kuvuga cyane." Ubu buryo bushobora kumpa ijwi ryo kuvuga imbere y'abantu.
And even if I go back home, I'm not longer Sarah again -- I'm somebody now." Somebody who has earned the admiration of a fellow Southern Sudanese citizen, child-soldier-turned-rapper Emmanuel Jal.	Nubwo naba nsubiye mu rugo, sinzongera kuba Sarah - Ndi umuntu ubu. "Umuntu wigeze gushimwa na mugenzi we wo muri Sudani y'Amajyepfo, umwana w'umusirikare-wahindutse umuraperi Emmanuel Jal.
A supporter of the Adolescent Girls Initiative, Jal performed at the World Bank event.	Umushyigikire wItsinda ry'Abakobwa b'Abangavu bafata Iyambere, Jal yagaragaye mu birori bya Banki y'isi.
The girls joined him on stage, beaming as they danced behind him -- as did at least one World Bank official -- while the audience of staffers in business suits took to their feet and raised their hands in the air as well.	Abakobwa bamusanze ku rubyiniro, bafatanya kubyina ubwo babyinaga inyuma - kimwe n’umuyobozi nibura umwe mu bayobozi ba Banki y’isi - mu gihe abari bateraniye aho bari bambaye imyenda y’akazi bakoraga ku birenge maze bakazamura amaboko mu kirere.
Activists Press for Better Help to End Congo Rapes	Abanyamakuru baharanira gufasha mu guhagarika gufata ku ngufu muri congo.
As U.N. Special Representative for Sexual Violence In Conflict Margot Wallstrom embarks on a new trip to the Democratic Republic of Congo, two activists recently concluded lobbying efforts in the United States for more effective action on trying to end conflict-related rapes in Congo.	Mu gihe uhagarariye Umuryango w’abibumbye ushinzwe ihohoterwa rishingiye ku gitsina mu makimbirane Margot Wallstrom atangiye urugendo rushya muri Repubulika Iharanira Demokarasi ya Kongo, abarwanashyaka babiri baherutse gusoza ibikorwa byo guharanira inyungu muri Leta zunze ubumwe za Amerika kugira ngo barusheho gufata ingamba zo gushaka guhagarika ihohoterwa rishingiye ku makimbirane muri Kongo.
One of them, Justine Masika Bihamba, told a gathering of Washington, D.C., university students and concerned citizens that the area in which she works, Beni, in North Kivu province, is still overrun by Ugandan rebels who regularly rape women.She said in these situations women are considered victims, and are not implicated in the search for peace.	Umwe muri bo, Justine Masika Bihamba, yabwiye abari bateraniye i Washington, muri Leta zunze ubumwe za Amerika, abanyeshuri ba kaminuza ndetse n’abaturage bireba ko akarere akoreramo, Beni, mu ntara ya Kivu y’amajyaruguru, gakomeje kwigarurirwa n’inyeshyamba zo muri Uganda zikunze gufata abagore ku ngufu. 
She said in these situations women are considered victims, and are not implicated in the search for peace.	Avuga ko muri ibi bihe abagore bafatwa nkabahohotewe, kandi ntibagira uruhare mugushakisha amahoro.
Striving for peace in the region	Guharanira amahoro mu karere
Bihamba coordinates an organization called the Synergy of Women Against Sexual Violence.	Bihamba ahuza umuryango witwa Synergy y'abagore wo kurwanya ihohoterwa rishingiye ku gitsina.
Counselors with the group have been attacked and threatened because of their work. 	Abajyanama hamwe n'itsinda baratewe kandi babangamiwe n'ibikorwa byabo. 
When Bihamba was at work one day, Congolese soldiers attacked her home, and sexually assaulted one of her daughters.	Umunsi umwe ubwo Bihamba yari ku kazi, abasirikari ba congo bateye iwe, basambanya umwe mu bakobwa be.
One of them, Justine Masika Bihamba, told a gathering of Washington, D.C., university students and concerned citizens that the area in which she works, Beni, in North Kivu province, is still overrun by Ugandan rebels who regularly rape women.	Bihamba yasobanuye ko igikenewe - ikiruta byose - ari amahoro mu burasirazuba bwa Kongo.
She said she believes sexual crimes would go down drastically if fighting stopped.	Yavuze ko yizera ko ibyaha by'ihohotera rishingiye ku gitsina bizagabanuka cyane imirwano iramutse ihagaze.
Activist Donatella Rostagno, from the European network for Central Africa, accompanied Bihamba on her trip to the United States.	Umurwanashyaka Donatella Rostagno, ukomoka mu ihuriro ry’iburayi rikorera muri Afurika yo hagati, yaherekeje Bihamba mu rugendo rwe muri Amerika.
She said she supports the work being done by the U.N. special representative for sexual violence in conflict.	Yavuze ko ashyigikiye imirimo ikorwa n’uhagarariye Umuryango w’abibumbye ushinzwe ihohoterwa rishingiye ku gitsina mu makimbirane.
Rostagno also said feels, however, the international community is not doing enough to stop Congo's war, despite having a large U.N. peacekeeping mission there.	Rostagno yavuze kandi ko abyumva, ariko ko, umuryango mpuzamahanga udakora ibishoboka byose ngo uhagarike intambara ya Congo, nubwo hariyo akazi katoroshye ku Muryango w'Abibumbye ko kubungabunga amahoro.
"The majority of the actions is made to look at the consequences, to work with the women who are victims, but not enough is done to look at the causes of the rapes and the conflict," said Rostagno.	Rostagno ati: "Ibyinshi mu bikorwa bikorwa kugira ngo harebwe ingaruka, gukorana n'abagore bahohotewe, ariko ntibihagije kugira ngo harebwe ibitera gufata ku ngufu n'amakimbirane."
Deteriorating situation amid global concern	Ibintu byifashe nabi kandi biteye impungenge isi
She fears the overall situation in eastern Congo is getting worse, not better - despite the international attention - with rebels, militias, and renegade soldiers still running rampant.	Afite ubwoba ko muri rusange mu burasirazuba bwa Kongo , ibintu bigenda birushaho kuba bibi - nubwo amahanga abitayeho - inyeshyamba, imitwe yitwara gisirikare, n'abasirikare bigometse bikomeje kwiyongera.
"A lot of these rebel groups are getting reorganized, and are even getting in a coalition so the movements that we see in the region, it is worrying us," said Rostagno.	Rostagno ati: "Benshi muri iyo mitwe y'inyeshyamba barimo kongera kuvugururwa, ndetse bakinjira mu ihuriro bityo imitwe tubona mu karere, iraduhangayikishije."
"I think we were more optimistic on this region six months ago than today.	Ndatekereza ko twagize ibyiringiro muri kano karere amezi atandatu ashize kurusha uyu munsi.
