en	ibo
Why did you leave your former place of work?	Gịnị mere i ji hapụ ebe ị na-arụ n'oge mbu?
As she explains, check if her words are coherent.	Ọ na-eme nkọwa a, lee anya ka ị mara n'okwu ya ọ na-adaba.
Where are you from?	Ebe ka i si bịa?
Who are your parents?	Onye bụ nne na nna gị?
Your family?	Ezinaụlọ gị?
Collect the name and phone number of her previous employer.	Nata ya aha na akara ekwenti onye ọ rụrụ ọrụ n'aka ya tupu ọ bịa na nke gị.
Observe his tone and character while answering you	Lee uda olu ya nakwa omume ya mgbe ọ na-asa gị okwu.
Give the police her name to investigate if she is a defaulter or wanted by the law.	Nye ndị uweojii aha ya, ka ha nyocha ọfụma mara ma ọ bụ onye nupuru isi n'iwu, maọbụ onye ha na-achọ achọ.
Take her to the hospital to test if she is free from HIV, hepatitis or tuberculosis.	Kpọrọ ya gaa ụlọọgwụ ka ha nyocha ya, ka ha mara ma ọ dị ime, maọbụ o nwere ọrịa mmịnwụ(HIV), ịba ojii (hepatitis) nakwa ụkwaranta (tuberculosis.)
They should also check her blood group for eventualities.	Ha nyochakwa ụdi ọbara dị ya na-ahụ(blood group) maka adịghị a ma ama.
Look into his referees	Lebanye anya na ndị kwudoru ya dịka onye akaebe.
News that would interest you	Akụkọ ga-amasị gị
Current news: The court has cancelled the in house APC election in Imo State.	Akụkọ na-eme ugbu a: Ụlọikpe akagbuola ntuliaka imeụlọ APC mere n'Imo steeti.
The Nigerian fedral high court has talked about the dead corp member.	Ụlọomeiwu ukwu Naịjirịa etinyela ọnụ n'ọnwụ 'Corper'
Biafra: Okey Ndibe told of his childhood experience during the Biafran war.	Biafra: Okey Ndibe kọrọ ihe ọ hụrụ dịka nwata nọ mgbe a lụrụ agha Biafra
The famous writer and professor Okey Ndibe told of his ordeal during the war.	Okammụta n'odee akwụkwọ a ma ama bụ Okey Ndibe kwuru etu o siri bie ndụ mgbe agha bidoro.
Okey Ndibe said that, 'anyone who experienced the war from1967 to 1970 would not wish for another.'	Okey Ndibe sị na, 'Agha abụghị ihe onye ọbụla hụrụ ihe mere n'afọ 1967 ruo 1970 ga-asị ka o mee ọzọ.'
He also talked of the cause of disunity in Nigeria till this day.	O kwukwara ihe mere ogbaghara jiri ka dị n'ala Naịjirịa ruo taa.
He advised the youths concerning they way they want their independence- the problem that will spring from it and what they are supossed to do.	O nyere ndị ntorobịa ọdụmọdụ gbasara otu ha siri chọọ ka ha nwe nwereonwe nke ha - nsogbu ga-adị na ya na ihe ha kwesiri ime.
News producers: Chioma Nkemdilim and Grace Ekpu.	Ndị mere akụkọ a: Chioma Nkemdilim na Grace Ekpu.
The Igbos believe in 'give us our right' - adviser to Ekweremadu	Ndị Igbo kwenyere n'ụkpụrụ 'nye anyị nke ruru anyị' - Onye ndụmọdụ Ekweremadu
This is not the first time of entrusting the decision concerning the peace of Nigeria to the vice senate president Ike Ekweremadu.	Ọ bụghi mbụ a na-etinye ihe gbasara udo Naịjirịa n'aka osote onyeisi ụlọ omeiwu ukwu bụ Ike Ekweremadu.
Ike Ekweremadu	Ike Ekweremadu
Ekweremadu has stayed in the senate house for eleven years, making him the longest serving senator in the house.	Ekweremadu anọọla ụlọomeiwu Naịjirịa afọ 11, nke mere ka ọ bụrụ onye omeiwu kachasị nọrọ ogologo oge n'ụlọ ọrụ ahụ
This is the first meeting held of 'International Parliament for tolerance and peace (IPTP)' to promote unity and dialogue concerning the well being and challenges of all the countries of the world.	Nke a bụ mbụ a na-ehibe ọgbakọ 'International Parliament for tolerance and peace (IPTP)' iji wee kwado mmekọrịta na mkparitaụka gbasara ọdimma nakwa nsogbu na-esogbu akụkụ mbaụwa dị iche iche.
In the meeting held in the first week of July in Malta, Taullant Balla from Albania senate was chosen as the first president, while the vice senate president of Nigeria Ike Ekweremadu is the chairman for the committee in charge of legislation.	Ọgbakọ a nke e mere n'izu ụka mbụ n'ọnwa Julaị n'obodo Malta họpụtara Taullant Balla nke si ụlọomeiwu Albania dịka onyeisi mbu, ebe osote onyeisi ụlọomeiwu ukwu Naịjirịa bụ Ike Ekweremadu bụ onyeisi kọmiti na-ahụ maka imepụta iwu na ya.
Odion Ighalo scored three goals in this tournament.	Odion Ighalo nyere ọkpụ atọ n'ime asọmpi a
The Super Eagles are very happy because of their victory over Libya in the qualifying match for African Cup of Nations.	Ha meri mba Libya ọkpụ anọ asatara ihe n'ọdọ egwuregwu Godswill Akpabio n'Uyo.
They won Libya four goals to one in Godswill Akpabio stadium in Uyo.	isi obodo Akwa Ibom steeti.
The capital of AkwaIbom State.	Lee ndị mụrụ ndị Super Eagles ebe a
See the parents of the Super Eagles players here	Ọ bụ Odion Ighalo nyere goolu atọ n'ime asọmpị a .
Samuel Kalu gave the fourth goal	Samuel Kalu bụ onye nyere goolu nke anọ.
A lot of people are praising them on social media for their win.	Ọtụtụ mmadụ na-eto aha ha na social media maka mmeri a.
They said that Super Eagles have learnt from their world cup experience in Russia.	Ha na-ekwu na Super Eagles ejiila ihe mere n'iko mba ụwa na Roshịa mụta ihe.
‏@akinlatauto wrote that Samuel Kalu will replace Victor Moses in the club	‏@akinlatauto dere na Samuel Kalu bụ onye ga-anọchịte Victor Moses anya n'otu ahụ
@SharmySamuel explained Nigeria's position in the tournament	@SharmySamuel kọwara ebe Naijirịa nọrọ ugbua n'asọmpị a.
but many other people are saying that it would be difficult for Super Eagles to perform well if they really join the AFCON Cup.	Mana ọtụtu ndị mmadụ ọzọ na-ekwu na ọ ga-afịa Super Eagles ahụ ị me nke ọma ma ha bata n'asọmpi AFCON n'ezi e.
Stories that would interest you	Akụkọ ndị ga-amasị gị
No Bra Day- would it stop breast cancer?	#NoBraDay: Ọ ga-akwụsị ọrịa kansa n'ụmụnwanyị?
PDP- We chose Peter Obi to support 'Not Too Young To Run'	PDP: Anyị họrọ Peter Obi maka ị kwado NotTooYoungToRun
Peter Obi and the Igbo governors: The Igbos support what Atiku did	Peter Obi na ndị gọv Alaigbo: Ụmụ Igbo kwadoro ihe Atiku mere
Nigerians have said that they are glad that Atiku Abubakar chose Peter Obi to be his running mate in the 2019 election.	Ụmụ Naijiria ekwuola na obi dị ha ụtọ na Atiku Abụbakar họrọ Peter Obi iso ya zọọ ọkwa onyeisiala na ntuliaka 2019.
Peter Obi,Dave Umahi	Peter Obi, Dave Umahi
Although the recent news shows that the Northern PDP governors are not happy that Atiku Abubakar chose Peter Obi as his running mate in the 2019 election, many Igbos and other Nigerians are in support.	Dịka akụkọ pụtara na-egosi na obi adịghị ndị gọvanọ PDP n'ọwụwa anyanwụ nakwa ndị ndu ha na mpaghara ahụ mma maka nhọrọ Atiku Abubakar họrọ Peter Obi dịka osote ya n'ịzọ ọkwa n'2019, ọtụtụ ụmụ afọ Igbo nakwa ndị Naijiria ndị ọzọ dọnyere Obi ukwu.
Many people are expressing their thoughts concerning the Igbo PDP governors who are saying that it is their decision and not the Igbos that Atiku Abubakar chose Peter Obi.	Ọtụtụ ndị mmadụ na-ekwu uche gbasara ihe ndị Gọvanọ PDP n'Ala Igbo na-ekwu maka nhọpụta Atiku Abubakar họpụtara Peter Obi sị na ọ bụ uche aka ha, na ọ bụghị uche Ndigbo.
PDP- We chose Peter Obi to support 'Not Too Young To Run'	PDP: Anyị họrọ Peter Obi maka ị kwado #NotTooYoungToRun
Atiku: who would be his vice?	Atiku: Onye ga-abụ osote ya?
Remember that David Umahi the governor of Ebonyi State and also the the chairman of the 'South East Governors' Forum', said that the choice of Peter Obi by Atiku is ' A shame to the Igbos because it there was no delibration on it'.	Cheta na David Umahi bụ gọvanọ Ebonyi steeti mabụrụkwa onyeisioche 'South East Governors' Forum', kwuru na nhọrọ Atiku họpụta Peter Obi bụ 'imenye Ndigbọ ihere n'ihu' n'ihi na 'akpaghị ya akpa'.
They swore to work against him for overlooking their agreement.	Ha nụrụ iyi na ha ga-agba ya mgba okpuru maka ịgbakụta nkwekọrịta ha nwere azụ.
An anonymous person who was also in the meeting told Sun broadcasting house that their agreement was for Atiku to take the former CBN governor Charles Soludo.	Otu onye a chọghị ka a kpọ aha ya nọ n'ọgbakọ ha mere gwara ụlọ ntaakụkọ Sun na mkpebi ha nwere bụ ka Atiku were onye chịbụrụ ụlọakụ etiti bụ CBN n'aha ịchafụ bụ Charles Soludo.
The person said that 'there would have been peace if he had taken Soludo because that was our agreement'.	Onye ahụ sịrị, 'Udo karịrị ịdị ma ọ bụrụ na ọ họrọ Soludo nihi na ọ bụ ka anyị kwekọrịtara.'
Another rumour reaching BBC Igbo said that many PDP Eastern are interested in this position given to Peter Obi.	Kepukepu ọzọ na-eru BBC Igbo nti na-ekwu na-enwere ọtụtụ nọ na PDP ọwụwa anyanwụ anya ha dị n'ọkwa e nyere Peter Obi.
The thought of Igbos	Uche ọha Igbo
But many people are saying that what the PDP governors are saying is not the opinion of the Igbos but theirs because the Igbos are happy with what Atiku did.	Mana ọtụtụ ndị mmadụ na-ekwu na okwu ndị gọvanọ PDP na-ekwu abụghị uche Ndigbo kama ọ bụ nke onwe n'ihi na obi dị Ndigbo mma na ihe Atiku mere.
The Igbo youth leader Mr. Okechukwu Isiguzo advised the Eastern governors to leave their their personal interest and focus on the interest of the Igbos.	Onyeisi ndị ntorobịa otu Ohaneze bụ Mazi Okechukwu Isiguzo dụrụ ndị gọvanọ ọwụwa anyanwụ ọdụ ka ha hapụ ịchụ mmasị onwe ha, chụwa ọdịmma Ndigbo.
A lawyer and a political analyst Chima Nnaji contributed to the story when BBC Igbo asked him questions concerning Atiku and Peter Obi.	Otu ọkaiwu mabụrụ onye ọnụ na-eru n'okwu gbasara ndọrọndọrọ ọchịchị bụ Chima Nnaji tụnyere n'okwu ahụ oge BBC Igbo gbara ya ajụjụ ọnụ gbasara okwu Atiku na Peter Obi.
The Igbos are not supposed to fight amongst themselves.	Ndị Igbo ekwesighi ị na-alụ ọgụ n'ime onwe ha bụ ihe
Nnaji said that it is what has befallen this country therefore, they are supposed to support their own in other to represent them in the government.	Nnaji kwuru na ọ bụ ihe bu obodo a n'isi ya mere na ha kwesiri ịkwado onye nke ha iji nọchị anya ha n'ihe gbasara ọchịchị.
He also said that the Igbos should 'not loose this God-given opportunity' despite whatever Peter Obi did to them the Eastern governors.	O kwukwara na Ndigbo ghara iji aka ha 'kụwa efere Chineke nyere ha jiri rie nrị' agbanyeghị ihe ọbụla Peter Obi mere ha bụ ndị gọvanọ ọwụwa anyanwụ.
See what some people are saying	Lee ụfọdụ ihe ndị mmadụ na-ekwu:
Many people especially the Igbos are expressing their joy on Facebook.	Ọtụtụ ndị mmadụ ọkachasị Ndigbo na-egosi obi ụtọ nke ha kwupụtara na igwe okwu Facebook.
Mubowale Kuforiji, Dozie Umekunie and Nomso Muoka wrote that Peter Obi is the best among them.	Mubowale Kuforiji, Dozie Umekunie nakwa Nomso Muoka dere na Peter Obi bu onye kachasị mma n'ime ha niile.
others like Goddy Uwazurike and Basil Olemerezi also share the same opinion with the first callers..	Ndị ozọ dịka Goddy Uwazurike nakwa Basil Olemerezi sokwa na ebumnuche ndị anyi kpọrọ na mbu.
Pius Mordi wrote that nobody is supposed to listen to what Umahi and his cohorts are saying.	Pius Mordi dere na onweghị onye kwesiri ịge ntị n'ihe Umahi na ndị otu ya na-ekwu.
This story would interest you	Akụkọ ndị ga-amasị gị
No Bra Day- would it stop breast cancer?	#NoBraDay: Ọ ga-akwụsị ọrịa kansa n'ụmụnwanyị?
PDP- We have chosen Peter Obi to support 'Not Too Young To Run'	PDP: Anyị họrọ Peter Obi maka ị kwado NotTooYoungToRun
AFCON: Super Eagles have dealt with Libya	AFCON: Super Eagles agwọọla Libya ibaa
Nigeria versus Libya: Nigeria now heads group E.	Nigeria vs Libya: Super Eagles bụzị ndị isi Group E
As Nigeria won Libya with three goals to two, they have replaced South Africa in their group top	Ka Naịjirịa ji ọkpụ atọ asatara abụọ merie Libya, ha nọchizịrị South Afrịka n'isi ọgbọ ha.
Nigeria versus Libya:	Naịjirịa vs Libya
Nigeria now heads group E	Naịjirịa bụzi ndị nọ n'isi Group E
Nigeria is now become the leader of Group E in the 2019 African Cup of Nations qualifying competition.	Naịjirịa abụrụla ndị nọ n'isi Group E n'asompi eji amara ndị ga-etozu ịga iko mba Afịrịka nke Bekee kpọrọ African Cup of Nations nke 2019.
AFCON: Super Eagles have dealt with Libya	AFCON: Super Eagles agwọọla Libya ịba
Ninety persons have drowned in Libya.	Mmadụ iri itoolu emiela mmiri na Libya
What happened as Nigeria won Libya with three goals to two in the match in Tunisia today.	Nke mere kaotu bọọlụ Super Eagles ji ọkpụ atọ asatara abụọ merie Libya n'asompi agbara na Tunisia taa.
The former leading club in group E which is South Africa and Seychelles played a draw in Linite stadium, Victoria.	Ndị nọ bụ n'isi Group E bụ South Afrịka na ogbo ha bụ Seychelles gbara nhatanha na ọdọ egwuregwu Linite dị na Victoria.
Bafana Bafana toped Seychelles by six goals to none in the first stage.	Bafana Bafana jiburu 6-0 gbaka Seychelles ahụ na-agba nke mbụ ha.
Nigeria won Libya with three goals to nothing in the first stage.	Naịjirịa ji ọkpụ atọ asataghi merie Libya na-agba nke mbu ha na Naijirịa.
stories that would interest you	Akụkọ ndị ga-amasị gị:
Peter Obi: Is it true that the Igbos are not united?	Peter Obi : Ọ bụ eziokwu na Igbo enweghị otu obi?
Would a woman govern better than a man?	Nwaanyị a ga-aka nwoke chịta nke ọma?
Fayose has arrived the EFCC office	Fayose awuchiela ụlọọrụ EFCC
AFCON 2019 Qualifiers: Is Ighalo due to be forgiven for what happened in the 2018 world cup?	AFCON 2019 Qualifiers: Oge o ruola ịgbaghara Ighalo maka ihe mere n'Iko Mbaụwa 2018?
Odion Ighalo has done something he would be remembered for since he started playing for Nigeria in 2015.	Odion Ighalo emeela ihe e ji echeta ya kemgbe afọ 2015 o bidoro ịgbara Naịjirịa bọọlụ.
Odion Ighalo	Odion Ighalo
Ighalo has scored ten goals for Nigeria since he started playing for the Super Eagles.	Ighalo enyerela Naịjirịa goolu 10 kemgbe o ji bido ịgbara Super Eagles
The five goals the Nigerian player Odion Ighalo scored within two matches has made him popular again.	Goolu ise onye egwu Naịjirịa bụ Odion Ighalo nyere n'ime egwuregwu abụọ ọ gbarala Naịjirịa n'ọnwa Oktoba emeela ka a kpụrụ ya n'ọnụ ọzọ.
If Ighalo had listened to Nigerians as he came back from the 2018 world cup, he would have resigned from playing for Nigeria again.	Ọ bụrụ na Ighalo gere ndị Naịjirịa ntị ka o si Iko Mbaụwa 2018 a gbara na Rọshịa lọta, ọ gaara achili ụkwụ elu sị na ọ gaghị agbara Naịjirịa bọọlụ ọzọ.
AFCON: Super Eagles have dealt with Libya	AFCON: Super Eagles agwọọla Libya ịba
Do you know that women are all over the Super Eagles?	Ị ma ụmụnwaanyị ji ndị Super Eagles n'ọrụ?
See the parents of the Super Eagles players here	Lee ndị mụrụ ndị Super Eagles ebe a
But within a week from October 13 tp 17, Ighalo has been the topic of discussion for defeating Libya two times they met.	Mana n'ime otu izu,site n'Oktoba 13 ruo 17, aha Ighalo nọ n'ọnụ ndị mmadụ maka etu o si gosi ndị Libya nkarị ugboro abụọ ha zutere.
He scored three goals in the match against Libya on October 13 and scored two goals after two days.	O nyere goolu atọ n'ime otu egwuregwu ka Naịjirịa na Libya zutere n'Oktoba 13, ma nyekwa goolu abụọ ka naanị mkpụrụ ụbọchị abụọ gachara.
Many Nigerians insulted Ighalo for not scoring and was defeated by Argentina in the 2018 world cup.	Ọtụtụ ndị Naịjirịa kparịrị Ighalo maka goolu ọ na-agbanyeghị mere ka Ajentina gbapụ Naịjirịa n'Iko Mbaụwa 2018
Ighalo started trending on twitter and other places	Ighalo malitere n'ewu na Twitter na ebe ndị ọzọ.
While some are saying that they have forgiven him for making not oing well in the world cup where Nigeria was defeated early, others have said that they are not yet ready to forgive him.	Ebe ụfọdụ na-ekwu na ha agbagharala ya maka emeghị nke ọma n'asọmpi Iko Mbaụwa ebe a gbapụrụ Naịjirịa n'oge, ndị ọzọ ekwuola na ha adịbeghị njikere ịgbaghara ya.
Those who do not want to forgive him	Ndị achọghị ịgbaghara ya
@ibkthegreat01 said that Nigerians only begged him for one goal as they met Argentina but he caused Nigeria's defeat.	@ibkthegreat01 sị na naanị ihe ndị Naịjirịa rịọrọ ya bụ inye otu goolu ka ha na Ajentina zutere, mana o mere ihe e ji gbapụ Naịjirịa.
He said that he would forgive him if he scores the goal that would make Nigeria winner of the African Cup of Nations.	Ọ sị na ọ ga-agbaghara ya naanị ma ọ bụrụ na ọ ga-enye goolu nke ga-eme ka Naịjirịa bulie Iko mba Afrịka.
said that because Ighalo scored three goals in a match does not mean that he will be forgiven for taking Nigeria out of the world cup.	@s0m3b0di kwuru sị na Ighalo nyere goolu atọ n'ime otu egwuregwu apụtaghị na a ga-agbaghara ya maka irila Naịjirịa n'Iko Mbaụwa.
said that even if Ighalo decides to score seventy goals, all he knows is that Nigeria did not qualify in the first stage of the world cup.	@Thayour_B_ kwuru sị na ọ masị Ighalo ya nye goolu iri asaa, na ihe ọ ma bụ na Naịịjirịa apụtaghị n'agba nke otu n'Iko Mbaụwa.
Those who want to forgive him	Ndị chọrọ ịgbaghara ya
said he should be forgiven for scoring five goals within two matches.	@iSlimfit sị ka a gbaghara ya maka goolu ise o nyere n'egwuregwu abụọ.
said that he has retrieved all the bad words he said about Ighalo in the world cup.	@Nobsdaslushhkid kwuru sị na o weghachịla okwu ọjọọ niile o kwuru maka Ighalo n'asọmpi Iko Mbaụwa.
said that Ighalo has made him happy	@Gentlegiantdido kwuru na Ighalo emeela ya obi aṅụrị.
These stories would interest you	Akụkọ ndị ga-amasị gị:
Abia Pipeline explosion: A couple are among the deceased.	Abia Pipeline explosion: Di na nwunye so na ndị ọkụ gbagburu
Hauwa Liman: We deeply regret his lose-government.	Hauwa Liman: Ọnwụ ya wutere anyị nke ukwu - Gọọmentị
Nigeria versus Libya: Super Eagles are now tops in Group E	Nigeria vs Libya: Super Eagles nọzị n'isi Group E
Rice import ban: The ban on foreign rice has increased the income from Abakiliki rice- farmer	Rice import ban: Mmachi rice ofesi mere ego bata n'ịkọ osikapa Abakaliki - Ọkọugbo
Abakiliki rice is now on high demand since the government banned the importation of foreign rice.	Osikapa Abakaliki na-ewuzi kemgbe gọọmentị machiri mbubata nke ofesi.
Ọkọugbo Jerry Oduma showed BBC Igbo how rice is produced.	Ọkọugbo Jerry Oduma gosiri BBC Igbo etu e si ewepụta ya bụ osikapa.
Jerry Oduma is a wealthy man	Jerry Oduma bụ ọgaranya.
He made money through farming where rice is his most produced product.	Ọ kpatara ego ya n'ịkọ ugbo, nke osikapa bụ eze n'ime ihe ọ na akọpụta.
Oduma told BBC Igbo that he can not do any other thing aside farming.	Oduma gwara BBC Igbo na ya enweghi ike ịrụ ọrụ ọzọ ma ọ bụrụ na ọ bụghị ọrụ ugbo.
He also said that he trains his children in the university with the income from farming.	Ọ sịkwa na ọ bụ ego ọ na-eweta n'ọrụ ugbo ka o ji azụ ụmu ya na mahadum.
watch how he produces rice above	Kirie etu o si arụpụta osikapa ya n'elu.
Nkechi Blessing Sunday:' it has been long my buttocks bewilds the world'.	Nkechi Blessing Sunday: 'Otele ukwu m na-ekopu ụwa'
A yoruba Igbo actress has said that she is not sexually harrased because she could act.	Nwata nwaanyị Igbo na-emekarị ejije ndị Yoruba, ekwuola na anaghị enye ya nsogbu ndina makana ọ ma eme ejije ọfuma.
Nkechi Blessing Sunday is an Igbo who loves acting Yoruba movies.	Nkechi Blessing Sunday bụ onye Igbo ime ejije ndị Yoruba na-amasị.
She told BBC Igbo that it is not her big buttocks that gives her roles rather her expertise in acting.	Ọ gwara BBC Igbo na ọ bụghị nnukwu otele ya na-enye ya ọrụ, kama ọ bụ makana ọ na-emete ihe ọbụla a sị ya mee dịka onye na-eme ejije.
She also said that she is not sexually harrased before she is given a role to act.	O kwukwara na anaghị agba ya ndina tupu o soro mee ejije.
story that would interest you	Akụkọ ga-amasị gị:
Chieftaincy title: What it takes for a woman to be given a title in Igbo land.	Chieftaincy title: Ihe ọ na-ewe nwaanyị inweta echichi n'ala Igbo
Many times men are given titles, but who knows what it takes a woman to be given a title?	Ọtụtụ oge ka ụmụnwoke na-echi echichi n'ala Igbo, mana onye ma ihe ọ na-ewe ụmụnwaanyị ichi echichi?
Tonto Dike and Oge Okoye	Tonto Dike na Oge Okoye
Tonto Dike and Oge Okoye are Nollywood actresses	Tonto Dike na Oge Okoye bụ ndị na-eme ihe nkiri na Nollywood
When it comes to giving titles in Igbo land, it was previously given to elderly women but now even young women are given titles.	Abịa n'ihe gbasara echichi n'ala Igbo, ụmụnwaanyị katara ahụ ka a na-echibu ya, mana ugbua ọtụtụ ndị na-echizi echichi n'agbọghọbịa.
There was never a time women were not given titles but then, only married or wealthy women are expected to take titles but now, age does not stop a woman from taking title.	Enweghị mgbe Igbo sọrọ nsọ nwaanyị ichi echichi, kama mgbe gboo naanị ụmụnwaanyị lụrụ di maọbụ nwere ezigbo ego ka ọ dịịrị ichi echichi, mana ugbua, afọ ole nwaanyị dị anaghị egbochi ya ichi echichi.
five things that interest women	Ihe ise masịrị ụmụnwaanyị
How Igbos 'divorce'.	Etu ndị Igbo si agba 'alụkwaghịm'
See the traitional marriage attire of the Igbos.	Lee uwe ndị Igbo na-eyi aga igba nkwu
Women who do well in trade or are well read that want to take a title can if she can do what it takes.	Ụmụnwaanyị na-eme ọfụma n'azụmaahịa maọbụ gụrụ akwụkwọ ọfụma chọrọ ichi echichi ga-echinwu ya ma ọ bụrụhaala na uche ya dị ya, ma bụrụkwa na ọ ga-emenwu ihe dị n'ime ya.
What is involved in giving title to a woman?	Gịnị dị na nwaanyị ichi echichi n'ala Igbo?
Money is the key for giving an Igbo woman a title.	Tupu nwaanyị Igbo echie echichi, ego ji ọrụ.
she will do a lot of things that involve money.	Ọ ga-eme ọtụtụ ihe e ji ego eme.
she will buy both yam, cocoyam, colanut and also salt	Ọ ga-azụta ma ji ma ede ma ọjị nakwa nnu
she will also bring money that will be shared to the women in the council of title holders.	Ọ ga-ewetakwa ego nke a ga-ekesara ụmụnwaanyị ndị nọ n'otu ndị na-echi echichi
she will buy different types of drinks	Ọ ga-azụta mmanya dị iche iche
Story has it that the reason behind spending this much is to know if the woman who wants to take a title can be philantropist when it matters.	Akụkọ kwuru na ihe kpatara e ji eme ihe ego otu a bụ ịmata ma nwaanyị na-achọ ichi echichi onwere ikike ịbụ 'omere ọha' ma ihe ndapụta dapụta.
The second time she would be called out to the public, she would lead other titled women and dance out.	Ụbọchị a ga-akpọpụta ya n'ihu ọha ugboro abụọ ebe ọ ga-eji egwu duputa ụmụnwaanyị ndị ọzọ chiri echichi n'ihu ọha.
The don'ts of a titled Igbo woman	Ihe nwaanyị Igbo chiri echichi agaghị emenwu
That a woman has a title would not make her do what men are supposed to do.	Na nwaanyị chiri echichi agaghị eme ya ka o nweta ohere ime ihe ụmụnwoke ibe ya nwere ike ime.
Masquerade dance	Ịgba mmọnwụ
Fighting or going for war	Ịlụ ọgụ maọbụ ịga agha
breaking of colanut	Ịwa ọjị
to climb a palm tree	Ịrị osisi nkwụ
Famous Igbo titled women	Ụmụnwaanyị Igbo na-ewuewu chiri echichi
These four women were given titles when they had not yet been married.	Oge ụmụnwaanyị anọ a nwetara echichi ha, ha alụbeghị di.
Actress Genevieve Nnaji was titled 'good daughter of Amuzu Nweafọr' in 2014.	1) Ome ihe nkiri bụ Genevieve Nnaji chiri echichi 'Eze Ada nke Amuzu Nweafọr' n'afọ 2014.
Chika Ike also an actress was titled 'The first egg of an Eagle of Amoli' in 2013.	2) Chika Ike bụkwa onye na-eme ihe nkiri chikwara echichi 'Akwa Ugo mbụ nke Amoli' n'afọ 2013.
Oge Okoye got the title ' First dazzling woman of Awgu' in 2013	3) Oge Okoye nwetara echichi 'Igolo Nwaanyị mbụ nke Awgu' n'afọ 2013
Tonto Dike also was titled 'Daughter that pleases the people of Nollywood' in 2017	4) Tonto Dike nwetara echichi 'Adadịọramma nke mbụ na Nollywood' ya n'afọ 2017
Story that would interest you	Akụkọ ga-amasị gị:
Oby Ezekwesili: My two cents on IPOB	Oby Ezekwesili: Ebumnobi m ebe Ipob nọ
Other citizens born in America will no longer be our citizens -Trump	Ndị mba ọzọ amụrụ n'Amerịka agaghị abụzị ndị mba anyị - Trump
Biafra: Why mother Biafra was arrested.	Biafra: Ihe mere e ji nwụchịe Mama Biafra
A fallen christain that started prostitution.	Sister gbapụrụ n'ụka werezia 'iko' riwe ihe
Ekweremadu: The court wants to look into the rumour of the confiscation of his house.	Ekweremadu: Ụlọomeiwu chọrọ nyocha ebubo mwakpo ụlọ ya
Federal high court of Nigeria mandates their sector in charge of the police to investigate the rumour of the confiscation of Ekweremadu's house.	Ụlọomeiwu ukwu Naịjirịa nyerengalaba ha na-ahụ maka ndị uweojii iwu ka e nyochaa ebubo mwakpo ụlọ Ekweremadu.
Ekweremadu	Ekweremadu
