eng	luo
“The administration fee incurred by cargo buyers during this process is considered a prudent cost and shall be included in the import cost build of the OTS cargoes to be considered in the May-June 2021 pricing cycle,” reads the minute of the meeting signed by Andrew Kamau PS Petroleum and Daniel Kiptoo acting chief executive Epra.	Weche ma nowach e burano ma noketie sei gi Andrew Kamau ma en PS mar Petroleum kod Daniel Kiptoo ma en Acting Chief Executive Officer (CEO) ma EPRA wacho kama, “Pesa ma ofis notiyogo sama ne gidwoko ne jong'iew msike pesagi ikwano ni ne otiyo kare kendo ibiro riwe e kwan sama ibiro go kwand nengo mar kelo msike  pinywaka kokalo kuom OTS e alap ma Mei-Jun 2021 .”
MPesa has now become the leading revenue stream for Safaricom, beating voice that has traditionally been the company’s mainstay. 	Goyo sime osebedo yo maduong' mar nweng'o ne jo Safaricom, to sani koro Mpesa oloye ka e yo maduong' ma Safaricom nwang'ogo yuto.
The mobile money service earned Safaricom Sh82.65 billion while voice service generated Sh82.55 billion in the year that ended March 31.	Mpesa nokelo ne jo Safaricom bilion 82.65 to goyo sime to noloso bilion 82.55 e higa ma norumo Mach tarik 31.
This performance came even as the telco reported a 6.8 per cent drop in profit after tax to Sh68.6 billion compared to Sh73.6 billion reported the previous year.	Dongruok ma kamano ne obedoe kata obedo ni kambino nyocha ochiwo ripot ma nyiso dok chien mar ohandgi gi pasent 6.8 bang' golo osuru. Wang'ni giyudo ohala ma romo bilion 68.6 to higa mokalo ne giyudo bilion 73.6.
The profit was held down by Central Bank’s directive to mobile operators to offer mobile money transactions under Sh1,000 free of charge last year as well as the poor state of the economy due to Covid-19.	Ohandgi odok chien ka luwore gi chik ma Central Bank nogolo ne jo sime higa mokalo ni giyie kastembegi oor siling' 1,000 nono ma onge pesa ming'adogi nikech dok chien e weche yuto ma Covid-19 nokelo.
However, Peter Ndegwa, the Safaricom chief executive said the company’s earnings were better than anticipated as the company and the economy appeared to head into recovery in the second half of the financial year.	Kata kamano, Peter Ndegwa, ma en CEO mar Safaricom nowacho ni kambino nyocha oyudo ohala maber moloyo kaka ne giparo nikech kambino kod yuto ma thurka nosechako duogo e wang'e e kor higa mar timo ohala.
We’ve faced quite a turbulent year but our business has delivered on the higher end of the guidance range,” he said while releasing the results yesterday. 	"Sama ne ogolo ripot nyoro, ne owacho kama, ""Wasenyagore gi apaka madongo e higano to pod ohandwa osekelo yuto ma mamalo moloyo kaka ne iparo ni dhi bet.”"
The company had projected to make pre-tax profit of between Sh91 billion and Sh94 billion for the year, a 10 per cent drop from the previous year.	Kambino ne geno loso ohala e kind bilion 91 billion kod 94 e higa mangima kapok ogol osuru, ma en dok chien mar pasent 10 kopim gi yuto ma higa mokalo.
However, it reported even better results at Sh96.16 billion in earnings before interest and tax. 	Kata kamano, pesa ma ne giyudo ne romo bilion 96.16 kapok ogol osuru kod interest.
“The recovery in the second half of the year was driven by the return to charging on M-Pesa transactions in the fourth quarter, double-digit growth in mobile data, fixed data growth alongside growth in consumers and usage,” said Ndegwa. 	Ndegwa nowacho kama, “Ne wadok e wang'e e kor higa nikech ne wachako ng'ado ji kuom oro pesa e M-Pesa e dweche adek mogik mar higa, ne wadongo e mobile data gi pasent modhuro, ne wadongo e fixed data, kastembewa ne omedore, kendo ne nitie medruok bende e yo ma ji ne otiyogo gi laini marwa.”
Safaricom recorded Sh250 billion in total service revenue, a marginal decline of 0.3 per cent.	Koriw kwan duto e higa, pesa te ma Safaricom ne oyudo ne en bilion 250, ma en dok chien mar pasent 0.3.
Overall, M-Pesa revenue fell by Sh1.8 billion in the last financial year from Sh84.44 billion made in the previous year, the largest drop in recent years.	Pesa ma nowuok e M-Pesa ne olwar gi bilion 1.8 e higa mokalo kowuok e bilion 84.44 ma noyud higa morocho, to mano en dok chien maduong' ahinya kopim gi higni moko matin mosekalo.
The most affected revenue streams were in mobile money transfers and payments, which reported Sh4.2 billion and Sh1.7 billion drop in earnings for the year. 	Kidieny ma ne ohinyore ahinya ne en korka oro pesa kod chudo kitiyo gi M-Pesa ma ne ohandegi ne odok chien gi bilion 4.2 kod bilion 1.7 e higa mangima.
The telco said about 1.7 billion M-Pesa transactions with a value of Sh4.4 trillion were zero-rated.	Kambino nowacho  ni transactions mag M-Pesa  ma dirom bilion 1.7 ma nengogi romo trillion 4.4 nobedo zero-rated.
At the same time, revenue from voice fell by Sh4 billion from Sh86.53 billion while SMS revenue grew 11.7 per cent to Sh13.6 billion as at the end of the financial year. 	Gie sechego, pesa ma ne oyud kowuok e goyo simu ne olwar gi bilion kowuok e bilion 86.53 to pes SMS noidho gi pasent 11.7 nyaka bilion 13.6 e giko higa mar weche ohala.
The firm now counts 31.4 million one-month active customers as at the end of last year and 28.3 million on M-Pesa.  	Kambino ne nigi kastembe milion 31.4 dwe ka dwe e giko higa mokalo kod joma tiyo gi M-Pesa milion 28.3.
Safaricom further realised Sh4.2 billion in earnings from sports betting in the period under review, marking a 12 per cent increase compared to last year.	Bende, Safaricom ne oyudo bilion 4.2 kowuok e betting mar sports kuom kinde ma pod ginono, mano en medruok mar pasent 12 kopim gi higa mokalo.
This was largely attributed to a decision by the High Court earlier this year that lifted a ban on outdoor advertising on betting and the resumption of sporting activities towards the end of the financial year.   	Dongruok ma kamano luwore gi bura ma Kot Mamalo nong'ado e chak higani ma nogolo marfuk mar lando betting e lela kod dwoko tuke e giko higa mar weche ohala.
At the same time, increased demand for internet connectivity saw the company’s revenues from mobile data and usage in the home fibre segment hit new highs.	E wi mano, nikech ji mathoth nyocha tiyo gi intanet, kambino noyudo pesa mamalo e mobile data kod home fibre kopim gi kinde mokalo.
Mobile data revenue stood at Sh44.7 billion, an increase of Sh4.6 billion compared to the figure reported during a similar period last year.	Pesa ma ne oyud e mobile data ne romo bilion 44.7, ma en medruok mar bilion 4.6 kopim gi ripot ma ne ogol e kinde ma kama higa mokalo.
The number of active customers on the company’s fibre to the home business rose to 137,400 as at the end of last year, up from 104,500 in the previous year. 	Kwan mar kastembe ma tiyo gi home fibre mar kambino ne omedore nyaka 137,400 chop giko higa mokalo, kowuok e 104,500 ma en kwan mar higa morocho.
“Fixed service and wholesale transit revenue grew six per cent year-on-year to Sh9.5 billion supported by growth in fibre to the home revenue, which grew 49 per cent to Sh3.5 billion,” said Dilip Pal, the chief finance officer.	Dilip Pal, ma en Chief Finance Officer nowacho ni, “Pesa ma noyud e Fixed service kod wholesale transit nomedore gi pasent auchiel e higa mochopo bilion 9.5 kisire gi medruok e pes home fibre, ma ne odongo gi pasent 49 mochopo bilion 3.5.”
“This was driven by working and schooling from home trends across our customers and increased penetration of homes connected.”	“Dongruok ma kamano ne okel nikech kastembewa ne ochako wach tiyo kod somo ka gin dala, kendo nikech udi momedore ne otud gi intanet.”
Pal further said a reduction in capital expenditure by 3.2 per cent to Sh34.9 billion as well as a similar drop in operating expenditure to Sh46 billion managed to stem some of the adverse impact of the Covid-19 pandemic on the bottom line. 	Pal nomedo wacho ni dwoko piny pesa mitiyogo e medo gik manyien gi pasent 3.2 nyaka bilion 34.9, kendo dwoko piny pesa mitiyogo e dije mapile nyaka bilion 46, nokonyo e kedo gi pek ma Covid-19 nokelo.
The company has proposed to pay Sh36.8 billion in dividends for the year, which is 34 per cent less than the Sh56 billion it paid out the previous year.	Kambino noketo chenro mar chulo jo ma nigi shares kodgi billion 36.8 mar higa mangima, ma en dok chien mar pasent 34. Higa mokalo ne gichulo bilion 56.
Chinese firms fight over Sh20 billion dam on River Nyando	Kembe mag Jo-China kedo ne siling' milion 20 midwaro gergo yao moro Aora Nyando.
The planned construction of a Sh20 billion water dam along Kisumu’s River Nyando has hit a false start after two Chinese companies that bid for the job opened a vicious legal battle over the award of the tender.	Chenro ma ne osetim mar gero yaono Kisumu e Aora Nyando ma ne dhi kawo siling' milion 20 nolal nono ka ne Kembe ariyo mag Jo-China ma ne chano timo tijno noyawo lweny e kindgi ni ng'ano ma ibiro mi mich nikech tijno.
China Gezhouba, one of the firms that bid for the job, has moved to the procurement review board to contest award of the tender to China Jiangxi Economic Cooperation citing irregularities in the tendering process.	China Gezhouba, ma en achiel kuom kembe mag Jo-China ma ne dwaro tijno, osekawo okang' mar dhi e bod mondo gi ked ne kambi machielo mar Jo-China miluongo ni Jiangxi Economic Cooperation nikech joma nokawo tijno ok omakore gi time.
China Gezhouba, which placed a Sh19.2 billion bid for the job reckons that the National Water Harvesting and Storage Authority’s (NWHSA) decision to award the contract to China Jiangxi was irregular and unfair as the rival firm had placed a higher bid of Sh19.9 billion.	China Gezhouba ma nochulo siling' bilion 19.2 ne tijno wacho ni paro ma migawo mar National Water Harvesting and Storage Authority’s (NWHSA) nong'ado mar miyo kambi mar China Jiangxi tijno ne ok kare kata matin nikech kambi machielo ma gilarogo tijno ne ochiwo siling' bilion 19.9.
Public procurement regulations require that prequalification to evaluate a bidder’s ability to perform the contract obligations is done before the process moves to the technical and financial evaluation stage which awards the contract to ‘the lowest evaluated bidder.’	Chike ma miyo ng'ato ratiro mar yudo tich moro dwaro ni ka pok omi ng'ato tenda mar timo tich moro, onego onon ka be en gi nyalo mar timo tijno kapok weche odhi mabor kendo tijno imiyo ‘jal mogoyo nengo matin mogik.’
In its appeal to the Public Procurement Administration Review Board (PPARB), China Gezhouba argues that the water harvesting authority did not pick the lowest bidder for the Nyando dam works, causing it to lose the job.	Okang' ma kambi mar China Gezhouba nokawo motero ywakgi ne migawo mar Public Procurement Administration Review Board (PPARB), ne giwacho ni migawo mar Water Harvesting Authority ne ok oyiero kambi ma ne ogoyo nengo matin mogik ne tij gero yao e Aora Nyando, kendo mano nomiyo gilalo tijno.
But the National Water Harvesting and Storage Authority has responded to the appeal arguing that China Gezhouba had failed to meet all the contract requirements and therefore did not make it to the final round of the tendering.	Kata kamanao, migawo mar National Water Harvesting and Storage Authority nochiwo dwoko ka giwacho ni kambi mar Gezhouba ne ok ochopo gik ma ne dwarore duto, to mano nomiyo tenda mar tijno obayogi.
“The Act provides that the successful tender is one with the lowest evaluated price,... In this case the applicant was not the lowest evaluated tender and was therefore not denied his rightful advance to the technical and financial evaluation stages.”	“Chik wacho ni kambi ma ogoyo nengo ma tinnie mogik e ma imiyo tenda,... Omiyo nengo ma kambi mar China Gezhouba ne ogoyo ok e ma ne tinnie omiyo wan ok ne watamogi dhi nyime kawo okenge momedore ma ne dwarore mondo giyud tijno.”
The water harvesting authority says China Gezhouba had, among other things, submitted documents in Chinese whose translation to English language had not been certified.	Migawo mar Water Harvesting Authority wacho ni kambi mar Gezhouba ne ochiwo barupe mag dho China ma loko margi e dho Kisungu ne pok opwodhi.
The firm also failed to commit to buy at least 40 per cent of the supplies used in construction of the dam from local firms, the water harvesting authority says adding that the petitioner also failed to demonstrate capacity through proof of ownership of earthmovers and other equipment for the job.	Bende, kambino ne ok onyiewo pasent 40 mag gige gedo e kembe ma ni e alwora ka kaka ne wawinjore, e wi mano, jal ma ne dwaro tijno ne ok onyiso ayanga ni en gi geche mag tich kod gik ma moko ma ne dwarore ne tijno.
China Gezhouba is also said to have failed to provide evidence of permanent residency in Kenya. 	Wachore bende ni kambi mar China Gezhouba ne ok onyiso ni gin gi kar dak mosiko e piny Kenya.
The water harvesting authority says it is for these reasons that China Gezhoub’s bid was declared non-responsive and did not proceed to the technical and financial evaluation stage.	Migawo mar Water Harvesting Authority wacho ni wechego e ma nomiyo gineno ni kambi mar China Gezhouba ok owinjore yudo tijno omiyo ne ok ginyal dhi nyime luwo okenge ma ne dwarore e  yudo tijno.
But China Gezhouba has refuted the claims insisting it had complied with all the requirements set out by the water authority in the tender documents.	Kata kamano, kambi mar China Gezhouba odagi wechego ka giwacho ni ne gichopo gik moko duto ma ne migawo mar Water Harvesting Authority ne dwaro e wach tijno.
In its filings at the PPARB, the company wants the board to direct the water authority to evaluate the bids afresh, this time round taking into consideration the documents it had submitted.	E barup gi mar ywak ma ne gitero e migawo mar PPARB, kambi mar China Gezhouba ne dwaro ni migawo mar Water Harvesting Authority odog e chike ma tayo tijno ma ne giketo kendo ginon adimba otese ma ne gioro ka gikwayogo tijno.
“The reason provided by the procuring entity… are incorrect and misleading and were arrived at by misapprehending the tender documents submitted by the applicant,” China Gezhouba says in its filing at the PPARB.	Kambi mar China Gezhouba wacho e barua ma ne gitero ne migawo mar PPARB ni, “Weche ma migawo mar Water Harvesting Authority nowacho ok nikare kata matin, gilalo ji kendo ni joma oro kwayo mar tijno ok nyal winjo tiendgi maler.”
China Gezhouba claims that award of the tender to China Jiangxi was contrary to provisions of the Procurement Act and the Constitution that require procuring entities to ensure cost-effectiveness.	Kambi mar China Gezhouba wacho ni bedo ni nomi kambi mar China Jiangxi tenda mar tijno ne ok oluwore gi chike mag Procurement Act kod Chike ma moko ma ne dhi neno ni oti gi pesa moromo e tijno.
“The award of the tender to the second respondent (China Jiangxi) did not meet the constitutional threshold of fairness, equity, transparency and competitiveness… neither was it in compliance with the principles set out in Section three of the Public Procurement and Asset Disposal Act,” the company says.	Kambino wacho niiya, “Tenda ma ne omi kambi mar Jiangxi ne ok ochopo chike ma dwarore e chiwo tich ma onge dewo wang', ma dwaro ni adiera obedie kendo miyo ji te thuolo mar nyiso nyalo margi. Bende ne ok oluw weche ma yudore e kare mar adek mar chike mag Public Procurement and Asset Disposal Act.”
China Gezhouba is not new to Kenya’s construction market and has won multi-billion shilling tenders for construction of major works, including Thwake Dam in Makueni County as well as the Northern Collector Tunnel in Murang'a County.	Kambi mar China Gezhouba ok en kambi manyien e piny Kenya kendo oseyudo tenda mang'eny ma miyo oyudo pesa bilionde e tije mag gero gik madongo dongo moriwo gero Thwake Dam e Kaunti ma Makueni kaachiel gi Northern Collector Tunnel e Kaunti ma Murang'a.
Sharon Obonyo, the water authority's Chief Executive, in a replying affidavit filed with PPARB insists that China Gezhouba had failed to follow the guidelines that the authority had provided when it invited bids for construction of the dam.	Sharon Obonyo, ma en Ker (Chief Executive) e migawo mar Water Harvesting Authority, nochiwo dwoko e wi barura mar affidavit ma ne migawo mar PPARB ondiko kojiwo ni kambi mar China Gezhouba ne ok oluwo weche duto ma ne dwarore mondo ng'ato oyud tenda mar gero yao ma Nyando.
Ms Obonyo says there are disparities between the documents that China Gezhouba submitted in its appeal to the PPARB and what it had submitted to the authority during the tendering. 	Ms Obonyo wacho ni nitie pogruok e kind foms mag appeal ma ne kambi mar China Gezhouba ooro ne migawo mar PPARB kod foms ma ne gimanyogo tenda mar tij gedono.
“The documents presented to PPARB are in some instances misleading and total forgeries as the same are different from the documents submitted in the bid document,” the authority says.	Migawo mar Water Harvesting Authority wacho ni, “Foms ma ne gichiwo ne migawo mar PPARB ok wach adier, gin mana gik mochuogi kendo gipogore gi ma ne ochiw kimanyogo tenda mar tij gedo.”
Ms Obonyo also says China Gezhouba had sent its commitment to source 40 per cent of supplies locally after the bids had been opened. 	Ms Obonyo bendo nomedo ni, kambi mar China Gezhouba nosingore ni gibiro nyiewo gige gedo ma kwan gi romo pasent 40 e kembe ma ni e alwora ka ka po ni omigi tenda mar gero yaono.
She insists China Gezhouba had sent an email with the letter on April 9 at 5.40pm while the bids had been opened earlier in the day at 9.00am. 	Ms Obonyo oramo ni kambi mar China Gezhouba nooro email kaachiel gi barua tarik 9 April sa 11.40 odhiambo to mano noyudo ka oseyaw thuolo mar oro kwayo ne tijno sa 3 okinyi chieng'no.
