eng	nya
The rebels attacked Kautukari village in the Chibok area of Borno on Tuesday evening, said residents. The attack happened at the same time that U.N. Secretary-General Antonio Guterres was in the state to meet with survivors of jihadi violence. 	Anthu owukirawa anaononga mudzi wa Kautukari lachiwiri madzulo, anthu okhala m'dera la Chibok ku Borno anatero. Zachiwembuzi zinachitika panthawi yomwe Secretary-General wa U.N, Antonio Guterres anali m'derali kukakumana ndi omwe anapulumuka pa ziwawa za jihadi.
The Chibok area is 115 kilometers (71 miles) away from Maiduguri, the state capital, where Guterres met with former militants being reintegrated into society and thousands of people displaced by the insurgency. 	Dera la Chibok ndilotalikirana ndi Maiduguri, lomwe ndi likulu la mzindawu, ndi ma kilomita 115, komwe Guterres amakumna ndi zigawenga zakale pamene amabwezeretsedwa mmudzi pamodzi ndi anthu mazana mazana omwe anathamangitsidwa ndi zigawenga.
"They came in large number with superior firepower (and) took over the community," said Hassan Chibok, a community leader. Troops from a nearby military base were deployed to repel the attack but "the damage had been done," Chibok said, adding that "casualties are up to 10." 	"Anabwera anthu ochuluka ndi zida zankhondo ndikulanda mudzi," anatero Hassan Chibok, mfumu ya mudziwu. Asilikari omwe anatumizidwa kuti akakhazikitse bata anapeza "zinthu zitawonongeka kale". A Chibok anaonjezeranso kuti "okhudzidwa akwana khumi."
Another resident Yana Galang said at least seven people were killed in the latest violence before the Nigerian military intervened. 	M'modzi mwa anthu okhala m'derali, Yana Galang, wati anthu osachepera asanu ndi anayi anaphedwa mu ziwawa zomwe zachitika posachedwapa asilikari asanalowelere.
Nigerian police did not immediately respond to a request for confirmation of the attack. 	Apolisi a ku Nigeria anachedwa kuyankha pempo lotsimikiza kuti zachiwembuzi zinachitikadi.
Nigeria, Africa's most populous country with 206 million people, continues to grapple with a 10-year-old insurgency in the northeast by Islamic extremist rebels of Boko Haram and its offshoot, the Islamic State West Africa Province. The extremists are fighting to establish Shariah law and to stop Western education. 	Nigeria, dziko lomwe lili ndi chiwerengero cha anthu ochuluka mu Africa okwana 206 miliyoni, likupitilirabe kulimbana ndi gulu lowukira la asilamu lotchedwa Boko Haram kumpoto kwa dzikoli ndi gulu lina la asilamu okhala kumadzulo kwa derali kwa zaka khumi tsopano. Magulu owukirawa akufuna kukhazikitsa malamulo a shariah komanso kuthetsa maphunziro ochokera kwa azungu.
More than 35,000 people have died and millions have been displaced by the extremist violence, according to the U.N. Development Program. 	U.N Development Program yati anthu opitilira 35,000 afa ndipo ena okwana ma miliyoni athawa kwawo kamba ka ziwawa.
Nigerian President Muhammadu Buhari said earlier this week that the war against the extremists is "approaching its conclusion," citing continued military airstrikes and the mass defection of thousands of the fighters, some of whom analysts say are laying down their arms because of infighting within the jihadi group. 	Kumayambiliro kwa sabata lino, pulezidenti wa ku Nigeria, a Muhammadu Buhari ati nkhondo yolimbana ndi magulu owukira ikupita kumapeto kamba ka chiwerengero chochuluka cha anthu owukira a gulu la jihadi omwe ayamba kumenyana okhaokha
The violence, however, continues in border communities and areas closer to the Lake Chad region, the stronghold of the Islamic State-linked group, ISWAP. 	Ziwawazi zikupitilira kukhudza madera ndi midzi yomwe ili kufupi ndi nyanja ya Chad, komwe ndi kuchimake kwa glu la Islamic State-linked, ISWAP.
"Things are getting worse" in Kautukari village in Chibok and adjourning areas closer to the forest, said community leader Chibok, saying the extremists' presence near the forest is a contributing factor. 	"Zinthu sizili bwino" m'mudzi wa Kautukari ku Chibok ndi madera oyandikana ndi nkhalango. Oyang'anira dera la Chibok ati kupezeka kwa magulu a ziwawa kufupi ndi nkhalango ndi komwe kukuchititsa izi.
	
	
Reporting Under Attack in South Sudan, Sudan 	Atola nkhani akuchitiridwa nkhanza ku South Sudan, ku Sudan.
Journalists in both Sudan and South Sudan say threats, intimidation and arbitrary arrests are part of everyday life, limiting their ability to inform the public. 	Wolemba nkhani ku Sudan ndi ku South Sudan ati kuopsezedwa ndi kumangidwa popanda chifukwa zakhala limodzi mwa gawo la moyo wawo zomwe zikuchepetsa kuthekera kwawo kodziwitsa anthu.
South Sudan ranks 128th and Sudan ranks 151st out of 180 countries in Reporters Without Borders annual World Press Freedom Index, released Tuesday to coincide with the United Nations annual recognition of World Press Freedom Day. The bigger the number, the worse the environment for news media. 	South Sudan ili pa nambala 128 pomwe Sudan ili pa nambala 151 pa mayiko 180 omwe ali pa ndandanda wa gulu la atola nkhani owulutsa nkhani mopanda malire; Reporters Without Boarders, pa tsiku lokumbukira ufulu wa atola nkhani padziko lonse. Lipotili latulutsidwa lachiwiri pa tsiku lomwe United Nations imakumbukira ufulu wa atola nkhani. Kukula kwa nambalayi kukusonyeza kuponderezedwa kwa wofalitsa nkhani.
Irene Ayaa of the Association for Media Development in South Sudan says government censorship in her country is widespread. 	A Ireen Ayaa, a Association for Media Development ku South Sudan ati malamulo a boma oletsa atolankhani kusindikiza nkhani zina, ndi ochuluka kwambiri m'dziko lawo.
"Last month, we registered four articles removed from newspapers," she said. 	"Mwezi watha nkhani zinayi zinachotsedwa mu nyuzipepala," iwo anatero.
Between January and March alone, security personnel removed dozens of articles from the Juba Monitor, Anna Namiriano, editor-in-chief of an English-language daily, told South Sudan in Focus. "They removed stories and we left the space blank. They say why we are not listening to them, so on 17th of March, they suspended the newspaper." 	Pakati pa mwezi wa January ndi March, ogwira ntchito yachitetezo anachotsa nkhani zambiri mu Juba Monitor,  a Anna Namiriano, mkulu wokonza nkhani ku nyuzipepala ya English-language daily, anawuza South Sudan in focus. "Pomwe panachotsedwa nkhanizi ife sitinalembeponso kanthu. Iwo anati sitikuwamvera kotero pa 17 March, anayimitsa ntchito ya nyuzipepalayi." 
In February, a handful of journalists were briefly detained for covering a press conference by opposition lawmakers in parliament. A Juba Monitor newspaper article about the incident was removed by security agents at the printing plant. 	M'mwezi wa February, wolemba nkhani ena anamangidwa kamba koonetsa msonkhano wa atola nkhani omwe anachititsa ndi opanga malamulo otsutsa nyumba ya malamulo. A chitetezo anachotsa nkhaniyi mu nyuzipepala ya Juba Monitor pamene imafuna kusindikizidwa.
"We dont have freedom of the press in the country," Namiriano said. "The solution is let us do our work as media houses. We have the code of conduct, we have the media law to guide us, and removal of stories is really very bad." 	"Tilibe ufulu wa atola nkhani m'dziko muno," anatero a Namirino. "Kuti tithane ndi vutoli, nyumba zowulutsa mawu zikuyenera kugwira ntchito yake pazokha. Tili ndi malamulo athu ngati atolankhani komanso tikudziwa zoyenera kuchita. Kuchotsa nkhani ndi koyipa."
South Sudans information minister, Michael Makuei, insists press freedom is alive and well in his country. 	Nduna ya zofalitsa mauthenga ku South Sudan, a Michael Makuei, ati atola nkhani ali ndi ufulu wonse mudziko lawo.
"South Sudan is the only place where journalists are free, where they enjoy absolute freedom according to the law. I say, 'according to the law,' because there is nothing absolute in this world," Makuei told South Sudan in Focus. 	"South Sudan ndi malo okhawo omwe wolemba nkhani ali omasuka komanso ali ndi ufulu wonse potengera ndi malamulo. Ndikunena kuti motengera ndi malamulo chifukwa palibe chinthu chopanda vuto padziko pano." Anatero a Makuei kuwuza South Sudan Focus.
The United Nations Commission on Human Rights refutes that assertion. In a report issued last October, it said the government is harassing activists, journalists and their families, limiting their activities and targeting their work and finances. South Sudan is one of the most dangerous places in the world to be a journalist, according to the commission. 	Bungwe la United Nations Commission on Human Rights latsutsa zomwe ananena a Makuei. Lipoti lomwe linasindikizidwa mu October lati boma likuchitira nkhanza womenyera ufulu, wolemba nkhani pamodzi ndi mabanja awo, kuchepetsa zochita zawo  komanso kutsatira ntchito ndi chuma chawo. Bungweli latinso South Sudan ndi amodzi mwa malo owopsa kwa wolemba nkhani padziko lonse. 
"South Sudan has a lot of work to do to establish and solidify the institutions that are critical to a well-functioning democratic state," David Renz, charge daffaires for the U.S. Embassy in South Sudan, said in a statement Tuesday, adding that the U.S. remains deeply concerned about the state of press freedom in South Sudan. 	"South Sudan ili ndi ntchito yaikulu yokhazikitsa ndi kulimbitsa mabungwe omwe angathe kutsutsa boma la anthu loyendetsedwa bwino," A David Renz, woyang'anira ukazembe wa ku U.S m'dziko la South Sudan, ananena izi lachiwiri, kuwonjezera kunena kuti dziko la U.S ndilokhudzidwa ndi mmene ufulu wa atolankhani uliri ku South Sudan.
"We have seen some of the local radio stations shut down over very trivial matters," Renz said. "And we also are aware that journalists of radio and television and even social media are self-censored" and wary of local and national governments actions "to penalize journalists who say things the government would prefer that they not say." 	"Taonapo ena mwa ma wayilesi akutsekedwa pa nkhani zazing'ono, " anatero a Renz. "Tikudziwanso kuti wolemba nkhani ena a ma wayilesi ndi kanema komanso a pa masamba a mchezo ndi wodziyimila pawokha omwe amakhala ndi mantha pa zowopsa zomwe maboma aang'ono komanso boma lalikulu likhoza kuchita pofuna kulanga wolemba nkhani omwe amanena zinthu zomwe boma limafuna kuti zisanenedwe."
Further complications from coup 	Olanda boma mwaupandu apilitiza chisokonezo
In Sudan, journalists in the capital city of Khartoum say harassment and threats have increased since the October 25 military takeover. 	Wolemba nkhani ku Sudan mu mzinda wa Khartoum ati nkhanza ndi chiopsezo zachuluka kuchokera pa 25 October pomwe asilikari anatenga dziko.
Shoggi Abdulazeem, an investigative journalist in Sudan, said he received a death threat in November and was warned not to speak to international media. 	Shoggi Abdulazeem, wolemba nkhani ku Sudan, wati anawopsezedwa kuti aphedwa mu November komanso anachenjezedwa kuti asayankhule ndi wofalitsa nkhani a m'mayiko ena.
"I was hosting live on Al Jazeera and after leaving their office, eight armed security men followed me in a pickup. They surrounded my car," Abdulazeem said. He told South Sudan in Focus he was blindfolded and moved around "for more than two hours" and was ordered "not to criticize the military again." 	"Ndimachititsa pologalamu pa Al Jazeera ndipo nditangochoka ku ma ofesi awo, anthu asanu ndi atatu a zida zawo anandilondola pa galimoto yawo kenako anazungulira galimoto yanga," Anatero a Abdulazeem. Iwo anauza South Sudan Focus kuti anatsekedwa m'maso ndi kuyendetsedwa kwa "maola opitilira awiri" ndipo analamulidwa akuti asadzatsutsenso asilikari.
Covering pro-democracy protests in Sudan continues to be a dangerous endeavor, Abdulazeem said. 	 "Kuwonetsa zionetsero zogwirizana ndi ulamuliro wa demokalase ku Sudan kukupitilira kukhala koopsa," anatero a Abdulazeem.
"Many newspapers, TV channels and radio stations received directives not to host or conduct interviews with some named individuals" who criticize military leaders, Abdulazeem said. He added, "There are intelligence officers who are assigned to monitor this situation." 	"Nyuzipepala zambiri, ma kanema ndi ma wayilesi anawuzudwa kuti asamachititse ma pologalamu kapena kufunsa mafunso anthu ena omwe anatchulidwa mayina," omwenso amatsutsana ndi ulamuliro wa asilikari, anatero a Abdulazeem. Iwo anaonjezeranso kunena kuti, "pali akuluakulu ena omwe apatsidwa ntchito yowunika vutoli."
Aisha Assamani, an executive member of the independent Sudanese Media Network, told South Sudan in Focus he has recorded more than 10 attacks on journalists and media houses since last year's coup. 	A Aisha Assamani, mkulu komanso membala wa Independent Sudanese Media Network, anawuza South Sudan in Focus kuti wolemba nkhani komanso nyumba zowulutsa mawu zoposera khumi zinachitidwa chiwembu kuchokera m'chaka chatha pomweboma linalandidwa mwaupandu.
"They are targeting freedom of speech with so much excessive force," Assamani said. "The majority of our journalists now are fearful and their lives are in danger. Most of them remain anonymous due to the danger of the situation." 	"Akufuna kuthana ndi ufulu woyankhula zakukhosi," anatero a Assamani. "Ambiri mwa wolemba nkhani athu ali ndi mantha komanso miyoyo yawo ili pa chiopsezo. Ambiri mwa iwo amadzibisa kamba ka mmene zinthu zawopsera."
On December 30, Sudanese security forces stormed the offices of three television stations — al-Arabiya, al-Hadath and al-Sharq — firing tear gas, assaulting staff and destroying broadcast equipment, according to local news media. That same day, security forces detained al-Sharq correspondents Maha Al-Talb and Sally Othman for hours before releasing them. 	Pa 30 December, achitetezo a ku Sudan anakasokoneza nyumba zitatu za ma wayilesi a kanema zomwe ndi; al-Arabiya, al-Hadath ndi al-Sharq - anaponya utsi wokhetsa misonzi, kumenya ogwira ntchito komanso kuwononga zida zawo zogwilira ntchito, anatero wofalitsa nkhani akomweko. Pa tsiku lomwelo, achitetezowa anamanga wolemba nkhani awiri a ku al-Sharq omwe ndi a Maha Al-Talb ndi a Sally Othman kwa maola angapo asanawalore kuti azipita.
On January 16, Sudanese authorities withdrew the broadcast license of Al Jazeera Live and closed its office in Khartoum. A letter from the Information Ministry to the director of Al Jazeera television in Sudan attributed the closing to an "unprofessional approach" and media content that "harmed the countrys higher interests and national security." The Doha-based network condemned the closure. 	Pa 16 January, akuluakulu a ku Sudan analanda chiphaso chogwilira ntchito cha ku Al Jazeera Live ndi kutseka ofesi yawo ku Khartoum. Kalata yochoka ku unduna wa zofalitsa nkhani kupita kwa mkulu wa kanema ya Al Jazeera ku Sudan, yati kutsekedwaku kwadza kamba ka "kusagwira ntchito bwino" komanso kuwulutsa nkhani "zomwe zimawononga zofuna za dzikolo komanso nkhani zomwe zimayika dziko lawo pa chiopsezo. Netiweki ya ku Doha yadzudzula kutsekedwaku.
In February, Sudanese authorities arrested a group of BBC reporters in Khartoum and questioned them for several hours before releasing them. 	M'mwezi wa February, akuluakulu a ku Sudan anamanga gulu la atola nkhani a ku BBC ku Khartoum ndi kuwafunsa mafunso kwa maola angapo asanawamasule.
VOA repeatedly called Sudans government for comment, but those calls — to Brigadier General Attahir Abu Haja, press advisor to military leader Abdul Fattah al-Burhan — went unanswered. 	VOA mobwerezabwereza inayimbira lamya akuluakulu a boma la Sudan kuti ayankhulepo pa nkhaniyi koma mkulu wa asilikali - Brigadier General Attahir Abu Haja, mlangizi wa atolankhani kwa mtsogoleri wa chisilikari, Abdul Fattah al-Burhan - sanayankhe lamya.
Michael Atit reported from Khartoum, Sudan; Deng Ghai Deng and Manyang David Mayar reported from Juba, South Sudan. 	Michael Atit amapereka lipoti kuchokera ku Khartoum ku Sudan; Deng Ghai Deng ndi Manyang David Mayar amapereka lipoti kuchokera ku Juba ku South Sudan.
	
	
At Least 30 Burundian AU Soldiers Killed in Al-Shabab Attack, Official Says 	Adindo ati silikari makumi atatu a AU ya ku Burundi aphedwa mu ziwawa za Al-Shabab.
At least 30 Burundian soldiers were killed and 20 others injured in Tuesday's attack by al-Shabab militants on an African Union base in southern Somalia, according to a Burundian official. 	Asilikari osaposera makumi atatu a ku Burundi anaphedwa pomwe ena okwana makumi awiri anavulazidwa mu ziwawa za gulu lowukira la al-Shabab lachiwiri ku maziko a African Union ku m'mawa kwa dziko la Somalia. M'dindo wa ku Burundi watsimikiza izi.
The official, who requested anonymity because he is not allowed to speak to media, told VOA Somali that 10 soldiers died on the spot, and the rest of the soldiers succumbed to their wounds. He confirmed that other soldiers are still missing. 	M'dindo, yemwe anapempha kuti asatchulidwe dzina chifukwa sali ololedwa kuyankhula ndi atola nkhani, wawuza VOA Somali kuti asilikari khumi anafera pomwepo pomwe ena anamwalira kamba kovulala kwambiri. Iwo atsimikizanso kuti asilikari ena sanapezeke.
Al-Shabab said it killed 173 soldiers in the attack on the AU base in the village of El-Baraf, about 150 kilometers north of Mogadishu. The casualty figure has not been independently verified. A separate source told VOA Somali that 161 soldiers were at the camp at the time of attack. The Burundian official confirmed that number. 	Al-Shabab yati inapha asilikari 173 pa ziwawa za ku maziko a AU mmudzi wa El-Baraf, komwe ndi makilomita 150 kumpoto kwa Mogadishu. Nambalayi siinatsimikizidwe chifukwa ena awuza VOA Somali kuti asilikari 161 ndi amene anali ku malowa panthawi imene ziwawazi zimachitika. M'dindo wa ku Burundi watsimikiza nambalayi.
The Burundian official told VOA Somali that the soldiers had intelligence al-Shabab was gathering in a nearby village about 48 hours prior to the attack. He said the soldiers prepared to defend themselves and dug trenches. 	M'dindo wa ku Burundi wawuza VOA Somali kuti asilikaliwa anazindikila kuti al-Shabab imasonkhana m'mudzi woyandikana nawo maola 48 ziwawazi zisanachitike. Iwo ati asilikariwa anakonzekera kudziteteza ndipo anakumba maenje.
He said what caught the soldiers by surprise was the enormity of al-Shabab explosives detonated at the camp. He said the militants used three truck bombs, one of which fell into a ditch. He estimated the militants detonated about 20 kilograms of explosives, and that 450 militants overran the camp. 	Iwo ati chomwe chinadabwitsa asilikariwa ndi mabomba omwe al-Shabab imaphulitsa komwe amakhala. Zigawengazi zinagwiritsa ntchito ma bomba atatu, ndipo limodzi linagwera mu dzenje. Iwo akuganiza kuti zigawengazi zinaphulitsa mabomba okwana makilogalamu makumi awiri ndipo zigawenga 450 zinalanda malo a asilikariwa.
The official said the suicide truck bombs caused most of the casualties. 	M'dindoyu wati mabomba oopsawa ndi omwe anachititsa ngoziyi.
Earlier, the government of Burundi reported 10 of their soldiers were killed, with five others missing and 25 injured. Burundi also said 20 al-Shabab militants were killed in the attack. 	Poyamba, boma la Burundi linapeza kuti asilikari khumi ndi omwe anaphedwa, asanu anasowa ndipo 25 anavulala. Zigawega 20 za al-Shabab zinaphedwa pa ziwawazi.
On Twitter, Burundi President Evariste Ndayishimiye said there are no words strong enough to condemn the terrorist attack against the Burundian contingent. He wrote, "I join with all of Africa which has just lost sons and daughters … to console the hard-hit families." 	Pa tsamba la mchezo la Twitter, pulezidenti wa ku Burundi, a Evariste Ndayishimiye, ati palibenso mawu omwe anganene kudzudzula ziwawa zomwe zigawenga zikuchitira anthu a ku Burundi. Iwo analemba kuti, "ndigwirana manja ndi Africa kutonthoza maanja omwe ataya ana awo."
The African Union, the Somali government and the embassy of the United States in Mogadishu have all strongly condemned the al-Shabab attack. 	African Union, boma la Somali ndi ofesi ya kazembe wa ku United States ku Mogadishu adzudzula ziwawa za al-Shabab.
AU chief Moussa Faki Mahamat paid tribute to the Burundian soldiers killed, and said the "heinous" attack will not lessen support of AU forces to Somalia. 	Wapampando wa AU a Moussa Faki Mahamat apereka ulemu kwa asilikari omwe anaphedwa ndipo ati zachiwembu zowopsazi sizichepetsa thandizo la AU lotumiza asilikari ku Somalia.
The Somali ministry of foreign affairs called on the international community to increase and provide higher-end capability to Somali security forces and AU forces so they can effectively combat terrorism in Somalia. 	Unduna woona za kunja wa ku Somali wapempha mayiko ena kuti apitilize kuthandiza achitetezo a ku Somali ndi AU kuti akhale ndi kuthekera kothana ndi ziwawa ku Somalia.
The U.S. embassy in Mogadishu said the U.S. extends condolences to the families of the troops killed and wished a quick recovery to those injured. 	Ofesi ya kazembe wa ku U.S yomwe ili ku Mogadishu yati ikupepesa maanja a asilikari onse omwe anaphedwa ndipo akufunira kuchira kwansanga onse omwe anavulala.
	
The Mayor of El-Baraf, Abdullahi Haji Muhumed, told VOA that Tuesday's fighting at the camp was the heaviest the area has seen. 	Mfumu ya mzinda wa El-Baraf, a Abdullahi Haji Muhumed, awuza VOA kuti nkhondo yomwe inachitika lachiwiri inali yoopsa koposa.
"Fighting like this never happened in this area," he said, explaining that the violence also killed two civilians and injured 10 others. "It was heavy fighting." 	"Nkhondo ngati imeneyi siinachitikepo m'dera lino," iwo anati anthu awiri afa ndipo khumi avulala pa nkhondoyi. "Inali nkhondo yoopsa."
The incident marked the first major al-Shabab attack on AU forces since the mission changed its name and operational structures last month. 	Aka kanali koyamba kuti al-Shabab ichite chiwembu kwa asilikari a AU chisinthireni dzina komanso magwiridwe a ntchito.
