eng	pcm
Yannick Carrasco scored the winner as Atletico registered their first La Liga win over Barcelona in more than a decade and stretched their unbeaten run to 24 matches.	Na Yannick Carrasco score wey make Atletico win Barcelona for di first time for more dat ten years and push dia unbeaten enta 24 matches.
It would be this result that eventually gave Atletico a better head-to-head record over Barca, who were left 10th in the table and without the injured Gerard Pique for three months.	E go be dis result wey give Atletico beta head to head record pass Barca, wey dey number 10 on top table without Gerard Pique wey don get injury for three months.
Elche 0-1 Atletico Madrid, May 1	Elche 0-1 Atletico Madrid, for May1.
Atletico were inches away from surrendering victory and their lead at the top of the table to Real Madrid as Elches	E don remain small make Atletico surrender say dem no fit win Elchessay and dia lead ontop table give Real Madrid
Fidel Chaves missed a dramatic 91st-minute penalty.	Fidel Chaves miss one penalty for 91 minutes.
Fidels shot struck the post as Atletico held on for a 1-0 win that kept them two points ahead of Real Madrid and also in front of Barcelona going into a crunch meeting at Camp Nou.	Fidel shot hit post wey make Atletico hold dat 1-0 wey give dem two point pass Real Madrid and dem still dey front of Barcelona wey dem go meet for Camp Nou.
Barcelona 0-0 Atletico Madrid, May 8	Barcelona 0-0 Atletico Madrid for May 8.
Barcelona had the chance to shift the dynamic of the title race on their home turf but Atletico dominated the first half and Barca never did quite enough in the second.	Barcelona get chance to comot di title for Atletico hand as dem dey home but na Atletico dey carry di first half and Barca no even try for di second half.
The stalemate ended up being an even better result for Atletico after Real Madrid were held by Sevilla a day later, Atletis two-point lead preserved at the end of what many had circled as a pivotal weekend.	E kon dey beta for Atletico afta Sevilla beat Real Madrid for di second day, di twopoint wey Atletico dey dey lead kon still dey like dat for di weekend.
Atletico Madrid 2-1 Osasuna, May 16	Atletico Madrid 2-1 Osasuna, for May16.
With nine minutes left, Atletico trailed Osasuna 1-0 at the Wanda Metropolitano and Real Madrid	As e remain nine minute, Atletico score Osasuna 1- 0 for di Wanda Metropolitano and Real Madrid.
were going top of La Liga, the title in their hands, with a win against Athletic Bilbao.	Dey go ontop for LA Liga, di title for dia hand as dem win Athletic Bilbao.
But Atletico pulled off an incredible turnaround, Renan Lodi equalising in the 82nd minute and Suarez scoring the winner in the 88th, with hundreds of fans celebrating outside in the stadium car park.	But Atletico kom change evrithing  as Renan Lodi equalise for 82 minutes and Suarez score for 88 minute and plenti fans dey joli outside for di car park for di stadium.
The victory kept Atleti top and left them one more win away.	Na dis one make Atletico dey on top and e kon remain only one game wey dem go win.
Real Valladolid 1-2 Atletico Madrid, May 22 Atletico knew victory would win them the title regardless of how Real Madrid fared against Villarreal	Real Valladolid 1-2 Atletico Madrid, for May 22, Atletico sabi say na to win go give dem di title even if to say Real Madrid win Villarreal or dem no win.
but they did it the hard way, coming from behind after Valladolid took a shock lead through Oscar Plano.	But dem do am for di way wey dey hard, dem from back kom win afta Valladolid don dey win before as Oscar Plano score.
But Angel Correa equalised and then Suarez scored the winner, a nervy title race decided by a nail-biting victory.	But Angel Correa kon equalise and Suarez score di winning goal, na strong race wey kon finish wit winning wey tight.
	
Wanted Abia major drug supplier arrested with 100kg cocaine, cannabis	Dem arrest Abia big drug supplier wey dem dey find since wit 100kg of cocaine and weed.
The National Drug Law Enforcement Agency (NDLEA) has arrested Chibuike Apolos, a notorious major supplier of illicit drugs in Abia State, during an early morning raid on his hideout at Mbawsi in Isialangwa North area of the state.	Di National Drug Law Enforcement Agency (NDLEA) don catch Chibuike Apolos, wey be one of di main pipo wey dey always dey supply drugs for Abia state, for one early mono raid for di place wey im dey always hide for Mbawsi for Isialangwa North area for di state.
Spokesman of the agency, Femi Babafemi, said on Wednesday in Abuja that Apolos has been on the wanted list of the Abia State Command of the NDLEA since February following the arrest of one Chima Ukeleonu, the suspect behind the video that went viral in January 2021, showing a young man hawking illicit drugs on the street.	Di pesin wey tok for di agency, Femi Babafemi, tok for Wednesday for Abuja say dem don dey find Apolos for NDLEA Abia State Command since February afta dem catch one China Ukeleonu, wey dey for di video wey dey evriwia for January 2021 wey show one man wey dey sell drug for di street.
According to him, it was due to the development that the 38-year-old Apolos was put on the wanted list.	As e take tok, na bikos for di development dem kon dey find Aplos wey be 38 years.
Following his arrest in the early hours of Wednesday, the Abia State government has already marked his house which serves as his hideout for demolition, Babafemi said.	Afta dem don catch am, di goment  for Abia state don mark him house wey e dey hide say dem go break am down, na Babafemi tok am.
He also quoted the Commander Abia State Command of the NDLEA, Bamidele Akingbade, as saying that The command has been on his trail since February this year.	He still tok say di Oga commander for di Abia State Command NDLEA, Bamidele Akingbade, dey tok say dem don dey follow am since February for dis year.
Fortunately, we got a tip-off that he just received some quantities of cannabis from Edo State.	As God dey do tins, we kon hear say e just collect plenti weed for Edo state.
Notwithstanding the tense security situation in the South East, especially Abia State, the command still embarked on the operation which culminated in the arrest of one Chibuike Apolos with 10 bags of cannabis weighing 100kg, 1.6 grammes of cocaine, one gramme of heroin and five grammes of methamphetamine.	Even as sekuriti wahala dey for di South East especially for Abia, State, di command still go for di operation wey make dem arrest Chibuike Apolos wey get 10 bags of weed wey weigh 100kg, dem see 1.6 grams for cocaine, one gram of heroine and five gram for methamphetamine.
In a similar development, the Taraba State Command of the Agency has arrested 61-year-old Lawan Gambo Umar for trafficking 58.50kg of Cannabis Sativa.	Inside dis kain one, di Command for di Agency for Taraba State don catchcatch one Lawan Gambo wey be 61 years old say e carry 58.50kg of Cannabis Sativa.
According to the state Commander of NDLEA, Suleiman Ajadi, The suspect was taking the skunk concealed inside sacks of beans chaff used to feed animals to Fune in Yobe State when our men intercepted him.	As di state commander for NDLEA, Suleiman Ajadi take tok, di pesin dey carry skunk wey dem put inside plenti sack of beans doti wey dey dey give animals chop inside Yobe state wen awa  men catch am.
	
Rep lauds NDLEA over illicit drugs seizures	Di rep dem dey greet NDLEA say dem well done for di drugs wey dem seize.
The member representing Ado/Ogbadibo/Okpokwu Federal Constituency, Dr Francis Ottah Agbo, has commended the chairman of the National Drug Law Enforcement Agency, NDLEA, Brig-Gen.	Di pesinwey dey represent Ado/Ogbadibo/Okpokwu Federal Constituency, Dr. Francis Ottah Agbo, don greet di chairman for di National Drug Law Enforcement Agency, NDLEA, Brig-Gen say e well done.
Mohammed Buba Marwa (rtd) for his renewed anti-drugs fight which has led to large scale seizures across the country.	Mohammed Buba Marwa (rtd) for di new way wey e dey take fight drug wey don help am seize plenti drug for di country.
The lawmaker, who is also the Chairman of the Narcotic Drugs Committee, particularly praised Marwa for sanitizing the health sector by intercepting large quantities of narcotic and substandard drugs across the country.	Di lawmaker, who still be di Chairman for di Narcotic Drug Committee, don praise Marwa as e dey clean di health sector as e dey stop plenti narcotics and drugs wey no reach standard for di country.
The lawmaker, in a statement by his Media Aide, Andrew Agbese, on Wednesday, said the NDLEA boss had in less than six months of assuming office, succeeded in getting the agency back on track by busting many drug rings and syndicates, as well as seizing and destroying large quantities of illicit drugs.	Di lawmaker inside one tok wey im media pesin, Andrew Agbese, tok for Wednesday, tok say di NDLEA Oga, before e reach six month wey e enta office, don carry di agency leg put for track to dey burstburst plenti place wey dem dey sell drug and to sieze and destroy plenti bad drug.
Agbo, who is also the spokesman of the Minority Caucus, said NDLEA, under the leadership of the former Military Administrator of Lagos State, is reminiscent of the days of Prof Dora Akunyili in NAFDAC when fake, expired drugs and substandard food brands were reduced to the admiration of all and sundry.	Agbo, wey be di tok pesi for di Minority Caucus, tok say NDLEA for di leadership of di foma Military Administrator for Lagos State, dey remember di time wey Prof. Dora Akunyili dey NAFDAC wey fake medicine, di one wey don expire and di food wey no reach standard no plenti.
I have been an advocate of optimum, staffing, equipping and funding the NDLEA to achieve its statutory mandate due to the menace of substance abuse and drug addiction in the country.	I don dey always tok say make dem do beta, carry plenti pipo join, and put moni ontop NDLEA to fit do wetin im suppose do to tanda wit drug abuse and pipo wey like drug for di kontri
I have said several times that the NDLEA needs all the support to carry out its mandate	I don tok am plenti time say di NDLEA go nid plenti support to fit do dia work.
but Im surprised that even with the little on the ground, the agency, under the able leadership of Gen. Buba Marwa, has been able to achieve a lot by taking the fight to the criminals and this has given me the confidence as chairman of the Narcotic Drugs Committee to further push for the necessary incentives for the agency to function at an optimal level.	But I dey surprise say even wit di small we dey ground, di agency, as e dey under di leadership of Gen. Buba Marwq, don achieve plenti time as dem dey carry fight criminals and dis one don give me strong chest as di Chairman for di Narcotic Drugs Committee say make I still dey push for wetin go make di agency fit work wella
It is very clear that Marwa is the new Sheriff in town and he has proved this by clearing the doubt of drug barons, syndicates and traffickers, he said.	E dey very clear say Marwa na di new Sheriff for town and e don prove am as e dey comot all di drug baron, syndicate and di traffickers dem, Na so e tok.
Daily Trust reports that the agency had in recent times made large scale seizures and arrested suspects across the country.	Daily Trust tok say d agency for recent time don sieze plenti drug and dem don catch plenti pipo for di kontri.
	
Bayelsa vigilantes arrest 4 for buying stolen phones	Di vigilante for Bayelsa don catch 4 pipo wey go buy phone wey dem tif.
Bayelsa Vigilante Security Service has nabbed a phone repairer and three others for allegedly buying phones snatched at gunpoint in the state.	Di Vigilante for Bayelsa don catch one pesin wey dey repair phone and anoda three pipo wey dey buy phone wey dem collect wit gun for pipo for di state.
The state government-owned security outfit, led by its chairman, Doubiye Alagba, over the weekend, arrested four suspects, including a popular phone repairer, for buying a phone that was allegedly stolen at gunpoint in Yenagoa.	Di sekuriti wey be for di state follow di Chairman, Doubiye Alagba, for weekend, catch four pipo and one repairer wey pipo sabi wella, say dem dey buy phone wey dem thief wit gun for Yenagoa.
It was gathered that men of the vigilante were acting on a tip-off that one Mr. Lawrence Oworodo was robbed of his phone and other belongings at gunpoint, when they traced the mobile phone to one Audu John in Biogbolo axis of the state capital.	We hear say di vigilante dey work as dem don hear say dem rob one Mr. Lawrence Oworodo and dem collect him phone and sometins wit gun, and as dem trace di phone reach one Audu John for Biogbolo for di state capital.
Investigation by the security body also led to the arrest of three other suspects who are said to be involved in buying stolen phones in the state.	As di sekuriti don look ground, na why dem arrest three pipo wey dem dey suspect who dem tok say dem dey among di pipo wey don dey buy phone wey dem thief for di state.
Alagba, in a statement made available to newsmen in Yenagoa, gave the names of the arrested suspects as Audu John, Dominic Diezibe, James Believe and David Emmanuel.	Alagba, as e dey yarn di news pipo for Yenagoa, tell dem di name of di pipo wey dem catch, Audu John, Dominic Diezibe, James Believe and David Emmanuel.
We picked interest in this case because the owner of the phone was robbed at gunpoint.	We kon like dis mata bikos say na gun dey take rob di for di pesin wey get di phone.
One of the challenges we face in the streets of Yenagoa today is pocket crime like this.	One of di problem wey dey Yenagoa today na pick pocket crime like dis one.
I call it a pocket crime because these criminals go about with these locally made pistols to steal valuables from innocent citizens who go about their normal daily hustles.	I call am pocket crime bikos say all dis criminal go dey waka about wit gun wey dem do for Nigeria and dem go use am thief beta tin from pipo wey just dey go dia work dey hustle evriday.
These four suspects were arrested through the help of a phone tracking device.	Na one phone tracker dem use arrest all di four suspect.
The phone was tracked to one Audu John, who resides at Biogbolo, Yenagoa, who led us to arrest other suspects including a popular phone repairer in Amarata, Mr. David Emmanuel.	Dem track di phone reach one pesin wey be Audu John, wey dey live for Biogbolo for Yenagoa, and na im carry us go arrest di remaining pipo wit one phone repairer Amarata, Mr. David Emmanuel.
Police spokesman in Bayelsa State SP Asinim Butswat confirmed the arrest, saying they are in police custody and investigation was on.	Police tok pesin for Bayelsa State, SP Asinim Butswat, confam say dem don arrest dem say dem dey police custody and dem bin dey do investigation.
	
Ministry, CODE to track N6bn Kaduna projects	Ministry, CODE wan track Kaduna N6bn project.
The Ministry of Budget and National Planning will partner with Follow The Money of the Connected Development (CODE) to track constituency projects in Kaduna valued at N6 billion in the 2020 and 2021 budgets.	Di ministry for budget and di National Planning go join bodi wit Follow di moni for di Connected Development (CODE) to track di constituency project for Kaduna wey be N6 billion for di 2020 and 2021 budget.
The Minister of Budget and National Planning, Prince Clem Agba, who is also co-chair of the Open Government Partnership (OGP), said this while receiving Follow The Money activists in his office recently.	Di minister for Budget and Planning, Prince Clem Agba, who still be co-chair for di Open goment  Partnership (OGP), nah in tok dis one as dem Follow di moni kom im office.
He said The Eye Mark App, a secured web and mobile-based application will be launched by the ministry to enable citizens to update information about community projects and their status.	E tok say di Eye Mark App, one website and application for phone go soon comot wey go dey make citizen dem dey write any tin wey consine di project of dia community and wia di work reach.
Programmes Associate, Mr Kingsley Agu, who led the team said CODE in collaboration with the MacArthur Foundation was setting the pace to initiate governance and budgeting reforms through a campaign to deepen citizens interest in governments spending and address accompanying corrupt practices.	Di Programmes Associate, Mr. Kingsley Agu, wey lead di team tok say CODE join bodi wit di MacAurthur Foundation dey set di pace wey go start governance and budgeting reforms from one campaign to take deep citizen interest for goment spending and tackle any tiin wey corrupt.
Agu added that collaboration with the ministry was a strategic move to collectively combat corruption, illicit financial flows and track to completion, development projects in rural areas so people can have access to potable drinking water, standard healthcare and even primary education.	Agu add join say di colabo wit d ministry dey good for to joinbodi fight corruption, illict financial flow and to dey track  to finish, development of projects for village make di pipo fit dey see good water, standard health care and primary education sef.
	
WikiLeaks founder Assange denied bail despite US extradition block	Di pesin wey get WikiLeaks, Asange don dey deny for bail even as di US extradition block.
WikiLeaks founder, Julian Assange must remain in custody in Britain, while the US appeals a court decision to block his extradition to face charges there for leaking secret documents, a judge in London ruled Wednesday.	Di pesin wey get WikiLeaks, Julian Asange, must to dey custody for Britian as di US dey appeal say one court decision wey fit block im extradition to face di charges say e leak secret document, na one Judge tok am for Monday.
Judge Vanessa Baraitser, who on Monday refused to grant his extradition, told Westminster Magistrates Court that if released there were substantial grounds to suspect Assange would fail to surrender for future appeal hearings.	Judge Vanessa Baraistser, wey no gree give am extradition for Monday, tell di Magistrate wey dey Westminster Court say if dem am, Assange no go wan surrender for di gearing for future.
Mr Assange still has an incentive to abscond from these as yet unresolved proceedings, she said.	Mr. Assange still get how im go run comot before all di hearing process go finish, she tok.
As a matter of fairness the United States must be able to challenge my decision.	Make mata no too bad, di United States suppose fit change my mind.
If Mr Assange absconds during this process then they will have lost the opportunity to do so.	If Mr. Asange run comot before dem finish to dey hear, dem go don loose di opportunity wey go make dem do am.
Outside court, lawyer Stella Morris, Assanges fiancee and the mother of two of his children, called the decision a huge disappointment and urged the US Justice Department to drop the charges.	For outside di court, Laywer Stella Morris, wey be Asange fiancee and pesin wey don born two pikin, tok say di decision na big disappointment say make di US Justice Department comot di charges.
A lawyer for the US government earlier urged Baraitser not to release the controversial Australian publisher, and detailed how it planned to challenge her decision to block his extradition on mental health grounds.	One lawyer for di US goment  don begged Baraitser before say make im no release di Australian publisher, kom tell am how e take plan to challenge im decision to block block im extradition on top mental problem.
We respectfully submit on behalf of the United States that there are insurmountable hurdles to Mr Assange being granted bail, Clair Dobbin said.	We don submit on behalf of di United States say som tins dey wey dey stop bail for Mr. Asange, na Clair Dobbin tok am.
She added there were no conditions that could guarantee his surrender in future.	She kon tok say no condition fit guarantee im surrender for future.
The history of his attempts to evade extradition to the United States demonstrate that he is capable of going to any length to avoid that possibility, Dobbin said.	Im history to  dodge di extradition go United State don show say e fit do any tin to see say e no apun. Na so Dobbin tok.
The court should be under no doubt about his resources to abscond and pointed to offers of political asylum, notably from Mexico, she added.	Di court suppose dey under no doubt say im wan run comot and say e point finger to go political asylum, wey be bigfish from Mexico, she add join.
Motive to abscond  	Mind to run comot.
Assange attended court wearing a suit and mask over his mouth, two days after the unexpected decision to deny his removal to the United States on the basis the risk of his suicide there was too great.	Asange wear suit and mask for him mouth go court, two days afta dem don deny say make dem carry am go United State on to say e fit kill him sef for dia.
Edward Fitzgerald, his lawyer, argued he should be freed after spending 15 months in custody awaiting the extradition proceedings.	Edward Fitzgerald, wey be him lawyer, tok say dem suppose free am afta im don use 15 months to dey wait for di extradition proceedings.
Baraitsers decision on Monday certainly changes any motive to abscond, he added.	Baraitser decision on  Monday don change any mind wey im get to run comot. E add join.
The court has given a decision and the decision has been that he should be discharged.	Di court don tok and wetin dem tok be say make dem free am.
Assange is wanted in Washington to face 18 charges relating to the 2010 release by WikiLeaks of 500,000 secret files detailing aspects of military campaigns in Afghanistan and Iraq.	Dem dey find Asange for Washington wia e go face 18 charges wey consine di 500,000 secret file wey dey tok about dem military campaign for Afghanistan and Iraq for 2010.
The US claims he helped intelligence analyst Chelsea Manning steal the 2010 documents before exposing confidential sources around the world.	Di US dey claim say nah im help di intelligence analyst, Chelsea Manning, tif di 2010 document before im put di confidential sources outside for di world.
He faces a possible 175-year sentence if convicted but Assange and his lawyers have long argued the case against him is politically motivated.	E dey risk 175 years be dat, if dem send am to prison, but Asange and im Lawyer dem don tok am say politics don enta di mata
He has been held at the high-security Belmarsh prison in southeast London.	Dem don keep am fordi high sekuriti prison for SouthEast London.
A previous request for bail in March on the grounds he was vulnerable to Covid-19 behind bars was rejected.	Dem no answer dem one time wey dem tok say make dem give am bail say e fit go catch Covid-19
Assange sought sanctuary in Ecuadors embassy in 2012, after Sweden issued an arrest warrant in connection with sexual assault allegations.	Asange don see wia im go hide for di Ecuador embasi for 2021, afta Sweeden don tok say make dem arrest am say im get case for sexual assault.
He spent seven years at the South American countrys London mission until the government in Quito revoked his citizenship.	E don spend seven years for di South American countrys London mission before di governmoemt for Quito tok say im no be dia citizen again.
British police dragged him out and arrested him in 2019.	Di British Police drag am comot con arrest am for 2019.
He was then sentenced to 50 weeks in jail for breaching his bail terms in connection with the Swedish case, which was later dropped due to lack of evidence.	Dem put am for prison for 50 weeks say e don breach im bail term as e take consine di case for Sweeden, wey dem later drop bikos say beta evidence no dey.
The UN called the sentence disproportionate.	Di UN tok say di sentence no good.
Unnecessarily cruel  	E dey wicked for no reason.
Assanges long-running legal woes have become a cause celebre for media freedom, even though the judge hearing the case said he did have a case to answer.	Di enemy dem for Asange don cause make célèbre dey for media freedom even as di Judge wey dey hear di case don tok say e no get case to answer.
Baraitser on Monday said he would have been well aware of the effects of his leaking of secret documents, and his actions went well beyond the role of a journalist.	For Monday, Baraitser tok say e go don sabi wetin fit hapun before e leak di secret document kom outside, and wetin e do pass di work of a journalist.
But she said extradition would be oppressive as his mental health would probably deteriorate in the US penal system, causing him to commit suicide.	But she tok say di extradition go dey oppress am and e fit affect im brain for di US penal system, wey fit make am kill him sef.
She rejected US experts testimony that Assange would be protected from self-harm, noting that others such as disgraced US financier Jeffrey Epstein had managed to kill themselves in custody despite supervision.	She no gree wit wetin di US experts tok say dem go keep Asange make e no do any tin to im sef say oda pipo like di US financier, Jeffrey Epstein, wey dem disgrace, don manage kill dia sef even as dem dey always dey watch dem.
UN rapporteur on torture	Dem dey torture one UN reporter.
Nils Melzer applauded the decision to block his extradition, and said he should be freed and compensated for his ordeal, which amounted to arbitrary detention.	Nils Melzer dey clap as dem block im extradition, e kon tok say make dem free am and give am som tin for wetin im eyes don see, wey make dem put am for detention wey no get any reason.
But he said Baraitser had effectively confirmed the rationale behind the US case, which effectively amounts to criminalising national security journalism.	But e tok say Baraitser don confam wetin dey for di US mata wey be say dem dey make di national journalist be like criminal.
The United States has called the ruling extremely disappointing and has faced calls from WikiLeaks, as well as rights and media freedom groups to drop the appeal.	Di United States don tok say di ruling no dey good say dem don dey receive call from WikiLeaks and di right and media freedom group say make dem drop di appeal.
Media advocacy group Reporters Without Borders said Wednesdays denial of bail was unnecessarily cruel.	Di group wey dey always fight for di media pipo, Reporters Without Borders, tok say as dem no give am bail for Wednesday na wickedness.
Wikileaks editor-in-chief Kristinn Hrafnsson urged outgoing US President Donald Trump and his successor Joe Biden to pardon Assange, while expressing confidence justice will prevail.	Di editor-in-chief for WikiLeaks, Kristinn Hrafnsson, tok say make di president  for US wey dey go, Donald Trump, and di pesin wey go dey dia afta, Joe Biden say make dem release Assange, as im dey sure dem say justice go prevail.
	
Ahmed Musa set to make NPFL return against Adamawa Utd	Ahmed Musa wan make di NPFL kom back against Adamawa Utd.
Kano Pillars have said their new signing, Ahmed Musa will make his debut against relegation bound Adamawa United on Sunday, May 16.	Kano pillars don tok say dia new signing, Ahmed Musa, go play im first match against Adamawa Utd wey don dey relegation for Sunday, May 16.
This was disclosed on Sunday in a statement by Pillars Spokesman, Alhaji Idris Rilwanu Malikawa immediately after their 1-1 draw against Warri Wolves in Ozoro.	Na wetin tok pesin fot Pillars, Alhaji Rilwanu Malikawa,  tok for Sunday as dem play draw draw wit Warri Wolves for Ozoro.
Pillars who were reduced to 10-men in the first half of the match took the lead through Auwalu Malam Ali in the 58th minute before Mark Daniel scored the equaliser for the hosts from the spot in the 86th minute to force the former Nigerian champions to a 1-1 draw.	Di Pillars wey dem reduce to 10 player dem for di first half carry di lead wit Auwalu Malam Ali for 58 minute before Mark Daniel kom score di equalizer for di host for 86 minute wey make di forma Nigeria Champion carry 1-1 draw.
Malikawa said Pillars have since returned to Kano where they would intensify preparations for their next match against Adamawa United.	Malikawa tok say di Pillars don go back Kano wia dem go go prepare wella for di next match wey dem get wit Adamawa United.
The Spokesman also quoted the Technical Adviser of Pillars, Ibrahim Musa as saying The next thing for us is to go and concentrate on match day 21 against Adamawa United FC at Ahmadu Bello stadium kaduna next week.	Di tok pesin tok wetin di Technical Adviser for Pillars, Ibrahim Musa tok, say di tin wey remain for us na to go focus on top di match wey we get wit Adamawa United FC for day 21 for Ahmadu Bello Stadium for wey dey Kaduna next week.
Playing against a relegated team is not easy but we would do our best to win the maximum points in order to consolidate on our position and target for the season.	To dey follow relegatin team play no dey easy but we go try say make we win plenti point so we go fit stay for wia we dey and watin we dey targer for di season.
	
Varsity workers to FG: Campus security men need guns	Pipo wey dey work for University tell di FG say: Campus sekuriti men nid gun.
The president of the Senior Staff Association of Nigerian Universities (SSANU), Mohammed Ibrahim Haruna, says his members are no long safe on campuses.	Di Oga pata pata for di Senior Staff Association for Nigeria Universities (SSANU), Mohammed Ibrahim Haruna, tok say im pipo no dey safe for campus again.
He called on the Federal Government to license the use of guns for local security men on various campuses to protect the institutions.	E call di Federal goment  make dem register gun for di sekuriti men wey dey all di campus to dey protect di school.
He was addressing newsmen in Abuja at the weekend after the National Executive Council (NEC) meeting of the association.	E dey follow di nes pipo tok for Abuja for di weekend afta dem finish di Natioanl Executive Council (NEC) meeting for di association.
He said this would help all the established security agencies already overwhelmed with security challenges.	E tok say e go help all di sekuriti agency wey work don dey choke.
Were here to deliberate on a wide range of issues.	We dey here to tok mata wey plenty.
Topmost among those issues is the security of our members who work in the university environment.	Di mata wey big pass na di sekuriti mata for we pipo who dey work for inside di university.
Our members cant travel freely, they cant move around with ease, anytime they do so, they get kidnapped.	Our pipo no fit travel as dem like, dey no fit waka around as dem like, anytime wey dem do am, dem dey kidnap dem.
This is unacceptable!	E no dey acceptable!
Were calling on the federal government to license our security men on campuses who are our members, train and re-train them from time to time and monitor them.	We dey call di Federal goment  make dem put license for awa  sekuriti pipo wey dey for campus, make dem dey train dem evri time and dey monitor dem.
By doing this, security challenges in our institutions will reduce, Haruna said.	If dem do dis tin, di sekuriti problem for awa  school dem go reduce, na wetin Haruna tok.
He cautioned the government against paralyzing academic activities in tertiary institutions again with its lackadaisical attitude towards the implementation of the Memorandum of Action (MoA)	E warn di goment  make dem no kill di academic activities for di tertiary institution again as dem dey do like say di Memorandum of Action (MoA)  no consine dem.
both parties signed.	Na di two of dem sign.
He explained only three of their eight demands had been addressed partially by the government.	E tok say na only three tin out of di eight tin wey dem don ask n aim goment don do small for inside.
He said the association might resume its suspended strike soon if the issues that had continued to make members poorer than expected were not quickly addressed.	E tok say di association fit continue di strike wey dem stop if dem no settle di mata wey dey make dia pipo dey  bikom  poorer as we no expect.
	
Biden makes history, declares century-old killing of Armenians genocide	Biden don make history as he tok say di kilin, wey don be like one century, of di Armenians na genocide.
President Joe Biden has formally recognized the Ottoman Empires killing and deportation of Armenians over a century ago as a genocide.	Presido Joe Biden don recognize di Ottoman Empire kilin and as dem deport di Armenians like one century ago say na genocide.
The declaration is a break from his predecessors and risking inflaming tensions with Turkey, a NATO ally.	Di declaration na break from hin predecessors and be  risking inflaming tensions wit dem Turkey, natoally
Biden had pledged as a presidential candidate to recognize the Armenians treatment, which took place in modern-day Turkey, as genocide.	Biden don tok say aspesident candidate him go recognize di Armenian treatment, wey take place for modern day Turkey, as genocide
Armenian-Americans have long called on U.S. presidents to do so, but Turkey, a key NATO ally, has warned the U.S. against it, long maintaining that the violence was part of bloody clashes during World War I.	Americans don long call U.S president make him do am so, but  Turkey, wey be key natoally,don warn U.S against am,long maintaing say di violence dey part of bloody clashes during world war I
The Turkish government of President Recep Tayyip Erdogan has not yet responded to Bidens designation, but its foreign minister warned earlier this week a declaration would make relations worse.	DI  Turkish goment wey be President Recep Tayyip Erdogan neva respond to Biden designation, but hin foreign miniters don warn before for dat week say declaration go make relation worse
